"India/State/ UT",% of Schools with electricity connection,% of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,86.9,85.95,86.54,91.76,74.56,83.92,82.15,84.98,90.74,72.63
Andaman and Nicobar Islands,92.33,90.64,100,100,0,92.33,90.64,100,100,0
Andhra Pradesh,95.06,94.34,82.93,99.01,81.75,95.05,94.32,82.93,98.97,81.75
Arunachal Pradesh,57.28,49.69,97.01,95.16,92.16,47.21,37.83,95.52,94.35,88.24
Assam,60.02,70.54,19.27,74.29,9.45,57.62,68.08,16.92,72.85,6.72
Bihar,86.54,84.7,87.89,96.59,92.89,85.37,83.45,87.35,95.96,91.82
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,94.24,93.69,90.7,98.11,95.22,88.12,86.74,88.14,97.32,92.68
"Daman and Diu andDadra and Nagar Haveli",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.94,99.91,99.98,100,100,99.94,99.91,99.98,100,100
Haryana,98.96,98.73,100,99.4,98.52,97.55,96.52,100,99.27,98.42
Himachal Pradesh,98.15,97.86,0,99.75,100,97.1,96.65,0,99.64,100
Jammu and Kashmir,73.38,70.07,100,86.79,79.65,70.47,66.83,100,85.24,76.99
Jharkhand,94.65,96.23,67.74,96.3,90.57,91.24,92.32,64.26,95.27,89.25
Karnataka,98.96,99.21,99.87,97.98,100,98.62,98.75,99.78,97.89,94.12
Kerala,99.38,98.25,99.93,99.78,99.81,99.23,97.79,99.93,99.72,99.81
Ladakh,88.92,89.51,100,81.25,0,88.64,89.18,100,81.25,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,74.29,69.25,72.83,89.55,85.11,72.03,66.71,71.41,88.1,84.02
Maharashtra,95.38,92.93,98.87,99.13,99.27,86.42,78.36,98.16,98.56,98.91
Manipur,66.15,60.53,37.44,95.13,85.89,53.36,41.9,28.38,94.84,84.05
Meghalaya,24.38,16.54,31.03,34.56,45.04,22.9,15.04,29.6,33.32,42.46
Mizoram,84,80.92,96.54,88.29,89.53,80.08,75.41,95.67,87.43,87.21
Nagaland,71.68,64.81,0,89.91,100,68.19,60.46,0,88.69,100
Odisha,81.29,79.94,78.1,93.92,84.46,70.88,68.83,66.03,89.36,78.43
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,84.94,79.76,0,95.42,76.54,83.81,78.43,0,94.72,74.84
Sikkim,99.21,98.82,100,100,0,98.34,97.53,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,94.12,92.06,91,99.37,100,90.59,87.02,91,99.35,99.44
Tripura,43.96,40.38,86.05,86.11,37.59,42.14,38.43,86.05,85.56,35.71
Uttar Pradesh,81.75,80.91,83.91,83.29,78.33,77.87,75.35,82.36,81.38,75.84
Uttarakhand,89.68,87.59,93.32,94.9,98.23,86.15,83.01,92.02,94.2,96.65
West Bengal,96.75,97.65,97.7,91.02,86.32,95.6,96.48,96.55,90.07,84.92
