"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(2),(32),(33),(34),(35),(36),(37),(38),(39),(40)
India,6625,4062,10687,498,223,721,1603,1022,2625
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,4,6,10,0,0,0,9,3,12
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,2683,1260,3943,19,6,25,774,464,1238
Bihar,643,123,766,89,8,97,263,49,312
Chandigarh,0,3,3,0,8,8,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0
"Daman and Diu andDadra and Nagar Haveli",5,0,5,4,0,4,3,0,3
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,4,6,10,0,3,3,3,1,4
Haryana,30,25,55,10,5,15,4,2,6
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,22,24,46,0,0,0,2,8,10
Jharkhand,560,366,926,9,6,15,69,50,119
Karnataka,3,6,9,0,0,0,0,0,0
Kerala,19,139,158,1,14,15,9,19,28
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,0,3,3,1,0,1
Maharashtra,116,209,325,3,2,5,11,8,19
Manipur,4,2,6,0,0,0,0,0,0
Meghalaya,168,377,545,2,13,15,49,152,201
Mizoram,98,64,162,0,0,0,43,30,73
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,305,167,472,5,5,10,15,22,37
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,43,11,54,27,10,37,17,4,21
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,18,100,118,14,13,27,11,18,29
Telangana,0,0,0,0,0,0,0,0,0
Tripura,10,0,10,2,0,2,12,0,12
Uttar Pradesh,1718,1054,2772,282,106,388,275,173,448
Uttarakhand,72,46,118,2,2,4,21,12,33
West Bengal,99,74,173,29,19,48,12,7,19
