"India/State/ UT",% of Schools with toilet facility,% of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.49,98.77,96.16,99.46,90.39,95.71,95.56,93.87,97.93,87.27
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,95.48,95,83.73,98.81,75.79,80.35,75.25,77.32,95.52,70.88
Arunachal Pradesh,93.28,92.13,98.51,99.19,98.04,77.03,72.95,98.51,97.38,96.08
Assam,90.12,99.03,68.59,96.63,43.16,84.98,95.97,53.54,91.18,31.85
Bihar,99.66,99.6,99.73,99.97,99.85,99.46,99.39,99.46,99.86,99.68
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.76,99.73,100,99.93,99.68,99.25,99.2,99.53,99.59,99.36
"Daman and Diu andDadra and Nagar Haveli",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.79,99.69,99.96,99.98,100,99.18,98.75,99.91,99.97,100
Haryana,99.26,98.8,100,100,100,99.04,98.5,100,99.93,99.68
Himachal Pradesh,99.69,99.64,0,100,100,99.36,99.3,0,99.64,100
Jammu and Kashmir,96.69,95.92,100,99.75,100,91.5,89.48,100,99.63,100
Jharkhand,99.28,99.44,91.91,99.94,99.57,97.67,97.85,88.68,99.61,97.81
Karnataka,99.66,99.5,99.99,99.92,100,99.18,98.79,99.96,99.9,100
Kerala,99.88,99.68,99.97,100,99.81,99.6,98.78,99.97,99.97,99.81
Ladakh,98.01,97.7,100,100,0,96.69,96.17,100,100,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.38,99.33,99.35,99.54,99.29,98.32,98.22,98.71,98.68,97.44
Maharashtra,99.23,98.73,99.97,99.96,99.76,96.75,94.95,99.62,99.14,99.27
Manipur,96.3,96.73,87.35,99.9,98.16,82.1,79.08,63.59,98.83,96.32
Meghalaya,86.92,92.73,85.23,74.25,67.46,75.28,79.92,74.02,64.8,60.29
Mizoram,97.66,98.32,98.7,96.19,93.02,95.67,95.9,96.1,95.52,89.53
Nagaland,95.77,94.63,0,98.79,100,92.2,90.13,0,97.71,100
Odisha,98.46,99.69,92.93,96.18,89.83,96.13,97.33,89.73,95.01,86.94
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,98.59,98.07,0,99.86,94.96,93.11,93.19,0,93.49,85.63
Sikkim,99.92,99.88,100,100,0,99.84,99.76,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,94.82,93.03,91,99.46,98.88,83.59,77.23,86.71,99.09,97.77
Tripura,96.17,97.07,100,98.89,77.44,83.18,83.12,97.67,94.72,66.17
Uttar Pradesh,99.4,99.12,99.59,99.76,99.48,97.65,96.9,98.7,98.58,98
Uttarakhand,98.47,98,98.53,99.76,100,95.2,93.85,97.39,98.81,98.43
West Bengal,99.93,99.98,98.85,99.78,98.54,99.93,99.98,98.85,99.78,98.54
