"India/State/ UT",% of Boys’ and Co-educational Schools with boy’s toilet facility,% of Boys’ and Co-educational Schools with functional boy’s toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,96.2,95.8,93.67,99.13,88.56,92.17,90.82,91.02,97.48,85.51
Andaman and Nicobar Islands,99.28,99.12,100,100,0,99.28,99.12,100,100,0
Andhra Pradesh,85.55,82.19,61.47,98.48,68.85,69.54,61.1,57.62,95.07,64.62
Arunachal Pradesh,91.22,89.67,98.31,98.99,98.04,72.59,67.57,98.31,97.37,96.08
Assam,84.92,93.94,58.63,94.26,36.93,76.65,85.98,45.28,88.81,27.59
Bihar,97.85,97.51,97.21,99.36,99.43,97.06,96.59,96.76,99.19,99.12
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.08,97.83,97.63,99.82,97.39,94.89,94.37,95.25,98.47,92.83
"Daman and Diu andDadra and Nagar Haveli",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,99.93,100,99.8,100,0
Gujarat,99.27,98.99,99.51,99.9,100,97.39,96.08,99.41,99.89,100
Haryana,98.74,97.93,100,99.96,99.68,98.24,97.15,100,99.88,99.36
Himachal Pradesh,98.72,98.53,0,99.78,100,98.07,97.85,0,99.35,100
Jammu and Kashmir,88.82,86.27,100,98.92,99.07,81.97,77.73,100,98.76,99.07
Jharkhand,98.31,98.55,87.44,98.68,98.71,96.21,96.38,83.57,98.34,96.87
Karnataka,97.18,95.86,99.55,99.64,100,96.29,94.51,99.48,99.59,100
Kerala,99.02,98.21,99.12,99.78,99.81,98.53,96.98,98.93,99.69,99.61
Ladakh,96.12,95.74,96.15,99.11,0,94.17,93.5,96.15,99.11,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.73,97.15,99.02,99.41,99.06,95.27,94.15,98.18,98.51,97.14
Maharashtra,96.88,94.97,99.65,99.83,99.25,92.7,88.41,99.22,98.96,98.63
Manipur,87.89,86.76,71.45,98.92,96.3,74.24,69.53,50.09,97.65,95.06
Meghalaya,85.08,90.97,83.07,72.62,65.99,72.66,76.86,71.45,63.43,58.64
Mizoram,95.03,95.19,95.2,94.76,93.02,91.28,90.49,90.39,93.52,89.53
Nagaland,93.92,92.15,0,98.65,100,88.66,85.37,0,97.43,100
Odisha,97.92,99.3,90.28,95.94,89.4,90.39,91.24,80.93,93.54,84.23
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,97.5,96.69,0,99.54,89.41,90.13,88.97,0,92.93,80.41
Sikkim,99.6,99.53,100,99.75,0,99.12,98.82,100,99.75,0
Tamil Nadu,98.24,98.13,96.24,99.81,98.8,97.42,96.89,96.11,99.8,98.8
Telangana,83.51,77.04,85.74,98.84,93.2,70.8,58.96,81.3,98.47,91.84
Tripura,92.42,93.02,100,98.32,73.58,74.49,73.61,93.02,93.58,59.62
Uttar Pradesh,98.34,97.58,97.5,99.45,98.61,96.22,94.74,96.55,98.19,96.92
Uttarakhand,95.36,93.93,96.86,99.25,98.79,89.52,86.29,95.3,98.08,96.98
West Bengal,99.83,99.93,98.53,99.37,97.59,99.83,99.93,98.53,99.37,97.59
