"India/State/ UT",% of Schools with drinking water facility,% of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.45,97.39,96.46,98.58,93,95.17,95.39,94.93,95.45,89.5
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,88.38,84.29,97.12,98.82,94.39,87.88,83.75,96.51,98.42,94.04
Arunachal Pradesh,76.57,72.53,97.01,96.57,98.04,64.24,59.1,83.58,90.12,96.08
Assam,92.47,96.92,87.68,95.52,65.26,89.61,94.73,82.82,92.82,59.39
Bihar,99.71,99.73,99.73,99.73,99.6,99.38,99.4,99.46,99.39,99.17
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.86,99.85,99.77,99.87,100,97.11,97.38,98.37,95.26,96.5
"Daman and Diu andDadra and Nagar Haveli",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.97,99.96,100,99.99,100,99.96,99.95,100,99.99,100
Haryana,99.63,99.42,100,99.98,100,99.36,99.13,100,99.77,99.37
Himachal Pradesh,99.94,99.94,0,99.96,100,99.82,99.85,0,99.64,100
Jammu and Kashmir,97.13,96.58,100,99.35,98.23,94.96,94.29,100,97.65,97.35
Jharkhand,98.22,98.05,98.47,99.68,98.79,96.03,95.73,96.09,98.57,97.02
Karnataka,99.68,99.55,99.96,99.9,100,97.68,97.59,98.34,97.68,88.24
Kerala,99.76,99.34,99.92,100,100,99.4,98.69,99.76,99.57,99.81
Ladakh,95.83,95.63,100,96.43,0,89.58,88.85,96.55,93.75,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.18,98.65,95.34,96.94,95.09,93.89,95.85,88.23,88.79,77.59
Maharashtra,99.44,99.13,99.94,99.86,100,97.91,97.24,99.29,98.45,98.79
Manipur,96.97,97.15,93.68,98.44,96.32,96.56,96.84,93.16,97.86,95.71
Meghalaya,44.21,40.01,51.96,43.46,47.79,39.22,34.59,46.77,40.29,43.38
Mizoram,91.59,88.7,99.57,96.38,97.67,90.27,87.41,98.27,95.14,94.19
Nagaland,67.19,62.58,0,79.41,100,62.38,57.22,0,76.04,100
Odisha,99.14,99.88,98.34,96.5,90.13,96.46,97.27,95.12,94.13,85.82
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,97.81,96.94,0,99.55,96.61,91.85,91.73,0,92.41,86.97
Sikkim,99.68,99.53,100,100,0,99.68,99.53,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,95.75,93.92,100,100,100,92.75,90.06,98.29,99.05,98.88
Tripura,82.63,81.27,95.35,95.83,84.59,73.57,71.86,90.7,90,75.94
Uttar Pradesh,98.82,98.82,99.14,98.81,98.65,95.97,96.51,96.59,95.21,95.57
Uttarakhand,95.16,93.97,97.56,98.22,98.62,90.89,89.15,95.44,95.68,91.73
West Bengal,99.43,99.63,98.85,98.13,97.39,99.41,99.63,98.85,97.94,97.2
