"India/State/ UT",% of Girls’ and Co-educational Schools with girl’s toilet facility,% of Girls’ and Co-educational Schools with functional girl’s toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.32,97.45,94.44,99.07,87.9,93.91,93.31,92.42,97.4,85.2
Andaman and Nicobar Islands,99.76,100,100,98.63,0,99.52,99.71,100,98.63,0
Andhra Pradesh,94.26,93.42,82.87,98.46,74.25,78.32,72.86,76.36,94.22,69.96
Arunachal Pradesh,87.41,85.14,98.44,98.99,98.04,71.72,66.68,98.44,96.97,96.08
Assam,86.76,97.04,59.88,94.16,33.78,81.38,92.57,48.65,89.23,26.19
Bihar,98.47,98.23,98.9,99.71,99.33,97.83,97.52,98.48,99.37,98.99
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.33,99.25,99.49,99.92,98.67,98.56,98.42,98.71,99.51,98.34
"Daman and Diu andDadra and Nagar Haveli",99.79,100,100,98.41,0,99.79,100,100,98.41,0
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.54,99.35,99.73,99.92,100,98.13,97.17,99.66,99.9,100
Haryana,98.68,97.85,100,99.95,99.79,98.06,96.94,100,99.79,99.47
Himachal Pradesh,99.13,99.02,0,99.75,100,98.59,98.48,0,99.16,100
Jammu and Kashmir,89.71,87.66,100,98.1,88.35,84.34,81,100,97.89,87.38
Jharkhand,99.02,99.31,87.64,99.8,99.18,97.27,97.55,84.91,99.48,97.3
Karnataka,99,98.53,99.92,99.83,100,98.43,97.67,99.83,99.8,100
Kerala,99.53,98.92,99.76,99.97,99.51,99.2,97.96,99.75,99.81,99.42
Ladakh,92.5,91.64,100,99.11,0,90.94,89.99,100,98.21,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.51,98.25,99.19,99.29,98.4,96.52,96.03,98.11,98.01,96.37
Maharashtra,98.05,96.93,99.83,99.74,94.7,94.78,91.87,99.43,98.84,94.45
Manipur,86.27,84.45,70.89,99.22,91.93,74.16,69.15,51.88,98.54,88.82
Meghalaya,79.63,84.07,79.73,67.6,63.24,68.75,71.62,69.29,60.56,56.25
Mizoram,93.43,93,95.67,94.1,91.86,90.52,89.4,91.77,93.14,88.37
Nagaland,93.78,92,0,98.52,100,89.44,86.52,0,97.17,100
Odisha,97.64,99.45,87.81,95.21,87.02,89.67,89.83,85.19,93.96,84.11
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,97.92,97.39,0,99.49,90.07,92.01,91.92,0,92.96,81.13
Sikkim,99.41,99.74,80,99.49,0,99.16,99.62,73.33,99.23,0
Tamil Nadu,99.64,99.61,99.38,99.88,99.66,99.46,99.35,99.33,99.86,99.66
Telangana,91.63,88.75,88.52,98.88,90.85,79.64,71.74,85.17,98.53,90.85
Tripura,90.74,91.48,100,97.21,68.56,75.54,75.05,97.56,92.74,56.82
Uttar Pradesh,98.7,98.23,98.2,99.45,98.36,96.72,95.7,97.21,98.14,96.65
Uttarakhand,95.61,94.27,96.89,99.2,99.8,91.15,88.56,95.16,98.05,98.01
West Bengal,99.85,99.96,98.57,99.28,97.45,99.85,99.96,98.57,99.28,97.45
