"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,172571,81452,254023,7675,3555,11230,79752,49270,129022
Andaman and Nicobar Islands,4,11,15,0,0,0,6,14,20
Andhra Pradesh,26,11,37,0,0,0,23,28,51
Arunachal Pradesh,111,43,154,37,5,42,21,4,25
Assam,5343,2160,7503,42,8,50,1875,934,2809
Bihar,848,224,1072,78,25,103,47,34,81
Chandigarh,4,17,21,8,38,46,17,40,57
Chhattisgarh,169,132,301,151,106,257,194,139,333
Dadra and Nagar Haveli,16,3,19,0,0,0,0,0,0
Daman and Diu,8,25,33,1,0,1,26,16,42
Delhi,329,760,1089,0,0,0,556,1005,1561
Goa,644,1741,2385,0,0,0,576,1232,1808
Gujarat,20328,7144,27472,402,209,611,12195,5733,17928
Haryana,18,37,55,28,52,80,41,48,89
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,0,0,0,0,0,0
Jharkhand,394,378,772,14,2,16,179,83,262
Karnataka,17903,6065,23968,1180,377,1557,3804,1300,5104
Kerala,9176,21259,30435,31,75,106,5369,10574,15943
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,698,490,1188,24,21,45,470,426,896
Maharashtra,69547,24871,94418,1096,409,1505,30436,14190,44626
Manipur,184,121,305,9,2,11,80,58,138
Meghalaya,2664,2158,4822,50,52,102,415,612,1027
Mizoram,690,287,977,0,0,0,192,145,337
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,15548,2751,18299,18,2,20,3809,1716,5525
Puducherry,29,106,135,11,17,28,25,67,92
Punjab,647,1270,1917,0,0,0,478,1016,1494
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,15,25,40,5,2,7,16,15,31
Tamil Nadu,2010,3292,5302,672,1025,1697,3886,5938,9824
Telangana,190,358,548,1,0,1,55,40,95
Tripura,241,97,338,0,1,1,340,202,542
Uttar Pradesh,23661,4994,28655,3506,886,4392,13825,3141,16966
Uttarakhand,967,523,1490,259,180,439,733,445,1178
West Bengal,159,99,258,52,61,113,63,75,138
