"India/State/ UT",% of Schools with drinking water facility,% of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,95.78,96.29,95.16,95.51,88.56,91.24,92.16,92.5,89.36,82.58
Andaman and Nicobar Islands,100,100,100,100,100,99.76,99.71,100,100,100
Andhra Pradesh,89.46,85.29,99.79,99.6,97.25,77.42,74.46,85.89,84.5,79.75
Arunachal Pradesh,62.06,57.19,92.19,86.88,85.11,52.44,47.5,70.31,78.73,80.85
Assam,88.88,94.2,83.06,92.7,58.06,86.04,91.71,79.11,90.17,53.65
Bihar,99.56,99.63,99.71,99.52,99.03,98.67,98.86,98.28,97.95,97.69
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.25,99.16,99.31,99.91,99.39,88.93,88.77,93.78,89.92,86.24
Dadra and Nagar Haveli,100,100,100,100,100,100,100,100,100,100
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.99,99.98,100,100,100,99.99,99.98,100,100,100
Haryana,99.75,99.63,100,99.96,99.81,99.66,99.52,100,99.89,99.72
Himachal Pradesh,99.92,99.91,0,99.96,100,99.57,99.81,0,98.27,100
Jammu and Kashmir,96.65,96.05,100,99.25,95.74,94.93,94.16,100,98.22,93.62
Jharkhand,96.71,97.1,96.01,97.71,94.74,90.88,91.62,86.32,90.64,88.04
Karnataka,98.67,99.54,99.65,96.2,82.14,98.66,99.54,99.65,96.2,82.14
Kerala,99.55,98.92,99.85,99.81,99.7,98.66,98.04,99.24,98.48,98.28
Ladakh,72.58,70.65,82.14,85.84,0,68.6,66.48,75,84.07,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,95.38,96.99,88.56,89.51,85.6,89.09,92.75,76.66,76.01,60.71
Maharashtra,99.04,98.72,99.73,99.28,99.16,97.12,96.38,98.7,97.68,97.59
Manipur,89.55,86.95,89.78,96.41,95.03,86.15,83.57,86.03,92.92,92.82
Meghalaya,37.71,34.63,44.94,34.14,41.2,33.86,30.65,40.37,31.8,39.06
Mizoram,93.64,93.14,96.97,94.34,91.4,92.64,92.04,96.1,93.56,90.32
Nagaland,63.48,60.49,0,71.54,0,59.23,55.9,0,68.19,0
Odisha,100,100,100,100,100,99.22,99.29,98.87,99.15,98.52
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.91,99.89,99.13,100,100,99.88,99.87,99.13,99.95,99.64
Rajasthan,94.94,92.78,0,99.08,94.08,87.36,86.05,0,90.16,82.84
Sikkim,99.84,99.77,100,100,0,99.77,99.77,100,99.76,0
Tamil Nadu,96.42,97.66,96.65,93.07,85.08,93.98,95.09,93.52,91.48,83.02
Telangana,93.7,91.8,93.78,98.54,96.59,89.25,86.25,91.8,96.72,93.17
Tripura,79.96,78.83,91.3,92.13,80.57,72.64,71.52,89.13,86.3,70.04
Uttar Pradesh,96.82,97.5,97.08,95.88,94.69,89.52,90.92,89.68,87.34,86.83
Uttarakhand,93.1,91.71,95.29,96.58,99.18,88.87,87.29,92.86,92.72,95.1
West Bengal,95.36,99.28,99.21,74.52,68.93,90.67,94.92,95.28,68.2,61.78
