"India/State/ UT",% of Schools with electricity connection,% of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,76.74,73.68,82.2,87.01,67.84,73.86,70.09,81.39,85.81,65.84
Andaman and Nicobar Islands,92.51,90.86,100,100,100,92.27,90.56,100,100,100
Andhra Pradesh,94.81,93.95,78.64,99.6,97.25,93.06,93.5,77.92,94.55,72.25
Arunachal Pradesh,45.08,36.65,92.19,89.46,76.6,39.81,30.61,90.63,88.47,72.34
Assam,32.8,34.19,16.05,68.57,7.82,30.16,31.32,14.02,67.13,5.26
Bihar,78.97,76.81,83.09,91.71,86.64,77.75,75.49,81.81,91.34,85.59
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,87.39,86.2,85.71,95.94,87.77,80.82,78.79,84.56,94.81,85.93
Dadra and Nagar Haveli,100,100,100,100,100,100,100,100,100,100
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,99.93,99.88,100,100,0,99.93,99.88,100,100,0
Gujarat,99.92,99.88,99.98,100,100,99.92,99.88,99.98,100,100
Haryana,98.92,98.51,100,99.58,99.54,97.92,96.91,100,99.55,99.44
Himachal Pradesh,96.39,95.83,0,99.53,100,95.27,94.53,0,99.39,100
Jammu and Kashmir,67.36,63.39,100,84.15,80.85,65.34,61.2,100,82.83,78.72
Jharkhand,77.67,78.41,51.49,86,76.64,72.78,72.7,47.92,84.36,74.98
Karnataka,88.82,88.78,90.71,88.24,85.71,88.79,88.75,90.71,88.21,85.71
Kerala,99.01,97.43,99.86,99.68,98.73,98.92,97.29,99.81,99.62,98.66
Ladakh,43.26,39.21,78.57,67.26,0,40.99,36.58,78.57,67.26,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,57.25,50.4,66.02,84.38,75.77,55.21,48.2,64.65,82.98,74.49
Maharashtra,94.46,91.88,98.31,98.34,98.85,86.71,79.39,97.61,97.8,98.43
Manipur,55.12,45.53,32.71,92.32,84.53,48.29,36.38,25.89,91.53,83.43
Meghalaya,20.26,13.46,26.72,27.66,40.99,19.08,12.23,25.54,26.67,39.7
Mizoram,77.46,72.7,93.07,85.07,86.02,73.88,67.59,92.64,84.39,84.95
Nagaland,65.44,57.6,0,86.58,0,63.05,54.81,0,85.23,0
Odisha,39.47,32.56,52.06,83.07,77.22,37.89,31,50.54,81.68,74.63
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.95,99.95,99.34,100,100,99.95,99.95,99.34,100,100
Rajasthan,72.6,61.73,0,93.28,70.52,71.27,60.22,0,92.32,68.8
Sikkim,98.76,98.24,100,99.76,0,98.45,97.78,100,99.76,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,93.46,91.8,92.08,97.88,88.29,89.33,86.07,90.95,97.65,86.83
Tripura,35.61,31.63,84.78,82.51,30.77,34.28,30.26,84.78,81.63,29.15
Uttar Pradesh,71.12,69.43,78.1,74.03,68.62,66.16,62.4,76.54,72.24,66.07
Uttarakhand,86,83.68,89.94,91.83,95.51,81.75,78.12,88.8,90.98,94.29
West Bengal,91.36,93.75,90.55,79.15,73.72,89.07,91.34,84.25,77.62,71.78
