"India/State/ UT",Total Schools,"Schools conducted medical checkups in last academicyear","% of Schools conducted medical checkups in lastacademic year",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided","Others","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,1209683,915615,68896,201706,23466,77.99,84.49,81.42,61.83,41.6
Andaman and Nicobar Islands,414,339,2,72,1,407,337,2,68,0,98.31,99.41,100,94.44,0
Andhra Pradesh,63621,45013,2346,15862,400,53869,41370,2022,10337,140,84.67,91.91,86.19,65.17,35
Arunachal Pradesh,3793,3179,64,503,47,1799,1426,48,300,25,47.43,44.86,75,59.64,53.19
Assam,66324,47223,5065,6084,7952,48004,39717,2885,2993,2409,72.38,84.11,56.96,49.19,30.29
Bihar,89224,72630,698,6249,9647,52682,45574,259,3137,3712,59.04,62.75,37.11,50.2,38.48
Chandigarh,229,121,7,74,27,222,121,7,73,21,96.94,100,100,98.65,77.78
Chhattisgarh,56274,48671,434,6842,327,54281,47659,415,5951,256,96.46,97.92,95.62,86.98,78.29
Dadra and Nagar Haveli,346,300,10,35,1,344,300,10,33,1,99.42,100,100,94.29,100
Daman and Diu,140,112,4,23,1,137,112,4,21,0,97.86,100,100,91.3,0
Delhi,5703,2784,253,2666,0,4410,2289,133,1988,0,77.33,82.22,52.57,74.57,0
Goa,1486,833,514,139,0,1463,830,500,133,0,98.45,99.64,97.28,95.68,0
Gujarat,54581,35202,5734,13641,4,51851,34625,5514,11708,4,95,98.36,96.16,85.83,100
Haryana,23534,14516,26,7913,1079,20492,14010,21,5783,678,87.07,96.51,80.77,73.08,62.84
Himachal Pradesh,18212,15433,0,2778,1,16528,14394,0,2133,1,90.75,93.27,0,76.78,100
Jammu and Kashmir,28654,23167,1,5439,47,21746,17421,1,4306,18,75.89,75.2,100,79.17,38.3
Jharkhand,45908,35954,1177,1400,7377,25526,21526,698,731,2571,55.6,59.87,59.3,52.21,34.85
Karnataka,78233,50184,7417,20604,28,65036,44962,6077,13989,8,83.13,89.59,81.93,67.89,28.57
Kerala,16701,5011,7195,3156,1339,13596,4289,6227,2294,786,81.41,85.59,86.55,72.69,58.7
Ladakh,1054,913,28,113,0,613,513,19,81,0,58.16,56.19,67.86,71.68,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100,100,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,120617,100938,650,18300,729,78.29,82.7,74.37,62.71,37.35
Maharashtra,109942,66033,23554,19400,955,103075,65172,21660,15661,582,93.75,98.7,91.96,80.73,60.94
Manipur,4844,3073,587,1003,181,3770,2442,455,759,114,77.83,79.47,77.51,75.67,62.98
Meghalaya,14669,7802,4181,2220,466,7390,4218,2194,752,226,50.38,54.06,52.48,33.87,48.5
Mizoram,3913,2564,231,1025,93,3200,2277,194,673,56,81.78,88.81,83.98,65.66,60.22
Nagaland,2752,2007,0,745,0,1582,1167,0,415,0,57.49,58.15,0,55.7,0
Odisha,68717,55483,5770,4957,2507,67756,55128,5164,4957,2507,98.6,99.36,89.5,100,100
Puducherry,739,423,33,283,0,735,422,33,280,0,99.46,99.76,100,98.94,0
Punjab,28637,19404,458,8495,280,25094,18982,425,5499,188,87.63,97.83,92.79,64.73,67.14
Rajasthan,105883,67607,0,35776,2500,85619,57998,0,25783,1838,80.86,85.79,0,72.07,73.52
Sikkim,1290,854,19,417,0,1168,799,15,354,0,90.54,93.56,78.95,84.89,0
Tamil Nadu,59152,37728,8355,12439,630,48516,33832,7307,7119,258,82.02,89.67,87.46,57.23,40.95
Telangana,42355,29822,707,11621,205,36787,27485,587,8613,102,86.85,92.16,83.03,74.12,49.76
Tripura,4945,4309,46,343,247,3778,3363,37,245,133,76.4,78.05,80.43,71.43,53.85
Uttar Pradesh,273235,163142,8090,87433,14570,180740,131045,4762,39946,4987,66.15,80.33,58.86,45.69,34.23
Uttarakhand,23559,16934,616,5519,490,20432,16323,516,3317,276,86.73,96.39,83.77,60.1,56.33
West Bengal,97828,82876,127,11777,3048,66373,62504,55,2974,840,67.85,75.42,43.31,25.25,27.56
