"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(2),(32),(33),(34),(35),(36),(37),(38),(39),(40)
India,10367,6260,16627,889,366,1255,3769,2841,6610
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,0,0,0,0,0,0,16,40,56
Arunachal Pradesh,2,6,8,6,9,15,6,4,10
Assam,3010,1384,4394,24,9,33,790,437,1227
Bihar,889,241,1130,228,58,286,336,83,419
Chandigarh,1,4,5,0,7,7,0,0,0
Chhattisgarh,1,2,3,0,2,2,0,1,1
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
Daman and Diu,5,0,5,4,0,4,3,0,3
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,9,9,18,0,2,2,5,3,8
Haryana,43,52,95,13,18,31,19,21,40
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,4,8,12,0,0,0,0,7,7
Jharkhand,804,535,1339,29,12,41,125,62,187
Karnataka,0,0,0,1,4,5,0,0,0
Kerala,119,735,854,10,29,39,50,243,293
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0,0,0,0,0,0,0,0,0
Maharashtra,150,239,389,11,9,20,10,13,23
Manipur,13,9,22,0,0,0,0,0,0
Meghalaya,165,342,507,4,9,13,47,133,180
Mizoram,112,72,184,0,0,0,50,38,88
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,448,315,763,8,9,17,646,553,1199
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,135,670,805,0,0,0,170,687,857
Rajasthan,56,11,67,28,7,35,26,7,33
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,12,46,58,9,8,17,9,16,25
Telangana,12,0,12,0,0,0,0,0,0
Tripura,15,0,15,0,0,0,16,0,16
Uttar Pradesh,1683,978,2661,284,101,385,309,176,485
Uttarakhand,56,36,92,3,2,5,19,7,26
West Bengal,2623,566,3189,227,71,298,1117,310,1427
