"India/State /UT",Number of Schools – Government,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1083747,689989,167679,114716,16809,27448,15496,16083,21103,11766,2658
Andaman and Nicobar Islands,339,182,58,1,41,3,0,34,16,4,0
Andhra Pradesh,45013,33771,4221,0,637,5659,0,75,169,0,481
Arunachal Pradesh,3179,1849,962,53,146,44,1,39,51,34,0
Assam,47223,36748,2416,3327,898,2123,538,176,663,80,254
Bihar,72630,40536,25847,230,1728,52,461,1246,49,2412,69
Chandigarh,121,8,13,0,55,0,0,43,1,1,0
Chhattisgarh,48671,30660,123,13119,55,8,1890,100,47,2661,8
Dadra and Nagar Haveli,300,154,116,1,1,0,12,1,1,13,1
Daman and Diu,112,43,3,38,1,0,13,0,2,10,2
Delhi,2784,1675,3,16,24,79,0,505,481,1,0
Goa,833,700,40,0,0,75,2,5,5,0,6
Gujarat,35202,10676,22542,228,36,55,1061,43,149,268,144
Haryana,14516,8717,6,2437,3,1214,0,35,2092,12,0
Himachal Pradesh,15433,10631,5,1969,5,937,0,31,1855,0,0
Jammu and Kashmir,23167,12982,7486,126,1363,358,33,216,140,461,2
Jharkhand,35954,21430,11617,17,1495,89,310,200,441,292,63
Karnataka,50184,21491,21897,280,541,946,3461,43,94,728,703
Kerala,5011,2611,1045,58,207,52,35,420,397,175,11
Ladakh,913,404,379,9,54,25,2,6,6,27,1
Lakshadweep,45,15,15,0,2,0,0,4,5,4,0
Madhya Pradesh,122056,82746,20,29871,17,507,4504,92,49,4250,0
Maharashtra,66033,43552,20571,7,924,323,200,340,72,4,40
Manipur,3073,2065,550,17,267,98,0,27,31,15,3
Meghalaya,7802,5448,6,2226,14,65,1,12,23,2,5
Mizoram,2564,1291,1,948,2,4,290,2,4,0,22
Nagaland,2007,1069,601,26,116,136,4,6,47,1,1
Odisha,55483,32527,15830,1155,2952,1318,1048,55,243,0,355
Puducherry,423,234,48,1,38,35,0,6,51,7,3
Punjab,19404,12958,8,2654,20,1693,0,106,1953,2,10
Rajasthan,67607,33154,19293,198,3626,73,0,10816,375,72,0
Sikkim,854,476,171,0,117,2,0,83,5,0,0
Tamil Nadu,37728,24382,7055,24,57,3096,2,85,3022,5,0
Telangana,29822,19752,3305,0,675,5040,0,305,293,0,452
Tripura,4309,2198,1128,1,583,6,0,329,64,0,0
Uttar Pradesh,163142,113847,194,46386,55,40,1425,379,664,149,3
Uttarakhand,16934,11844,13,2659,11,736,203,48,1337,76,7
West Bengal,82876,67163,91,6634,43,2557,0,170,6206,0,12
