India/State/UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","UpperPrimary(6-8)",Elementary (1-8),"Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.01,1.02,1.01,1.00,1.03
Andaman and Nicobar Islands,1.05,1.02,1.04,1.12,1.23
Andhra Pradesh,0.95,0.98,0.96,0.99,1.07
Arunachal Pradesh,1.00,1.07,1.02,1.03,1.04
Assam,1.03,1.10,1.05,1.17,1.00
Bihar,1.03,1.10,1.05,1.11,1.00
Chandigarh,1.10,1.07,1.09,1.15,1.11
Chhattisgarh,0.99,1.01,1.00,1.12,1.15
Dadra and Nagar Haveli,1.03,1.00,1.02,1.07,1.37
Daman and Diu,1.03,1.03,1.03,1.25,2.01
Delhi,1.03,1.04,1.03,1.06,1.10
Goa,1.04,1.01,1.03,1.02,1.15
Gujarat,1.02,0.99,1.01,0.85,0.96
Haryana,0.99,1.00,0.99,0.96,1.00
Himachal Pradesh,1.02,1.01,1.01,1.01,1.06
Jammu and Kashmir,1.04,1.04,1.04,1.00,0.99
Jharkhand,0.99,1.05,1.01,1.06,1.02
Karnataka,0.98,0.98,0.98,0.98,1.21
Kerala,1.00,1.00,1.00,0.99,1.12
Ladakh,1.09,1.16,1.11,1.17,1.30
Lakshadweep,1.03,0.97,1.00,1.02,0.98
Madhya Pradesh,0.99,0.97,0.98,0.93,0.95
Maharashtra,1.00,0.99,0.99,0.97,0.95
Manipur,1.02,1.03,1.02,1.04,0.95
Meghalaya,1.03,1.14,1.06,1.20,1.22
Mizoram,0.99,1.00,0.99,1.03,1.12
Nagaland,1.02,1.08,1.04,1.13,1.10
Odisha,0.99,0.97,0.98,0.99,1.12
Puducherry,1.03,1.02,1.03,1.07,1.23
Punjab,1.00,1.01,1.00,1.00,1.02
Rajasthan,1.00,0.93,0.98,0.89,0.83
Sikkim,0.92,1.04,0.96,1.14,1.28
Tamil Nadu,1.00,0.99,1.00,1.01,1.23
Telangana,0.99,1.00,1.00,1.03,1.15
Tripura,1.02,1.03,1.02,1.08,1.03
Uttar Pradesh,1.04,1.05,1.04,0.94,0.96
Uttarakhand,1.01,1.02,1.02,1.02,1.09
West Bengal,1.01,1.08,1.03,1.26,1.20
