"India/State/ UT",% of Schools with toilet facility,% of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,96.79,97.81,93.45,96.15,85.9,93.24,93.88,91.1,93.56,82.27
Andaman and Nicobar Islands,100,100,100,100,100,98.79,98.53,100,100,100
Andhra Pradesh,97.73,97.9,83.12,99.51,92.75,70.3,60.9,73.79,95.99,87.75
Arunachal Pradesh,73.56,71.85,84.38,84.1,61.7,68.2,65.65,84.38,82.9,61.7
Assam,84.06,97.2,45.94,86.29,28.62,79.87,93.95,37.69,80.72,22.5
Bihar,99.26,99.34,99.14,99.1,98.75,98.92,99.01,98.71,98.88,98.31
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.25,99.16,99.31,99.91,99.39,98.81,98.69,97.47,99.82,98.17
Dadra and Nagar Haveli,100,100,100,100,100,100,100,100,100,100
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.89,99.82,100,100,100,99.89,99.82,100,100,100
Haryana,99.35,99.04,100,99.86,99.81,99.07,98.63,100,99.8,99.72
Himachal Pradesh,98.87,98.85,0,99.03,100,98.37,98.37,0,98.34,100
Jammu and Kashmir,96.08,95.28,100,99.5,95.74,91.09,89.15,100,99.34,95.74
Jharkhand,98.67,99.17,88.02,99.14,97.8,96.2,97.07,83.52,98,93.66
Karnataka,97.07,97.8,99.39,94.49,78.57,93.67,93.97,97.51,91.56,71.43
Kerala,99.63,99.18,99.96,99.71,99.33,99.5,98.88,99.92,99.62,99.33
Ladakh,95.16,94.74,100,97.35,0,87.67,86.86,100,91.15,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.25,98.46,97.37,97.48,97.03,96.94,97.14,96.91,96.28,94.21
Maharashtra,98.34,97.95,98.97,98.93,98.22,95.62,94.1,98.14,97.64,97.07
Manipur,87.7,86.23,78.88,96.11,94.48,75.91,71.46,60.99,95.31,92.27
Meghalaya,74.03,80.36,73.74,54.73,62.66,65.36,70.88,64.51,49.86,54.29
Mizoram,92.54,94.58,93.51,87.8,86.02,88.53,89.39,91.34,86.54,79.57
Nagaland,92.55,91.73,0,94.77,0,90.77,89.49,0,94.23,0
Odisha,99.62,99.96,97.07,99.41,98.52,97.86,98.71,92.5,96.69,93.7
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.85,99.93,93.45,100,100,97.01,96.37,93.01,98.62,99.64
Rajasthan,93.01,92.43,0,94.6,85.76,84.84,84.22,0,86.68,75.6
Sikkim,99.84,99.77,100,100,0,99.84,99.77,100,100,0
Tamil Nadu,98.99,99.43,98.64,97.99,97.14,98.62,98.98,98.43,97.79,96.35
Telangana,98.08,97.59,97.31,99.43,95.12,95.87,94.66,96.89,98.92,94.63
Tripura,92.82,93.57,100,96.21,73.68,82.1,82.22,97.83,92.71,62.35
Uttar Pradesh,95.96,97.32,95.7,93.9,93.24,93.33,94.57,93.79,91.55,89.88
Uttarakhand,97.92,97.71,97.73,98.66,96.94,94.45,93.43,96.27,97.35,94.69
West Bengal,99.34,99.94,99.21,96.35,94.46,98.03,99.59,98.43,89.34,89.24
