India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,1.8,0.7,27.1,26.3,19.9,0.6,4.1,4.8,0.4
Andaman and Nicobar Islands,3.9,3.8,50,33.3,0,3.3,0,4.2,0
Andhra Pradesh,3.7,1.7,26.8,53.3,33.3,1.7,3.2,9.7,0
Arunachal Pradesh,1.9,1,10.5,18.8,0,0.9,16.2,5.6,0
Assam,1,0.9,39.7,22.2,0,0.8,0.1,3.5,0
Bihar,0.8,0.4,18.4,25.6,75,0.4,1.9,4.8,0.3
Chandigarh,9.4,7.3,0,100,100,5.2,0,17.1,0
Chhattisgarh,1.3,1,38.9,28.6,0,0.9,1.4,3.3,0
"Dadra and Nagar Haveli and Damanand Diu",3,1.8,0,33.3,0,1.6,12.5,9.5,0
Delhi,9.2,7.9,50,0,0,7.2,9.7,10.5,0
Goa,3.2,0.9,20,0,0,0.7,5.6,7.2,0
Gujarat,2.7,0.5,24.4,23.5,0,0.4,10.6,5.1,0
Haryana,4.3,1.6,25.7,23.8,33.3,1.5,12.5,9.4,0.2
Himachal Pradesh,1.1,0.5,28,16.7,36.4,0.4,0,5.1,0
Jammu and Kashmir,1.1,0.4,22.2,10,0,0.4,0,3.8,0
Jharkhand,1.1,0.6,26.8,26.9,8.3,0.5,1.5,16.3,0.6
Karnataka,3.9,1.2,30.8,66.7,15.8,1.1,6.1,9.8,0
Kerala,5.8,4.5,48.7,35.7,0,4.1,3.9,13.8,1.3
Ladakh,2.5,2.3,66.7,0,0,2,0,4.5,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1.3,0.5,33.9,25.9,7.7,0.4,2.6,3.8,0
Maharashtra,2.2,0.2,26.7,32.4,13.6,0.2,5.2,5.2,1.1
Manipur,3.5,0.7,11.1,27.3,100,0.6,0.2,14,0
Meghalaya,0.6,0.2,28.6,18.2,0,0.1,1,1.2,1.7
Mizoram,0.4,0.4,50,28.6,0,0.2,1.7,0.2,0
Nagaland,4.1,1.1,0,36.4,0,0.9,0,12,0
Odisha,1.6,1,23.8,22.6,20,1,2.4,6,1.3
Puducherry,3.8,2.8,25,50,0,2.2,3,5.3,0
Punjab,2.2,0.6,32.7,13,47.6,0.4,1.8,6.1,0
Rajasthan,1.7,0.6,24.7,28.6,14.3,0.5,0,3.9,0
Sikkim,4.1,5.2,0,0,0,5.3,5.3,1.6,0
Tamil Nadu,0,0,0,0,0,0,0,0,0
Telangana,3.4,1.8,14.3,33.3,50,1.7,2.7,7.5,0
Tripura,2.2,2,44.4,25,0,1.8,4.7,6.1,0
Uttar Pradesh,1.5,0.2,21.5,14.7,25,0.1,5.2,3.1,0.7
Uttarakhand,1.3,0.5,20,30.8,42.9,0.4,3.1,3.6,0
West Bengal,0.7,0.5,27.4,23.5,15.9,0.5,12.5,1.7,0.3
