India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,2.2,1.2,24.4,36.9,14,1.1,3.2,5.1,1.8
Andaman and Nicobar Islands,1.9,1.8,100,33.3,0,0.9,0,2.8,0
Andhra Pradesh,5,2.3,29.3,60,33.3,2.3,1.8,13.5,4.3
Arunachal Pradesh,0.9,0.4,0,12.5,0,0.3,1.5,3.8,0
Assam,0.5,0.5,13.8,44.4,16.7,0.4,0.2,1.6,0.1
Bihar,1,0.5,26.5,33.3,25,0.5,1.4,4.5,2.4
Chandigarh,10.3,7.3,50,0,0,6,0,19.7,0
Chhattisgarh,1.4,1,36.1,21.4,16.7,1,1.4,3.8,0.7
"Dadra and Nagar Haveli and Damanand Diu",1.3,0.8,0,0,0,0.8,0,4.8,0
Delhi,4.9,4.6,41.3,50,0,3.9,0.8,5.6,0
Goa,1.5,0.4,0,0,0,0.4,2.3,4.3,0
Gujarat,2.5,1.3,22.2,41.2,0,1.3,1.5,5.9,0
Haryana,2.9,0.6,20,42.9,33.3,0.5,0,6.8,4.3
Himachal Pradesh,1.3,0.6,28,41.7,18.2,0.5,0,5.1,0
Jammu and Kashmir,1.2,0.5,22.2,45,0,0.4,0,4.1,1
Jharkhand,1.9,1.5,17.1,38.5,0,1.5,0.4,6.1,3.2
Karnataka,3.7,1.2,28.9,36.7,15.8,1.2,3.2,10.2,9.1
Kerala,7.4,6.8,41,50,50,6.4,7.4,8.7,6.1
Ladakh,4.1,4.7,33.3,50,0,4.5,0,0.9,0
Lakshadweep,7.9,7.9,100,100,0,2.8,0,0,0
Madhya Pradesh,2.1,1.1,28.6,42.6,15.4,1.1,1.1,5,2.2
Maharashtra,4.8,3.1,35,50,13.6,3.1,5.5,9.8,6.7
Manipur,1,0.5,22.2,54.6,0,0.2,0.2,2.9,1.5
Meghalaya,0.7,0.3,14.3,27.3,0,0.2,1.6,0.9,0.6
Mizoram,0.1,0.2,25,28.6,0,0,0,0,1.2
Nagaland,1.3,0.8,16.7,18.2,0,0.7,0,2.3,100
Odisha,2.8,2.5,30.2,22.6,20,2.5,2.9,4.6,4.4
Puducherry,4.2,1.7,25,50,0,1,0,8.5,0
Punjab,6.4,6.4,21.2,26.1,38.1,6.3,1.6,6.7,7.1
Rajasthan,2.1,0.6,19.5,34.3,28.6,0.5,0,5.4,0.4
Sikkim,5.6,7.3,50,75,0,6.9,0,2.1,0
Tamil Nadu,0,0,0,0,0,0,0,0,0
Telangana,1.8,0.8,11.4,33.3,25,0.8,0.9,4.3,2.4
Tripura,0.7,0.7,33.3,75,0,0.5,0,1.1,0.4
Uttar Pradesh,1.6,0.8,25.6,25.3,14.3,0.7,1.5,2.9,1.2
Uttarakhand,1.5,0.5,17.8,53.9,14.3,0.4,1.6,4.1,3.2
West Bengal,0.4,0.2,22.6,47.1,2.3,0.2,3.4,1.8,0.6
