"India/State/ UT",Age-Specific Enrolment Rat (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,97.6,100,99.1,92.2,92.3,92.2,95.6,97.5,96.5,73,72.6,72.8,41.9,42.9,42.4
Andaman and Nicobar Islands,66.2,70.2,68.1,68.8,70.8,69.7,67.2,70.4,68.8,64,72.2,67.8,45.4,51.5,48.2
Andhra Pradesh,96.7,98.2,97.4,98,94.3,96.2,97.1,96.7,96.9,77.2,72.4,74.8,40.7,40.9,40.8
Arunachal Pradesh,100,100,100,80,83.9,81.9,98.4,100,100,60.9,64.9,62.9,38.3,41.3,39.8
Assam,100,100,100,85.4,94.8,90,100,100,100,58.7,70,64.3,30.6,34.9,32.7
Bihar,99.5,100,100,89.1,91.7,90.4,95.6,98.4,97,51.3,53.6,52.4,20.3,20.9,20.6
Chandigarh,76.3,85.8,80.5,86.4,97.9,91.4,80.2,90.3,84.6,84.5,98.6,90.5,66.3,74.7,69.8
Chhattisgarh,91.8,92.3,92,87.9,89,88.5,90.4,91.1,90.8,74.2,80.1,77.1,53.3,61.9,57.5
"Dadra and Nagar Haveli andDaman and Diu",81,86.6,83.6,91.9,95.6,93.6,85,89.9,87.3,71.9,83.7,77.1,40.7,57.8,47.4
Delhi,100,100,100,100,100,100,100,100,100,100,100,100,72.6,83.4,77.5
Goa,85.9,89.3,87.5,84.6,87.4,85.9,85.4,88.6,86.9,72.2,81.3,76.4,58.4,62.7,60.4
Gujarat,87.9,93.2,90.3,87.1,86.3,86.8,87.6,90.6,89,68.4,64.8,66.7,32.8,32.1,32.4
Haryana,94.8,96.7,95.7,100,100,100,97.3,98.2,97.7,89.8,87.7,88.8,53,50,51.7
Himachal Pradesh,100,100,100,97.1,99.9,98.7,100,100,100,92.6,93.3,92.9,58.3,60,59.1
Jammu and Kashmir,100,100,100,60.9,64.9,62.7,82.9,85.9,84.3,49.2,50.6,49.9,34.8,34.2,34.5
Jharkhand,98,100,98.9,86.8,88.3,87.6,93.7,95.3,94.4,58.4,61.8,60.1,32.5,36.5,34.4
Karnataka,100,100,100,100,100,100,100,100,100,79.2,79,79.1,44.3,46.4,45.3
Kerala,100,100,100,100,100,100,100,100,100,88.8,90.7,89.8,55.2,59.4,57.2
Ladakh,74.8,66.4,70.4,65.9,61.9,63.7,71.4,64.6,67.8,48.8,55.3,52.1,40.6,37.5,39
Lakshadweep,76.5,77.8,77.1,68.6,56.1,62,73.6,68.8,71.2,62.8,68.3,65.5,59.1,52.6,55.7
Madhya Pradesh,80.3,81,80.6,84.3,82.1,83.2,81.7,81.4,81.5,65.7,63.3,64.5,42.4,40.9,41.7
Maharashtra,100,100,100,99,97.9,98.5,100,100,100,88.5,86.7,87.7,62.6,61.3,62
Manipur,100,100,100,84.5,88.1,86.3,100,100,100,73,75.2,74.1,59.9,60.5,60.2
Meghalaya,100,100,100,100,100,100,100,100,100,78,93.6,85.7,46.7,57.8,52.1
Mizoram,100,100,100,100,100,100,100,100,100,87.3,92.7,89.9,58.2,65.7,61.9
Nagaland,88.4,93.4,90.8,64,70.8,67.3,77.5,83.3,80.3,51.2,59.3,55.1,31.2,37,34
Odisha,97.6,97.4,97.5,85.8,86.1,86,93.1,93,93.1,66,67.8,66.8,27.1,29.5,28.3
Puducherry,76.4,77,76.7,76,78.5,77.2,76.2,77.6,76.9,63.6,72.7,67.8,39.4,44.8,42
Punjab,96.4,97.4,96.9,100,100,100,98.3,100,99.2,92.5,95,93.6,71.6,72.1,71.9
Rajasthan,94,96.5,95.2,93.4,88.6,91.1,93.8,93.6,93.7,83.1,75.9,79.6,52.9,48.2,50.7
Sikkim,95.6,94.2,94.9,73.6,74.7,74.1,85.3,85,85.2,73.6,77.7,75.6,54.4,58.6,56.5
Tamil Nadu,98.6,100,99.8,99.1,98.8,99,98.8,100,99.5,89.9,92.7,91.3,48.4,51.5,49.9
Telangana,100,100,100,100,100,100,100,100,100,88.8,88.2,88.5,52.4,50.3,51.3
Tripura,100,100,100,84.7,88.6,86.6,100,100,100,74.6,80.4,77.5,49.4,56.7,52.9
Uttar Pradesh,95.3,100,97.5,87.7,87.4,87.5,92.7,95.5,94,64.7,59.5,62.2,32.1,30,31.1
Uttarakhand,100,100,100,98.6,100,99.4,100,100,100,86.4,88.9,87.4,51.3,53.6,52.4
West Bengal,100,100,100,93,94.5,93.7,100,100,100,85.6,94.2,89.9,53.2,67.8,60.4
