India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,92.7,91.2,99.8,100,99.6,91.2,92.8,98,88.2
Andaman and Nicobar Islands,99.5,99.4,100,100,0,99.4,100,100,0
Andhra Pradesh,85.4,80.8,95.1,100,100,80.8,77.7,99.5,90.9
Arunachal Pradesh,69,63,100,100,100,62.5,100,97.4,95.7
Assam,77.5,83.9,100,100,100,83.9,49.6,90.8,30.5
Bihar,96.6,96,100,100,100,96,96.2,99.1,99.1
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,94.1,93.3,100,100,100,93.3,97,99.2,95.7
"Dadra and Nagar Haveli and Damanand Diu",100,100,100,100,0,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,99.9,99.9,100,100,0,99.9,99.8,100,0
Gujarat,97.3,96,100,100,100,96,99.5,99.9,100
Haryana,97.8,96.5,100,100,100,96.5,100,99.9,99.4
Himachal Pradesh,98,97.7,100,100,100,97.7,0,99.6,100
Jammu and Kashmir,80,75.4,100,100,0,75.4,100,98.6,97
Jharkhand,96,96.1,100,100,100,96,83.9,98.6,97.3
Karnataka,95.3,93.1,100,100,100,93.1,99.4,99.4,100
Kerala,99.1,98.1,100,100,100,98.1,99.4,99.7,99.7
Ladakh,95.6,95,100,100,100,94.9,96,100,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,94.5,93,100,100,100,93,98.2,98.8,97
Maharashtra,92.4,88,100,100,100,88,99.2,99,99.7
Manipur,75.4,71,100,100,100,70.8,52.2,98.4,95.5
Meghalaya,73.5,77.1,100,100,0,77,72.4,65.4,61
Mizoram,87.1,84,100,100,100,83.9,89,94.2,90.5
Nagaland,76.3,68.8,100,100,100,68.5,0,95.8,100
Odisha,88.8,88.7,100,100,100,88.7,79.7,97.4,94
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,98.5,97.9,100,100,100,97.9,99.8,99.9,100
Rajasthan,90.8,89.6,100,100,100,89.6,0,93.7,81.6
Sikkim,99,98.6,100,100,100,98.6,100,99.7,0
Tamil Nadu,99.9,99.9,100,0,100,99.9,99.5,99.9,99.6
Telangana,70,57.8,97.1,100,87.5,57.7,80.5,98.2,91.9
Tripura,72.9,71.7,100,100,0,71.6,95.4,94.7,58.1
Uttar Pradesh,96.5,95.2,100,100,100,95.2,96.4,98.3,97
Uttarakhand,89.4,86.1,100,100,100,86.1,95.3,98.3,95.3
West Bengal,99.8,99.9,100,100,100,99.9,100,99.4,97.8
