"India/State/ UT",Total Schools,Schools having functional Projector availability,"Percentage of Schools having functional Projectoravailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,248609,120438,31587,93048,3536,16.7,11.8,38.3,27.7,7.3
Andaman and Nicobar Islands,416,342,2,72,0,115,86,2,27,0,27.6,25.2,100,37.5,0
Andhra Pradesh,61948,45137,1542,15058,211,14726,6610,175,7914,27,23.8,14.6,11.4,52.6,12.8
Arunachal Pradesh,3603,2985,68,503,47,806,573,39,185,9,22.4,19.2,57.4,36.8,19.2
Assam,60859,45490,3841,5852,5676,3591,2610,63,907,11,5.9,5.7,1.6,15.5,0.2
Bihar,93165,75558,742,8097,8768,2976,403,19,1781,773,3.2,0.5,2.6,22,8.8
Chandigarh,233,123,7,76,27,198,112,7,70,9,85,91.1,100,92.1,33.3
Chhattisgarh,56512,48743,417,7063,289,5246,3778,34,1431,3,9.3,7.8,8.2,20.3,1
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,126,77,8,41,0,27.4,19.9,100,65.1,0
Delhi,5619,2762,247,2610,0,3418,1616,152,1650,0,60.8,58.5,61.5,63.2,0
Goa,1510,814,557,139,0,621,102,437,82,0,41.1,12.5,78.5,59,0
Gujarat,53851,34699,5590,13559,3,20722,9516,3721,7483,2,38.5,27.4,66.6,55.2,66.7
Haryana,23726,14562,16,8261,887,6340,2337,8,3785,210,26.7,16.1,50,45.8,23.7
Himachal Pradesh,18028,15380,0,2646,2,2960,1890,0,1070,0,16.4,12.3,0,40.4,0
Jammu and Kashmir,28805,23173,1,5526,105,3639,2462,0,1172,5,12.6,10.6,0,21.2,4.8
Jharkhand,44855,35840,1175,1559,6281,3309,1590,94,699,926,7.4,4.4,8,44.8,14.7
Karnataka,76450,49679,7110,19650,11,17201,7206,2060,7934,1,22.5,14.5,29,40.4,9.1
Kerala,16240,5010,7183,3164,883,13365,4368,6464,2185,348,82.3,87.2,90,69.1,39.4
Ladakh,978,838,28,112,0,186,129,1,56,0,19,15.4,3.6,50,0
Lakshadweep,38,38,0,0,0,32,32,0,0,0,84.2,84.2,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,8696,2432,69,6147,48,6.9,2.6,9.3,20.3,2.7
Maharashtra,109605,65639,24037,19268,661,51016,23525,14723,12497,271,46.6,35.8,61.3,64.9,41
Manipur,4617,2889,583,1010,135,498,109,6,373,10,10.8,3.8,1,36.9,7.4
Meghalaya,14600,7783,4172,2120,525,735,162,318,213,42,5,2.1,7.6,10.1,8
Mizoram,3911,2563,230,1034,84,223,101,44,73,5,5.7,3.9,19.1,7.1,6
Nagaland,2718,1960,0,757,1,380,80,0,299,1,14,4.1,0,39.5,100
Odisha,62291,49072,5807,6104,1308,4851,2649,457,1541,204,7.8,5.4,7.9,25.3,15.6
Puducherry,736,422,33,281,0,434,217,25,192,0,59,51.4,75.8,68.3,0
Punjab,27701,19259,450,7978,14,22401,18392,93,3916,0,80.9,95.5,20.7,49.1,0
Rajasthan,106373,68948,0,34826,2599,13189,6907,0,6170,112,12.4,10,0,17.7,4.3
Sikkim,1259,864,19,376,0,439,315,6,118,0,34.9,36.5,31.6,31.4,0
Tamil Nadu,58801,37636,8323,12396,446,9102,61,1721,7144,176,15.5,0.2,20.7,57.6,39.5
Telangana,43083,30023,700,12193,167,6690,3420,94,3174,2,15.5,11.4,13.4,26,1.2
Tripura,4929,4262,43,363,261,624,494,12,111,7,12.7,11.6,27.9,30.6,2.7
Uttar Pradesh,258054,137024,8113,97808,15109,16911,6320,612,9749,230,6.6,4.6,7.5,10,1.5
Uttarakhand,22815,16484,608,5225,498,3070,1379,97,1584,10,13.5,8.4,16,30.3,2
West Bengal,94744,83302,88,9750,1604,9773,8378,26,1275,94,10.3,10.1,29.6,13.1,5.9
