India/State/UT,Total number of,Indicators,,,,,,
"",,,Schools,Enrolments,Teachers,"PupilTeacherRatio","TeachersPerSchools","EnrolmentsPer Schools"
(1),(2),(3),(4),(5),(6),(7),,
"",India,,1489115,265235830,9507123,28,6,178
Andaman and Nicobar Islands,416,73861,5281,14,13,178,,
Andhra Pradesh,61948,8244647,320724,26,5,133,,
Arunachal Pradesh,3603,354382,23707,15,7,98,,
Assam,60859,7544960,352944,21,6,124,,
Bihar,93165,27472692,582876,47,6,295,,
Chandigarh,233,268627,9345,29,40,1153,,
Chhattisgarh,56512,5992197,260782,23,5,106,,
Dadra and Nagar Haveli and Daman and Diu,460,133358,4489,30,10,290,,
Delhi,5619,4572107,151600,30,27,814,,
Goa,1510,304982,13836,22,9,202,,
Gujarat,53851,11542276,378118,31,7,214,,
Haryana,23726,6035679,237594,25,10,254,,
Himachal Pradesh,18028,1437022,100137,14,6,80,,
Jammu and Kashmir,28805,2718644,167106,16,6,94,,
Jharkhand,44855,7970750,210418,38,5,178,,
Karnataka,76450,12092381,431386,28,6,158,,
Kerala,16240,6423120,268473,24,17,396,,
Ladakh,978,59788,6155,10,6,61,,
Lakshadweep,38,13586,806,17,21,358,,
Madhya Pradesh,125582,16169265,601208,27,5,129,,
Maharashtra,109605,22586695,748589,30,7,206,,
Manipur,4617,693194,42684,16,9,150,,
Meghalaya,14600,1169720,55160,21,4,80,,
Mizoram,3911,309904,23366,13,6,79,,
Nagaland,2718,443796,31402,14,12,163,,
Odisha,62291,7576893,331336,23,5,122,,
Puducherry,736,255546,12355,21,17,347,,
Punjab,27701,6147500,257134,24,9,222,,
Rajasthan,106373,17667510,724525,24,7,166,,
Sikkim,1259,135963,13613,10,11,108,,
Tamil Nadu,58801,12830951,569920,23,10,218,,
Telangana,43083,6915241,320894,22,7,161,,
Tripura,4929,713862,36433,20,7,145,,
Uttar Pradesh,258054,47181438,1507828,31,6,183,,
Uttarakhand,22815,2449926,123212,20,5,107,,
West Bengal,94744,18733367,581687,32,6,198,,
