"India/State/ UT",Total Schools,Schools with functional Desktop/PCs availability,"Percentage of Schools with functional Desktop/PCsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,385553,168970,41456,164866,10261,25.9,16.5,50.3,49.1,21.2
Andaman and Nicobar Islands,416,342,2,72,0,253,190,2,61,0,60.8,55.6,100,84.7,0
Andhra Pradesh,61948,45137,1542,15058,211,18631,6585,369,11585,92,30.1,14.6,23.9,76.9,43.6
Arunachal Pradesh,3603,2985,68,503,47,783,365,58,339,21,21.7,12.2,85.3,67.4,44.7
Assam,60859,45490,3841,5852,5676,5125,3066,128,1876,55,8.4,6.7,3.3,32.1,1
Bihar,93165,75558,742,8097,8768,7864,2279,61,3380,2144,8.4,3,8.2,41.7,24.5
Chandigarh,233,123,7,76,27,227,122,7,76,22,97.4,99.2,100,100,81.5
Chhattisgarh,56512,48743,417,7063,289,8527,4877,132,3487,31,15.1,10,31.7,49.4,10.7
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,407,338,8,60,1,88.5,87.1,100,95.2,100
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,708,116,480,112,0,46.9,14.3,86.2,80.6,0
Gujarat,53851,34699,5590,13559,3,33384,19119,4124,10140,1,62,55.1,73.8,74.8,33.3
Haryana,23726,14562,16,8261,887,10820,4009,11,6309,491,45.6,27.5,68.8,76.4,55.4
Himachal Pradesh,18028,15380,0,2646,2,5898,3784,0,2114,0,32.7,24.6,0,79.9,0
Jammu and Kashmir,28805,23173,1,5526,105,6327,3355,1,2926,45,22,14.5,100,53,42.9
Jharkhand,44855,35840,1175,1559,6281,5939,1679,259,1166,2835,13.2,4.7,22,74.8,45.1
Karnataka,76450,49679,7110,19650,11,22580,8474,2892,11209,5,29.5,17.1,40.7,57,45.5
Kerala,16240,5010,7183,3164,883,11275,3294,4506,2810,665,69.4,65.8,62.7,88.8,75.3
Ladakh,978,838,28,112,0,290,210,4,76,0,29.7,25.1,14.3,67.9,0
Lakshadweep,38,38,0,0,0,35,35,0,0,0,92.1,92.1,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,19094,5253,215,13360,266,15.2,5.7,29.1,44,14.8
Maharashtra,109605,65639,24037,19268,661,66893,30645,19467,16327,454,61,46.7,81,84.7,68.7
Manipur,4617,2889,583,1010,135,937,203,25,663,46,20.3,7,4.3,65.6,34.1
Meghalaya,14600,7783,4172,2120,525,1828,538,721,462,107,12.5,6.9,17.3,21.8,20.4
Mizoram,3911,2563,230,1034,84,794,408,71,292,23,20.3,15.9,30.9,28.2,27.4
Nagaland,2718,1960,0,757,1,1036,506,0,529,1,38.1,25.8,0,69.9,100
Odisha,62291,49072,5807,6104,1308,10713,5323,1297,3559,534,17.2,10.9,22.3,58.3,40.8
Puducherry,736,422,33,281,0,651,374,32,245,0,88.5,88.6,97,87.2,0
Punjab,27701,19259,450,7978,14,24950,17609,370,6966,5,90.1,91.4,82.2,87.3,35.7
Rajasthan,106373,68948,0,34826,2599,34792,17384,0,16951,457,32.7,25.2,0,48.7,17.6
Sikkim,1259,864,19,376,0,770,468,11,291,0,61.2,54.2,57.9,77.4,0
Tamil Nadu,58801,37636,8323,12396,446,13391,116,2989,10004,282,22.8,0.3,35.9,80.7,63.2
Telangana,43083,30023,700,12193,167,9446,4198,144,5093,11,21.9,14,20.6,41.8,6.6
Tripura,4929,4262,43,363,261,816,547,25,219,25,16.6,12.8,58.1,60.3,9.6
Uttar Pradesh,258054,137024,8113,97808,15109,30080,3138,2393,23353,1196,11.7,2.3,29.5,23.9,7.9
Uttarakhand,22815,16484,608,5225,498,10056,6225,360,3367,104,44.1,37.8,59.2,64.4,20.9
West Bengal,94744,83302,88,9750,1604,14614,11376,47,2849,342,15.4,13.7,53.4,29.2,21.3
