"India/State/ UT",Percentage of Schools with electricity connection,Percentage of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,89.3,88.9,88.3,92.6,77.9,86.6,85.4,86.9,91.7,76
Andaman and Nicobar Islands,92.8,91.2,100,100,0,92.8,91.2,100,100,0
Andhra Pradesh,98.8,98.5,97.1,99.9,100,98,97.5,95.5,99.7,99.1
Arunachal Pradesh,66.7,60.7,98.5,96,87.2,53.8,45.4,97.1,94.6,85.1
Assam,77.1,89.7,23.5,77.8,11.1,75.1,87.8,21.1,76.5,8.4
Bihar,88.8,87.1,88,97.6,94.7,87.6,85.8,87.5,97.1,93.7
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,95.8,95.4,91.4,98.7,96.2,91.4,90.4,89.5,98.1,94.1
"Dadra and Nagar Haveli andDaman and Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,100,99.9,100,100,100,100,99.9,100,100,100
Haryana,99.1,98.9,100,99.5,99.2,97.8,96.8,100,99.4,99.1
Himachal Pradesh,98.7,98.4,0,99.9,100,97.8,97.4,0,99.9,100
Jammu and Kashmir,76.6,73.8,100,88,81.9,72.9,69.7,100,86.4,80
Jharkhand,95.3,96.5,68.7,96.7,92.6,92.1,93,64.8,96,91.3
Karnataka,99.1,99.1,99.9,98.6,100,98.6,98.5,99.8,98.5,100
Kerala,99.6,98.8,100,99.8,99.8,99.5,98.6,100,99.8,99.8
Ladakh,93.4,93.2,100,92.9,0,92.2,91.9,100,92.9,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,77.1,72.2,75,91.7,86.3,74.8,69.5,73.8,90.6,85.2
Maharashtra,95,92.2,98.9,99.2,99.9,85.6,76.9,98.3,98.7,99.4
Manipur,66.5,60.7,39.3,96.2,86.7,54.5,43.5,30,95.9,85.9
Meghalaya,26.5,18.2,33.2,38.8,46.9,24.7,16.2,31.6,37,44.6
Mizoram,84.3,81.4,96.5,88.3,90.5,79.6,74.8,95.7,87.3,89.3
Nagaland,76.3,70,0,92.7,100,67.1,57.8,0,91.2,100
Odisha,84.3,83.2,79.1,96.5,91.1,76.7,75.1,70.1,93.4,86.5
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,87.7,83.9,0,96,78.1,86.7,82.7,0,95.4,76.4
Sikkim,99.6,99.4,100,100,0,98.4,97.7,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,93.9,92,88.9,98.7,98.8,90.3,87,88.7,98.7,98.8
Tripura,57.3,55.6,86.1,89.3,36.4,55,53,86.1,89.3,34.1
Uttar Pradesh,84.5,85.1,84.9,84.4,79.5,81.3,80.8,83.3,82.6,77.1
Uttarakhand,91.6,89.8,93.8,96.3,98.8,88.6,86,92.8,95.6,97.4
West Bengal,97.3,98.1,97.7,92.2,88.6,96.2,96.9,96.6,91.2,87.2
