"India/State/ UT",Percentage of Muslim minority enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary (11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,15.4,15.9,15.6,13.9,15.0,14.4,14.9,15.6,15.2,11.9,13.4,12.6,9.9,11.7,10.8,13.9,14.8,14.3
Andaman and Nicobar Islands,9.7,9.7,9.7,9.1,9.0,9.1,9.5,9.4,9.4,8.4,8.5,8.5,7.4,8.0,7.7,8.9,9.0,9.0
Andhra Pradesh,7.9,8.0,8.0,6.8,7.2,7.0,7.5,7.7,7.6,6.1,6.4,6.2,5.1,4.9,5.0,7.0,7.2,7.1
Arunachal Pradesh,1.6,1.5,1.5,1.3,1.1,1.2,1.5,1.4,1.4,1.3,1.2,1.3,1.2,1.2,1.2,1.4,1.3,1.4
Assam,43.8,43.9,43.8,38.7,42.4,40.6,42.1,43.3,42.7,30.3,36.0,33.4,24.3,25.9,25.1,39.2,40.9,40.1
Bihar,15.0,15.7,15.3,13.7,15.3,14.5,14.5,15.6,15.0,10.9,12.8,11.8,9.9,10.9,10.4,13.7,14.9,14.3
Chandigarh,6.1,6.0,6.1,5.8,5.8,5.8,6.0,5.9,6.0,4.8,5.4,5.1,2.8,3.0,2.9,5.2,5.3,5.3
Chhattisgarh,1.7,1.6,1.6,1.6,1.5,1.5,1.6,1.5,1.6,1.5,1.5,1.5,1.3,1.4,1.4,1.6,1.5,1.5
"Dadra and Nagar Haveli andDaman and Diu",5.7,5.5,5.6,5.6,5.6,5.6,5.7,5.5,5.6,5.6,5.4,5.5,4.1,3.4,3.8,5.5,5.2,5.4
Delhi,15.3,16.8,16.0,15.2,17.1,16.1,15.3,16.9,16.0,13.9,16.0,14.9,11.5,14.3,12.8,14.5,16.3,15.4
Goa,12.5,12.6,12.5,11.9,11.8,11.8,12.3,12.3,12.3,10.5,10.4,10.5,9.6,9.5,9.6,11.6,11.6,11.6
Gujarat,9.3,9.7,9.5,9.0,9.4,9.2,9.2,9.6,9.4,7.8,8.0,7.9,6.0,6.6,6.3,8.6,9.1,8.9
Haryana,10.1,10.4,10.2,7.5,7.3,7.4,9.1,9.3,9.2,5.5,4.7,5.2,4.2,2.7,3.5,7.9,7.6,7.8
Himachal Pradesh,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.2,1.0,1.1,1.8,1.7,1.7
Jammu and Kashmir,63.9,65.6,64.7,60.4,63.1,61.7,62.7,64.8,63.7,59.7,62.0,60.8,59.7,61.4,60.5,61.9,63.9,62.9
Jharkhand,14.1,14.8,14.4,13.8,14.8,14.3,14.0,14.8,14.4,11.2,13.0,12.1,9.1,10.6,9.9,13.1,14.1,13.6
Karnataka,16.6,16.9,16.7,15.8,16.1,15.9,16.3,16.6,16.4,14.7,15.5,15.1,9.4,11.3,10.3,15.3,15.9,15.6
Kerala,38.4,38.3,38.3,36.5,36.6,36.6,37.7,37.6,37.7,35.6,35.6,35.6,28.6,30.0,29.3,36.0,36.1,36.1
Ladakh,54.7,55.8,55.2,53.2,54.8,54.0,54.2,55.4,54.8,56.2,58.2,57.2,62.7,61.7,62.2,55.6,56.7,56.2
Lakshadweep,99.7,99.4,99.6,99.6,99.8,99.7,99.7,99.6,99.6,99.7,99.8,99.7,99.8,99.9,99.8,99.7,99.6,99.7
Madhya Pradesh,5.4,5.6,5.5,5.1,5.5,5.3,5.3,5.6,5.4,3.9,4.6,4.2,3.4,4.4,3.9,4.9,5.3,5.1
Maharashtra,13.7,14.5,14.1,13.0,14.0,13.4,13.4,14.3,13.8,11.8,12.9,12.3,8.9,10.1,9.5,12.6,13.5,13.0
Manipur,10.3,10.3,10.3,9.1,9.2,9.2,9.9,9.9,9.9,8.3,8.1,8.2,7.1,5.8,6.5,9.4,9.2,9.3
Meghalaya,4.1,4.3,4.2,4.1,4.3,4.2,4.1,4.3,4.2,3.5,2.9,3.2,3.8,2.5,3.1,4.0,4.0,4.0
Mizoram,0.5,0.5,0.5,0.3,0.3,0.3,0.4,0.5,0.4,0.3,0.2,0.2,0.4,0.3,0.4,0.4,0.4,0.4
Nagaland,7.5,7.2,7.3,4.0,4.2,4.1,6.3,6.1,6.2,3.0,2.7,2.9,2.1,1.6,1.8,5.4,5.1,5.3
Odisha,2.0,2.0,2.0,1.9,2.0,2.0,2.0,2.0,2.0,1.9,2.1,2.0,1.3,1.5,1.4,1.9,2.0,1.9
Puducherry,8.5,8.7,8.6,7.7,8.0,7.8,8.2,8.4,8.3,7.0,7.4,7.2,7.4,7.2,7.3,7.9,8.0,8.0
Punjab,2.7,2.7,2.7,2.3,2.4,2.4,2.5,2.6,2.6,1.9,2.0,2.0,1.7,1.8,1.7,2.3,2.4,2.3
Rajasthan,9.9,9.8,9.8,8.1,8.0,8.1,9.3,9.2,9.2,6.7,6.4,6.6,5.2,4.8,5.0,8.4,8.3,8.3
Sikkim,2.3,2.1,2.2,2.1,1.8,1.9,2.2,2.0,2.1,1.5,1.5,1.5,1.7,2.2,2.0,2.0,1.9,1.9
Tamil Nadu,7.1,7.3,7.2,6.9,7.1,7.0,7.1,7.2,7.1,6.8,7.0,6.9,6.4,6.3,6.4,6.9,7.0,7.0
Telangana,15.0,15.5,15.3,15.5,16.4,16.0,15.2,15.8,15.5,14.9,15.9,15.4,15.2,15.6,15.4,15.2,15.8,15.5
Tripura,10.9,10.8,10.8,9.5,10.5,10.0,10.4,10.7,10.5,8.4,10.5,9.5,6.6,7.2,6.9,9.6,10.2,9.9
Uttar Pradesh,17.1,17.5,17.3,14.6,15.4,15.0,16.3,16.8,16.5,12.0,13.3,12.6,10.7,12.3,11.4,15.1,15.9,15.5
Uttarakhand,17.9,18.3,18.0,13.1,14.3,13.6,16.2,16.8,16.5,8.6,10.4,9.4,6.3,8.2,7.2,13.6,14.6,14.1
West Bengal,33.4,33.9,33.7,32.7,34.5,33.6,33.2,34.1,33.6,26.1,30.0,28.1,22.8,30.8,27.3,31.0,33.0,32.0
