"India/State/ UT",Total Schools,"Number of schools having ramps with handrails forCWSN","Percentage of Schools having ramps with handrailsfor CWSN",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,740395,589986,35791,107503,7115,49.7,57.7,43.4,32,14.7
Andaman and Nicobar Islands,416,342,2,72,0,147,134,0,13,0,35.3,39.2,0,18.1,0
Andhra Pradesh,61948,45137,1542,15058,211,22251,17880,324,4014,33,35.9,39.6,21,26.7,15.6
Arunachal Pradesh,3603,2985,68,503,47,637,577,7,46,7,17.7,19.3,10.3,9.2,14.9
Assam,60859,45490,3841,5852,5676,37468,36618,200,526,124,61.6,80.5,5.2,9,2.2
Bihar,93165,75558,742,8097,8768,34949,31217,203,1929,1600,37.5,41.3,27.4,23.8,18.3
Chandigarh,233,123,7,76,27,126,70,4,48,4,54.1,56.9,57.1,63.2,14.8
Chhattisgarh,56512,48743,417,7063,289,34411,32163,159,2049,40,60.9,66,38.1,29,13.8
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,403,375,4,23,1,87.6,96.7,50,36.5,100
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,831,701,107,23,0,55,86.1,19.2,16.6,0
Gujarat,53851,34699,5590,13559,3,31935,25773,2156,4004,2,59.3,74.3,38.6,29.5,66.7
Haryana,23726,14562,16,8261,887,10881,7545,8,3151,177,45.9,51.8,50,38.1,20
Himachal Pradesh,18028,15380,0,2646,2,11807,11374,0,433,0,65.5,74,0,16.4,0
Jammu and Kashmir,28805,23173,1,5526,105,4280,3780,0,493,7,14.9,16.3,0,8.9,6.7
Jharkhand,44855,35840,1175,1559,6281,16630,15549,116,335,630,37.1,43.4,9.9,21.5,10
Karnataka,76450,49679,7110,19650,11,44735,35407,2679,6647,2,58.5,71.3,37.7,33.8,18.2
Kerala,16240,5010,7183,3164,883,9895,3866,4923,886,220,60.9,77.2,68.5,28,24.9
Ladakh,978,838,28,112,0,306,291,2,13,0,31.3,34.7,7.1,11.6,0
Lakshadweep,38,38,0,0,0,29,29,0,0,0,76.3,76.3,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,47933,35550,279,11783,321,38.2,38.4,37.7,38.8,17.8
Maharashtra,109605,65639,24037,19268,661,86420,55670,17758,12696,296,78.9,84.8,73.9,65.9,44.8
Manipur,4617,2889,583,1010,135,1681,1449,122,104,6,36.4,50.2,20.9,10.3,4.4
Meghalaya,14600,7783,4172,2120,525,3099,2584,355,134,26,21.2,33.2,8.5,6.3,5
Mizoram,3911,2563,230,1034,84,742,681,15,44,2,19,26.6,6.5,4.3,2.4
Nagaland,2718,1960,0,757,1,446,400,0,46,0,16.4,20.4,0,6.1,0
Odisha,62291,49072,5807,6104,1308,43285,36863,1764,3969,689,69.5,75.1,30.4,65,52.7
Puducherry,736,422,33,281,0,426,360,6,60,0,57.9,85.3,18.2,21.4,0
Punjab,27701,19259,450,7978,14,23574,17229,292,6039,14,85.1,89.5,64.9,75.7,100
Rajasthan,106373,68948,0,34826,2599,44080,34272,0,9625,183,41.4,49.7,0,27.6,7
Sikkim,1259,864,19,376,0,254,233,3,18,0,20.2,27,15.8,4.8,0
Tamil Nadu,58801,37636,8323,12396,446,24163,21441,1162,1513,47,41.1,57,14,12.2,10.5
Telangana,43083,30023,700,12193,167,13761,7266,70,6379,46,31.9,24.2,10,52.3,27.5
Tripura,4929,4262,43,363,261,1739,1603,13,56,67,35.3,37.6,30.2,15.4,25.7
Uttar Pradesh,258054,137024,8113,97808,15109,121938,90692,2721,26129,2396,47.3,66.2,33.5,26.7,15.9
Uttarakhand,22815,16484,608,5225,498,9210,8280,85,794,51,40.4,50.2,14,15.2,10.2
West Bengal,94744,83302,88,9750,1604,50304,49302,7,871,124,53.1,59.2,8,8.9,7.7
