"India/State/ UT",Total Schools,Schools with Solar Panels availability,Percentage of Schools with Solar Panels availability,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,99678,54309,6298,35892,3179,6.7,5.3,7.6,10.7,6.6
Andaman and Nicobar Islands,416,342,2,72,0,13,10,0,3,0,3.1,2.9,0,4.2,0
Andhra Pradesh,61948,45137,1542,15058,211,3483,1756,88,1620,19,5.6,3.9,5.7,10.8,9
Arunachal Pradesh,3603,2985,68,503,47,176,101,15,56,4,4.9,3.4,22.1,11.1,8.5
Assam,60859,45490,3841,5852,5676,1864,1557,20,262,25,3.1,3.4,0.5,4.5,0.4
Bihar,93165,75558,742,8097,8768,7691,5686,62,1001,942,8.3,7.5,8.4,12.4,10.7
Chandigarh,233,123,7,76,27,158,91,5,61,1,67.8,74,71.4,80.3,3.7
Chhattisgarh,56512,48743,417,7063,289,2085,1844,22,216,3,3.7,3.8,5.3,3.1,1
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,55,55,0,0,0,12,14.2,0,0,0
Delhi,5619,2762,247,2610,0,1580,1076,44,460,0,28.1,39,17.8,17.6,0
Goa,1510,814,557,139,0,28,8,11,9,0,1.9,1,2,6.5,0
Gujarat,53851,34699,5590,13559,3,2963,1398,366,1199,0,5.5,4,6.6,8.8,0
Haryana,23726,14562,16,8261,887,3898,1527,3,2196,172,16.4,10.5,18.8,26.6,19.4
Himachal Pradesh,18028,15380,0,2646,2,806,624,0,182,0,4.5,4.1,0,6.9,0
Jammu and Kashmir,28805,23173,1,5526,105,2583,2133,1,435,14,9,9.2,100,7.9,13.3
Jharkhand,44855,35840,1175,1559,6281,3215,2416,77,215,507,7.2,6.7,6.6,13.8,8.1
Karnataka,76450,49679,7110,19650,11,9817,5068,1079,3669,1,12.8,10.2,15.2,18.7,9.1
Kerala,16240,5010,7183,3164,883,1108,436,273,351,48,6.8,8.7,3.8,11.1,5.4
Ladakh,978,838,28,112,0,154,112,7,35,0,15.8,13.4,25,31.3,0
Lakshadweep,38,38,0,0,0,1,1,0,0,0,2.6,2.6,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,5572,3845,46,1625,56,4.4,4.2,6.2,5.4,3.1
Maharashtra,109605,65639,24037,19268,661,11491,6543,2583,2329,36,10.5,10,10.8,12.1,5.5
Manipur,4617,2889,583,1010,135,350,53,6,277,14,7.6,1.8,1,27.4,10.4
Meghalaya,14600,7783,4172,2120,525,268,123,74,55,16,1.8,1.6,1.8,2.6,3.1
Mizoram,3911,2563,230,1034,84,44,12,6,22,4,1.1,0.5,2.6,2.1,4.8
Nagaland,2718,1960,0,757,1,227,182,0,45,0,8.4,9.3,0,5.9,0
Odisha,62291,49072,5807,6104,1308,2265,1743,156,336,30,3.6,3.6,2.7,5.5,2.3
Puducherry,736,422,33,281,0,25,6,0,19,0,3.4,1.4,0,6.8,0
Punjab,27701,19259,450,7978,14,2489,1774,26,688,1,9,9.2,5.8,8.6,7.1
Rajasthan,106373,68948,0,34826,2599,4350,2011,0,2293,46,4.1,2.9,0,6.6,1.8
Sikkim,1259,864,19,376,0,84,62,2,20,0,6.7,7.2,10.5,5.3,0
Tamil Nadu,58801,37636,8323,12396,446,1910,852,173,868,17,3.3,2.3,2.1,7,3.8
Telangana,43083,30023,700,12193,167,2011,1008,30,965,8,4.7,3.4,4.3,7.9,4.8
Tripura,4929,4262,43,363,261,114,85,1,22,6,2.3,2,2.3,6.1,2.3
Uttar Pradesh,258054,137024,8113,97808,15109,22743,6741,1081,13757,1164,8.8,4.9,13.3,14.1,7.7
Uttarakhand,22815,16484,608,5225,498,924,523,35,347,19,4.1,3.2,5.8,6.6,3.8
West Bengal,94744,83302,88,9750,1604,3133,2847,6,254,26,3.3,3.4,6.8,2.6,1.6
