"India/State/ UT",Gross Enrolment Ratio (GER)  – Scheduled Castes,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,111.5,114.9,113.1,103.1,104.5,103.8,108.4,111.0,109.7,84.2,85.6,84.9,59.5,63.7,61.5
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andhra Pradesh,109.7,109.3,109.5,104.4,98.4,101.4,107.7,105.0,106.4,91.1,88.9,90.0,61.3,67.4,64.3
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Assam,140.4,149.4,144.8,111.8,115.6,113.7,128.7,135.0,131.8,92.3,101.4,96.9,46.2,48.8,47.5
Bihar,123.4,127.1,125.2,100.0,104.6,102.2,115.1,119.0,117.0,68.6,79.1,73.5,39.1,43.5,41.1
Chandigarh,26.5,27.3,26.9,36.3,37.7,37.0,30.3,31.3,30.7,49.3,51.4,50.2,46.7,52.9,49.5
Chhattisgarh,106.3,106.5,106.4,102.6,103.7,103.1,105.0,105.5,105.2,79.4,88.4,83.8,66.4,77.8,72.0
"Dadra and Nagar Haveli andDaman and Diu",107.1,98.8,103.1,103.1,99.0,101.1,105.5,98.9,102.3,111.0,128.5,118.6,79.7,95.5,87.0
Delhi,60.4,63.3,61.8,72.1,71.5,71.8,64.8,66.5,65.6,70.8,73.4,72.1,60.6,71.9,66.0
Goa,66.7,64.3,65.5,63.9,60.9,62.4,65.7,63.0,64.4,60.0,67.9,63.7,73.8,89.1,81.5
Gujarat,88.6,94.3,91.2,86.0,86.3,86.1,87.6,91.2,89.3,75.7,73.2,74.5,47.8,50.3,49.0
Haryana,102.6,106.4,104.4,102.4,106.7,104.4,102.5,106.5,104.4,103.9,107.0,105.3,71.0,82.1,76.1
Himachal Pradesh,103.4,105.2,104.3,99.0,103.2,101.0,101.7,104.4,103.0,93.8,95.7,94.7,93.7,96.7,95.2
Jammu and Kashmir,135.8,139.6,137.6,80.3,83.8,81.9,108.2,112.4,110.2,73.0,74.3,73.6,56.0,60.0,57.8
Jharkhand,108.1,110.7,109.3,95.4,99.8,97.6,103.3,106.5,104.9,65.0,72.7,68.7,39.5,45.9,42.6
Karnataka,103.5,104.4,103.9,105.1,105.1,105.1,104.1,104.7,104.4,94.5,96.2,95.3,52.7,57.5,55.0
Kerala,100.5,99.9,100.2,94.5,94.6,94.5,98.2,97.8,98.0,96.4,95.1,95.7,92.0,94.3,93.1
Ladakh,400.1,261.1,306.0,163.2,78.9,115.7,279.8,190.3,223.6,159.2,112.1,134.9,111.8,73.5,92.5
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madhya Pradesh,91.0,93.4,92.2,96.4,95.6,96.0,92.9,94.2,93.5,76.5,74.7,75.7,52.7,52.9,52.8
Maharashtra,107.6,110.6,109.0,104.9,103.6,104.3,106.5,107.8,107.1,101.1,100.3,100.7,75.5,77.3,76.3
Manipur,164.9,170.1,167.4,110.5,118.0,114.2,140.9,147.0,143.9,104.6,111.5,108.0,115.3,115.4,115.3
Meghalaya,531.3,565.6,547.4,200.8,205.5,203.1,384.1,397.3,390.4,147.4,183.1,164.1,82.2,88.7,85.3
Mizoram,1643.8,1758.1,1697.7,847.7,1005.3,913.1,1296.2,1471.2,1374.7,1421.8,710.4,964.1,143.6,172.3,156.6
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Odisha,104.0,104.7,104.3,93.7,95.2,94.4,99.9,100.9,100.4,83.9,84.0,83.9,39.0,44.0,41.5
Puducherry,79.0,81.5,80.2,76.0,76.3,76.1,77.9,79.5,78.6,78.0,78.7,78.4,64.5,70.1,67.3
Punjab,112.7,111.3,112.1,107.5,108.8,108.1,110.7,110.4,110.6,96.4,94.9,95.7,80.5,85.2,82.7
Rajasthan,109.2,114.8,111.8,103.8,102.2,103.0,107.2,110.2,108.6,82.7,79.9,81.4,73.8,71.1,72.5
Sikkim,168.6,168.2,168.4,130.0,136.8,133.2,150.9,153.9,152.3,136.3,184.2,158.3,82.9,94.8,88.8
Tamil Nadu,103.4,105.5,104.4,102.3,100.4,101.3,103.0,103.5,103.2,101.1,100.0,100.6,78.6,89.2,83.8
Telangana,122.2,124.4,123.3,107.5,105.1,106.3,116.4,116.6,116.5,94.4,95.8,95.1,69.2,76.9,73.0
Tripura,138.5,145.9,142.1,99.1,102.9,100.9,120.7,126.1,123.3,92.2,94.8,93.4,57.1,62.3,59.6
Uttar Pradesh,117.0,123.3,120.0,108.9,113.8,111.2,114.3,120.0,117.0,74.1,71.3,72.8,52.9,51.6,52.3
Uttarakhand,117.5,123.9,120.5,103.1,106.4,104.7,111.8,116.9,114.2,96.7,101.3,98.9,81.4,91.8,86.3
West Bengal,125.8,125.7,125.8,109.5,108.2,108.8,119.4,118.7,119.0,98.1,104.0,101.1,63.0,76.3,69.6
