"India/State/ UT",Percentage of Boys’ and Co-educational Schools with boy’s toilet facility,Percentage of Boys’ and Co-educational Schools with functional boy’s toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,96.2,95.5,95.1,99.3,90.9,92.7,91.2,92.8,98,88.2
Andaman and Nicobar Islands,99.8,99.7,100,100,0,99.5,99.4,100,100,0
Andhra Pradesh,87.4,83.5,78.9,99.6,91.4,85.4,80.8,77.7,99.5,90.9
Arunachal Pradesh,94.3,93.3,100,98.8,97.9,69,63,100,97.4,95.7
Assam,86.4,92.8,62.5,95.9,40,77.5,83.9,49.6,90.8,30.5
Bihar,97.6,97.2,96.6,99.2,99.4,96.6,96,96.2,99.1,99.1
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.7,98.5,98.4,100,99.7,94.1,93.3,97,99.2,95.7
"Dadra and Nagar Haveli andDaman and Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,99.9,99.9,99.8,100,0
Gujarat,99.3,98.9,99.6,99.9,100,97.3,96,99.5,99.9,100
Haryana,98.5,97.5,100,100,99.8,97.8,96.5,100,99.9,99.4
Himachal Pradesh,98.7,98.5,0,99.9,100,98,97.7,0,99.6,100
Jammu and Kashmir,87.9,85.2,100,98.8,97,80,75.4,100,98.6,97
Jharkhand,98.2,98.4,88.7,99,98.8,96,96.1,83.9,98.6,97.3
Karnataka,96.5,94.9,99.5,99.5,100,95.3,93.1,99.4,99.4,100
Kerala,99.3,98.7,99.5,99.8,100,99.1,98.1,99.4,99.7,99.7
Ladakh,97.9,97.7,96,100,0,95.6,95,96,100,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.9,97.4,99.7,99.6,98.7,94.5,93,98.2,98.8,97
Maharashtra,96.5,94.4,99.6,99.8,99.7,92.4,88,99.2,99,99.7
Manipur,87.8,86.8,70.3,99,97,75.4,71,52.2,98.4,95.5
Meghalaya,86.8,92.2,84.8,75.3,68.6,73.5,77.1,72.4,65.4,61
Mizoram,94.3,93.9,93.4,95.4,95.2,87.1,84,89,94.2,90.5
Nagaland,91.5,88.9,0,98,100,76.3,68.8,0,95.8,100
Odisha,94.9,95.1,86.9,99,97.8,88.8,88.7,79.7,97.4,94
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,98.9,98.5,99.8,99.9,100,98.5,97.9,99.8,99.9,100
Rajasthan,97.4,96.5,0,99.6,90.5,90.8,89.6,0,93.7,81.6
Sikkim,99.6,99.5,100,99.7,0,99,98.6,100,99.7,0
Tamil Nadu,99.9,99.9,99.5,99.9,99.6,99.9,99.9,99.5,99.9,99.6
Telangana,83.3,76.7,84.5,98.6,92.6,70,57.8,80.5,98.2,91.9
Tripura,91,91.5,100,98.9,70.8,72.9,71.7,95.4,94.7,58.1
Uttar Pradesh,98.3,97.6,97.4,99.5,98.6,96.5,95.2,96.4,98.3,97
Uttarakhand,95.6,94.2,97.5,99.5,99,89.4,86.1,95.3,98.3,95.3
West Bengal,99.8,99.9,100,99.4,97.9,99.8,99.9,100,99.4,97.8
