"India/State/ UT",Total Schools,Schools having Digital Library availability,"Percentage of Schools having Digital Libraryavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,32762,12252,2628,16991,891,2.2,1.2,3.2,5.1,1.8
Andaman and Nicobar Islands,416,342,2,72,0,8,6,0,2,0,1.9,1.8,0,2.8,0
Andhra Pradesh,61948,45137,1542,15058,211,3110,1039,27,2035,9,5,2.3,1.8,13.5,4.3
Arunachal Pradesh,3603,2985,68,503,47,32,12,1,19,0,0.9,0.4,1.5,3.8,0
Assam,60859,45490,3841,5852,5676,314,204,8,94,8,0.5,0.5,0.2,1.6,0.1
Bihar,93165,75558,742,8097,8768,961,379,10,361,211,1,0.5,1.4,4.5,2.4
Chandigarh,233,123,7,76,27,24,9,0,15,0,10.3,7.3,0,19.7,0
Chhattisgarh,56512,48743,417,7063,289,762,483,6,271,2,1.4,1,1.4,3.8,0.7
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,6,3,0,3,0,1.3,0.8,0,4.8,0
Delhi,5619,2762,247,2610,0,274,126,2,146,0,4.9,4.6,0.8,5.6,0
Goa,1510,814,557,139,0,22,3,13,6,0,1.5,0.4,2.3,4.3,0
Gujarat,53851,34699,5590,13559,3,1347,464,85,798,0,2.5,1.3,1.5,5.9,0
Haryana,23726,14562,16,8261,887,685,87,0,560,38,2.9,0.6,0,6.8,4.3
Himachal Pradesh,18028,15380,0,2646,2,232,96,0,136,0,1.3,0.6,0,5.1,0
Jammu and Kashmir,28805,23173,1,5526,105,337,112,0,224,1,1.2,0.5,0,4.1,1
Jharkhand,44855,35840,1175,1559,6281,844,545,5,95,199,1.9,1.5,0.4,6.1,3.2
Karnataka,76450,49679,7110,19650,11,2830,597,225,2007,1,3.7,1.2,3.2,10.2,9.1
Kerala,16240,5010,7183,3164,883,1203,341,532,276,54,7.4,6.8,7.4,8.7,6.1
Ladakh,978,838,28,112,0,40,39,0,1,0,4.1,4.7,0,0.9,0
Lakshadweep,38,38,0,0,0,3,3,0,0,0,7.9,7.9,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,2611,1060,8,1504,39,2.1,1.1,1.1,5,2.2
Maharashtra,109605,65639,24037,19268,661,5307,2059,1325,1879,44,4.8,3.1,5.5,9.8,6.7
Manipur,4617,2889,583,1010,135,45,13,1,29,2,1,0.5,0.2,2.9,1.5
Meghalaya,14600,7783,4172,2120,525,106,20,65,18,3,0.7,0.3,1.6,0.9,0.6
Mizoram,3911,2563,230,1034,84,5,4,0,0,1,0.1,0.2,0,0,1.2
Nagaland,2718,1960,0,757,1,34,16,0,17,1,1.3,0.8,0,2.3,100
Odisha,62291,49072,5807,6104,1308,1732,1229,167,278,58,2.8,2.5,2.9,4.6,4.4
Puducherry,736,422,33,281,0,31,7,0,24,0,4.2,1.7,0,8.5,0
Punjab,27701,19259,450,7978,14,1763,1224,7,531,1,6.4,6.4,1.6,6.7,7.1
Rajasthan,106373,68948,0,34826,2599,2268,396,0,1862,10,2.1,0.6,0,5.4,0.4
Sikkim,1259,864,19,376,0,71,63,0,8,0,5.6,7.3,0,2.1,0
Tamil Nadu,58801,37636,8323,12396,446,0,0,0,0,0,0,0,0,0,0
Telangana,43083,30023,700,12193,167,772,236,6,526,4,1.8,0.8,0.9,4.3,2.4
Tripura,4929,4262,43,363,261,34,29,0,4,1,0.7,0.7,0,1.1,0.4
Uttar Pradesh,258054,137024,8113,97808,15109,4243,1069,122,2873,179,1.6,0.8,1.5,2.9,1.2
Uttarakhand,22815,16484,608,5225,498,331,89,10,216,16,1.5,0.5,1.6,4.1,3.2
West Bengal,94744,83302,88,9750,1604,375,190,3,173,9,0.4,0.2,3.4,1.8,0.6
