India/State/UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","UpperPrimary(6-8)",Elementary (1-8),"Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.03,1,1.02,1,1.02
Andaman and Nicobar Islands,1.05,1.02,1.04,1.12,1.13
Andhra Pradesh,1,0.95,0.98,0.98,1.06
Arunachal Pradesh,1.01,1.07,1.03,1.05,1.09
Assam,1.06,1.1,1.07,1.2,1.11
Bihar,1.03,1.03,1.02,1.06,1.02
Chandigarh,1.11,1.13,1.12,1.12,1.17
Chhattisgarh,1,1,1,1.08,1.17
"Dadra and Nagar Haveli andDaman and Diu",1.05,1.04,1.05,1.1,1.58
Delhi,1.07,1.03,1.05,1.02,1.09
Goa,1.05,1.03,1.04,1.06,1.07
Gujarat,1.06,1,1.04,0.94,0.98
Haryana,1.01,0.99,1,0.97,1.01
Himachal Pradesh,1.01,1.03,1.02,1.01,1.03
Jammu and Kashmir,1.01,1.07,1.04,1.02,0.99
Jharkhand,1.01,1.02,1.01,1.06,1.07
Karnataka,1,0.99,1,1,1.08
Kerala,0.99,0.99,0.99,0.99,1.08
Ladakh,0.88,0.93,0.89,1.01,1.09
Lakshadweep,1.03,0.82,0.94,0.96,0.92
Madhya Pradesh,1,0.98,0.99,0.96,0.98
Maharashtra,1.05,0.98,1.02,0.98,0.98
Manipur,1.04,1.05,1.04,1.04,1
Meghalaya,1.04,1.16,1.07,1.24,1.34
Mizoram,1,1.02,1.01,1.1,1.15
Nagaland,1.06,1.1,1.07,1.16,1.18
Odisha,1,1,1,1.01,1.09
Puducherry,1.02,1.02,1.02,1.08,1.13
Punjab,0.99,1.02,1,1.01,1.02
Rajasthan,1.03,0.96,1,0.92,0.9
Sikkim,0.94,1.01,0.96,1.07,1.27
Tamil Nadu,1.02,0.99,1.01,1,1.11
Telangana,1.01,0.98,1,1.01,1.06
Tripura,1.04,1.04,1.04,1.08,1.15
Uttar Pradesh,1.04,1.02,1.04,0.92,0.92
Uttarakhand,1.05,1.02,1.04,1.02,1.04
West Bengal,1.01,1.02,1.01,1.12,1.31
