"India/State/ UT",Percentage of Schools with drinking water facility,Percentage of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.2,98.2,97,99,94.7,95.9,96.1,95.6,96,91.4
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,100,99.9,99.9,100,100,99.1,99.1,98.8,99.3,98.6
Arunachal Pradesh,81.9,78.8,98.5,96.6,95.7,67.9,63.2,86.8,91.7,91.5
Assam,93.9,97.3,87.8,96.7,67.5,91.3,95.3,83.4,94.3,61.6
Bihar,99.7,99.7,99.3,99.8,99.7,99.3,99.2,99.1,99.4,99.3
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,100,100,100,100,100,98.3,98.4,99.5,97.7,97.6
"Dadra and Nagar Haveli andDaman and Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,100,100,100,100,100,99.9,99.9,100,99.9,100
Haryana,99.8,99.6,100,100,100,99.5,99.3,100,99.9,99.7
Himachal Pradesh,100,100,0,100,100,99.8,99.8,0,99.7,100
Jammu and Kashmir,97.4,96.8,100,99.5,100,95.3,94.6,100,98.2,99.1
Jharkhand,98.3,98.1,98.6,99.7,99.1,95.9,95.5,95.2,98.8,97.6
Karnataka,99.7,99.6,100,99.9,100,98,97.9,98.7,98.1,100
Kerala,99.9,99.6,100,100,100,99.7,99.2,99.9,99.8,99.8
Ladakh,99.5,99.5,100,99.1,0,91.7,90.8,96.4,97.3,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.4,98.5,96.6,98.5,96,94.2,95.1,91.5,91.9,82.3
Maharashtra,99.5,99.2,100,99.9,99.9,98,97.3,99.3,98.7,98.8
Manipur,98.9,99.2,97.3,99.1,97,98.4,98.7,96.6,98.7,96.3
Meghalaya,53,50.2,59.1,51.3,53.3,46,41.9,52.9,47.1,48.4
Mizoram,91.7,89.6,98.7,95,97.6,90.2,88.1,97.4,93.4,95.2
Nagaland,66.1,60.1,0,81.5,100,60.6,53.6,0,78.6,100
Odisha,98.8,98.9,98.6,99,97.7,97,97,96.6,98,96
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,98,97.1,0,99.7,96.9,92.5,92.4,0,93.1,87.3
Sikkim,99.5,99.3,100,100,0,99.3,99,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,95.4,93.8,93,99.4,100,86.4,84,84.3,92.3,91.6
Tripura,83.9,82.7,93,97.3,84.7,75.5,74,88.4,92,75.5
Uttar Pradesh,99.1,99.2,99.4,99,99,96.6,97.2,97,95.8,96
Uttarakhand,96.9,96.2,97.9,99,99.4,92.5,91.1,95.6,96.6,91.6
West Bengal,99.5,99.6,100,98.5,97.8,99.5,99.6,100,98.5,97.8
