"India/State/ UT",Percentage of Girls’ and Co-educational Schools with girl’s toilet facility,Percentage of Girls’ and Co-educational Schools with functional girl’s toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.5,97.4,95.5,99.3,90.3,94.7,94,93.6,97.9,87.9
Andaman and Nicobar Islands,99.8,100,100,98.6,0,99.5,99.7,100,98.6,0
Andhra Pradesh,97.5,96.9,96.4,99.7,94.7,96.6,95.6,95.2,99.6,93.5
Arunachal Pradesh,91.4,89.9,100,98.6,97.9,68.8,62.9,100,97,95.7
Assam,88.5,96,64.7,95.3,36.8,82.6,90.6,53.5,90.9,29.3
Bihar,98.5,98.2,98.4,99.7,99.4,97.6,97.3,98.1,99.4,99.1
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.6,99.5,100,100,100,97.9,97.6,99.2,99.7,99.3
"Dadra and Nagar Haveli andDaman and Diu",99.6,99.7,100,98.4,0,99.6,99.7,100,98.4,0
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.5,99.3,99.8,99.9,100,98,97,99.7,99.9,100
Haryana,98.3,97.3,100,100,99.8,97.6,96.2,100,99.8,99.4
Himachal Pradesh,99.2,99,0,99.9,100,98.6,98.5,0,99.4,100
Jammu and Kashmir,89.2,87,100,98.3,82.1,83,79.4,100,98.1,81.1
Jharkhand,99,99.2,89.6,99.9,99.2,97.1,97.2,85.6,99.6,97.7
Karnataka,98.7,98.1,99.9,99.8,100,97.9,97,99.8,99.7,100
Kerala,99.6,99,99.9,100,99.9,99.5,98.6,99.8,99.8,99.8
Ladakh,93.9,93.2,100,99.1,0,92.6,91.8,100,98.2,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.6,98.3,99.6,99.5,98.3,95.9,95.1,98.2,98.4,96.4
Maharashtra,97.8,96.5,99.8,99.8,94.3,94.6,91.6,99.3,98.9,94.3
Manipur,87,85.6,71,99.7,92.5,75.4,70.8,53.6,99.3,88.7
Meghalaya,81.8,86,81.6,70.9,65,69.7,72,70.3,62.9,58.1
Mizoram,93,92,94.4,95.2,94.1,86.9,83.4,91.3,94.2,90.5
Nagaland,90.6,88.1,0,97.1,100,77.1,70,0,95.5,100
Odisha,96.1,96.8,87.1,98.9,96.7,90.2,89.8,84.5,98,95
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.6,99.5,100,100,91.7,99.4,99.2,100,100,91.7
Rajasthan,98,97.4,0,99.6,91,92.6,92.5,0,93.7,82.2
Sikkim,99.5,99.9,80,99.5,0,99.2,99.5,73.3,99.5,0
Tamil Nadu,99.7,99.9,98.6,99.8,100,99.6,99.9,98.2,99.7,99.8
Telangana,91.5,88.6,87.7,98.7,91.6,78.8,70.6,84.6,98.4,91.6
Tripura,89.7,90.3,100,97.2,66.8,74.6,74,100,93.1,55.2
Uttar Pradesh,98.8,98.3,98.4,99.5,98.4,97.1,96.3,97.5,98.3,96.8
Uttarakhand,95.7,94.3,96.9,99.4,99.4,90.8,88.1,94.6,98.2,95.9
West Bengal,99.9,100,98.6,99.4,97.5,99.9,100,98.6,99.3,97.4
