"India/State/ UT",Percentage of Schools with toilet facility,Percentage of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.7,98.8,97.1,99.6,92.7,96.5,96.2,95.1,98.4,89.9
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,98.6,98.2,97.4,99.9,100,98.1,97.6,96.4,99.9,99.5
Arunachal Pradesh,97.2,96.9,100,98.8,97.9,74.6,69.8,100,97.4,95.7
Assam,92,98.6,73,97.7,46.4,86.9,94.9,58.6,92.8,35.2
Bihar,99.7,99.7,99.3,99.9,99.8,99.3,99.2,99.2,99.9,99.7
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.6,99.6,100,100,100,98.5,98.3,99.3,99.8,99.7
"Dadra and Nagar Haveli andDaman and Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.8,99.7,100,100,100,99.1,98.6,99.9,100,100
Haryana,99.2,98.7,100,100,100,98.9,98.3,100,99.9,99.7
Himachal Pradesh,99.6,99.5,0,100,100,99.2,99.2,0,99.7,100
Jammu and Kashmir,96.2,95.4,100,99.7,98.1,90.4,88.2,100,99.6,98.1
Jharkhand,99.3,99.4,93.2,99.9,99.6,97.6,97.6,88.8,99.6,98.2
Karnataka,99.6,99.4,100,99.9,100,98.9,98.4,99.9,99.8,100
Kerala,100,99.9,100,100,100,99.9,99.7,100,100,99.9
Ladakh,99.5,99.4,100,100,0,98,97.6,100,100,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.4,99.3,99.9,99.7,99.1,97.9,97.5,98.9,99,97.3
Maharashtra,99,98.4,99.9,99.9,100,96.5,94.5,99.5,99.1,100
Manipur,95.8,95.8,87.3,99.9,100,83,80.1,65,99.5,97.8
Meghalaya,88.6,94,86.9,77,69.5,76.3,80.4,75.1,67.2,62.5
Mizoram,96.9,96.8,97.4,97.1,95.2,92.3,90.4,95.2,96.3,91.7
Nagaland,93.9,92.3,0,98.2,100,80.3,74.2,0,96,100
Odisha,98.2,98.8,91.7,99.5,98.8,95.9,96.4,88.4,98.7,97.1
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,99.8,100,100,100,99.8,99.7,100,100,100
Rajasthan,98.7,98.2,0,99.9,95.9,93.7,93.7,0,94.2,86.8
Sikkim,100,100,100,100,0,99.8,99.8,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,94.7,92.9,89.6,99.2,98.8,82.8,76.1,85.9,98.9,98.2
Tripura,95.9,96.8,100,99.5,75.1,82.5,82.3,100,95.9,64.8
Uttar Pradesh,99.4,99.2,99.6,99.8,99.5,98,97.4,98.7,98.7,98.2
Uttarakhand,98.8,98.4,99,99.9,100,95.1,93.7,97.2,98.8,96.8
West Bengal,99.9,100,98.9,99.8,98.5,99.9,100,98.9,99.7,98.4
