India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,86.6,85.4,100,100,99.6,85.3,86.9,91.7,76
Andaman and Nicobar Islands,92.8,91.2,100,100,0.0,91.1,100,100,0.0
Andhra Pradesh,98.0,97.4,100,100,100,97.4,95.5,99.7,99.1
Arunachal Pradesh,53.8,45.4,100,100,100,44.7,97.1,94.6,85.1
Assam,75.1,87.8,100,100,100,87.7,21.1,76.5,8.4
Bihar,87.5,85.8,100,100,100,85.8,87.5,97.1,93.7
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,91.4,90.4,100,100,100,90.4,89.4,98.1,94.1
"Dadra and Nagar Haveli and Damanand Diu",100,100,100,100,0.0,100,100,100,100
Delhi,100,100,100,100,0.0,100,100,100,0.0
Goa,100,100,100,100,0.0,100,100,100,0.0
Gujarat,100,99.9,100,100,100,99.9,100,100,100
Haryana,97.8,96.8,100,100,100,96.8,100,99.4,99.1
Himachal Pradesh,97.8,97.4,100,100,100,97.4,0.0,99.8,100.0
Jammu and Kashmir,72.9,69.7,100,100,0.0,69.6,100.0,86.4,80.0
Jharkhand,92.1,93.0,100,100,100,93.0,64.8,96.0,91.3
Karnataka,98.6,98.4,100,100,100,98.4,99.7,98.5,100.0
Kerala,99.5,98.6,100,100,100,98.6,100,99.8,99.8
Ladakh,92.2,91.9,100,100,100,91.8,100,92.9,0.0
Lakshadweep,100,100,100,100,0.0,100,0.0,0.0,0.0
Madhya Pradesh,74.8,69.5,100,100,100,69.4,73.8,90.6,85.2
Maharashtra,85.6,76.9,100,100,100,76.8,98.3,98.7,99.4
Manipur,54.5,43.5,100,100,100,43.1,30.0,95.9,85.9
Meghalaya,24.7,16.2,100,100,0.0,16.0,31.6,37.0,44.6
Mizoram,79.6,74.8,100,100,100,74.6,95.7,87.3,89.3
Nagaland,67.1,57.8,100,100,100,57.4,0.0,91.1,100.0
Odisha,76.7,75.1,100,100,100,75.0,70.1,93.4,86.5
Puducherry,100,100,100,100,0.0,100,100,100,0.0
Punjab,100,100,100,100,100,100,100,100,100
Rajasthan,86.7,82.7,100,100,100,82.7,0.0,95.4,76.4
Sikkim,98.4,97.7,100,100,100,97.7,100,100,0.0
Tamil Nadu,100,100,100,0,100,100,100,100,100
Telangana,90.3,87.0,100,100,100,86.9,88.7,98.7,98.8
Tripura,55.0,53.0,100,100,0.0,52.8,86.0,89.3,34.1
Uttar Pradesh,81.3,80.8,100,100,100,80.7,83.3,82.6,77.0
Uttarakhand,88.6,86.0,100,100,100,85.9,92.8,95.6,97.4
West Bengal,96.2,96.9,100,100,97.7,96.9,96.6,91.2,87.2
