"India/State/ UT",Gross Enrolment Ratio (GER)  – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,102.1,104.8,103.4,94.5,94.9,94.7,99.3,101.1,100.1,79.7,79.4,79.6,57.0,58.2,57.6
Andaman and Nicobar Islands,66.3,69.4,67.8,70.8,72.2,71.5,68.1,70.5,69.2,65.1,72.7,68.6,62.0,70.2,65.8
Andhra Pradesh,101.7,101.6,101.6,100.0,95.2,97.6,101.1,99.1,100.1,86.3,84.5,85.4,55.2,58.3,56.7
Arunachal Pradesh,128.4,130.1,129.2,82.2,88.3,85.2,108.3,111.5,109.9,65.0,68.1,66.5,51.4,56.1,53.7
Assam,116.3,123.3,119.6,90.4,99.7,95.0,106.2,113.8,109.8,67.9,81.3,74.5,38.0,42.2,40.1
Bihar,101.2,103.9,102.5,84.8,87.1,86.0,95.1,97.4,96.2,63.1,66.8,64.9,35.6,36.2,35.9
Chandigarh,81.2,90.5,85.4,88.8,100.1,93.7,84.1,94.1,88.5,85.8,95.8,90.1,76.1,89.4,81.7
Chhattisgarh,96.5,96.7,96.6,94.3,94.7,94.6,95.7,96.0,95.9,75.3,81.4,78.3,62.9,73.6,68.1
"Dadra and Nagar Haveli and Damanand Diu",87.0,91.7,89.1,89.3,92.5,90.8,87.8,92.0,89.8,71.9,79.0,75.0,44.7,70.8,54.9
Delhi,112.4,120.1,116.0,128.3,131.7,130.0,118.3,124.5,121.3,110.5,112.2,111.2,91.2,99.5,94.9
Goa,90.9,95.0,92.8,87.1,89.8,88.4,89.4,93.0,91.1,80.6,85.7,83.0,71.2,76.3,73.7
Gujarat,90.6,96.1,93.1,90.9,91.3,91.1,90.7,94.3,92.4,77.2,72.8,75.2,48.6,47.8,48.2
Haryana,103.3,104.7,104.0,102.5,101.2,102.0,103.0,103.4,103.2,96.0,93.2,94.7,75.1,76.0,75.5
Himachal Pradesh,108.1,109.3,108.3,101.0,103.8,102.6,105.3,107.1,106.0,93.5,94.8,94.1,93.0,95.3,94.1
Jammu and Kashmir,111.5,112.4,112.0,63.5,68.1,65.6,88.5,92.0,90.1,59.9,61.3,60.5,53.4,52.9,53.2
Jharkhand,101.7,103.1,102.3,88.0,89.8,88.9,96.4,97.7,97.0,66.4,70.5,68.4,44.9,48.0,46.4
Karnataka,107.8,108.3,108.1,106.2,104.8,105.5,107.2,107.0,107.1,94.6,94.9,94.7,54.6,58.8,56.6
Kerala,102.4,101.7,102.1,99.6,99.1,99.3,101.3,100.7,101.0,98.3,97.4,97.9,81.8,88.4,85.0
Ladakh,76.8,82.6,79.5,60.3,72.7,66.1,70.3,78.8,74.3,54.6,63.2,58.8,44.4,54.8,49.4
Lakshadweep,78.6,80.7,79.6,70.1,57.5,63.5,75.4,71.1,73.2,64.7,61.9,63.3,64.9,60.0,62.4
Madhya Pradesh,86.7,87.0,86.9,93.1,90.9,92.0,88.9,88.4,88.7,71.4,68.4,70.0,51.9,50.7,51.3
Maharashtra,104.6,109.5,106.9,101.2,99.5,100.4,103.2,105.5,104.3,94.7,92.5,93.7,72.0,70.9,71.5
Manipur,140.8,146.3,143.4,83.9,87.8,85.8,115.4,119.9,117.6,74.7,77.4,76.0,70.0,69.7,69.9
Meghalaya,184.1,191.5,187.7,105.5,121.8,113.5,150.4,161.2,155.7,76.1,94.4,85.1,39.4,52.7,46.0
Mizoram,158.6,159.2,158.9,108.3,110.8,109.5,136.9,138.2,137.5,89.1,97.9,93.4,57.1,65.7,61.3
Nagaland,99.5,105.0,102.1,65.7,72.5,68.9,84.4,90.5,87.3,57.8,67.1,62.2,33.0,38.8,35.8
Odisha,98.1,97.8,97.9,91.3,91.3,91.3,95.5,95.3,95.4,80.1,80.6,80.3,41.8,45.4,43.6
Puducherry,76.0,77.3,76.6,77.1,78.4,77.7,76.4,77.7,77.0,73.4,79.1,76.1,64.6,73.1,68.7
Punjab,111.8,110.8,111.4,105.6,108.1,106.8,109.4,109.8,109.6,94.8,95.4,95.1,81.2,83.1,82.1
Rajasthan,103.8,106.6,105.1,97.9,93.9,96.0,101.7,101.9,101.8,82.4,75.8,79.2,74.0,66.3,70.4
Sikkim,109.5,102.8,106.2,77.4,78.0,77.7,94.5,91.2,92.9,86.3,92.0,89.1,56.6,72.0,64.2
Tamil Nadu,98.1,100.0,99.0,98.8,97.8,98.3,98.4,99.2,98.8,95.7,95.5,95.6,77.3,85.9,81.5
Telangana,112.1,113.0,112.5,107.5,105.5,106.5,110.3,110.1,110.2,93.6,94.5,94.1,63.1,66.7,64.8
Tripura,123.9,128.4,126.1,86.6,90.4,88.4,107.2,111.2,109.1,78.4,84.3,81.3,52.5,60.4,56.3
Uttar Pradesh,99.8,104.2,101.9,90.1,92.0,91.0,96.5,99.9,98.1,72.0,66.2,69.3,52.8,48.3,50.7
Uttarakhand,117.7,123.6,120.5,101.3,103.2,102.2,111.3,115.4,113.2,89.1,90.8,89.6,77.2,80.6,78.8
West Bengal,114.7,115.9,115.3,97.1,99.0,98.0,107.8,109.1,108.5,83.4,93.2,88.2,53.7,70.6,62.0
