"India/State/ UT",Projected population by age group – Overall,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,44272333,39688667,83962000,62201000,55642000,117842000,36539000,34012000,70550000
Andaman and Nicobar Islands,13170,12346,25516,20050,18259,38309,12840,11955,24795
Andhra Pradesh,1328667,1219667,2548333,1910000,1754000,3665000,1133000,1089000,2222000
Arunachal Pradesh,43650,41051,84700,65167,61810,126977,50241,49413,99655
Assam,1146667,1051333,2198000,1586000,1461000,3047000,1015000,991000,2007000
Bihar,5211667,4682000,9894333,7252000,6583000,13837000,4286000,4152000,8437000
Chandigarh,41702,35354,77056,62583,49829,112412,38693,29724,68418
Chhattisgarh,1041000,983000,2023000,1430000,1357000,2788000,799000,774000,1572000
"Dadra and Nagar Haveli andDaman and Diu",26873,23904,50778,35987,30857,66844,20929,18004,38933
Delhi,571667,487000,1058667,826000,688000,1513000,494000,423000,916000
Goa,47524,43582,91106,68889,61867,130756,43065,38755,81820
Gujarat,2298667,1958667,4257000,3144000,2643000,5786000,1802000,1590000,3392000
Haryana,969333,818333,1788333,1362000,1120000,2481000,793000,659000,1452000
Himachal Pradesh,180333,164000,344333,267000,240000,509000,177000,158000,334000
Jammu and Kashmir,317667,297333,614000,517000,472000,988000,475000,405000,881000
Jharkhand,1389667,1272000,2662667,1907000,1748000,3656000,1205000,1174000,2378000
Karnataka,1802333,1656000,3458333,2631000,2419000,5048000,1550000,1480000,3030000
Kerala,872333,836667,1709000,1245000,1191000,2436000,771000,740000,1512000
Ladakh,11125,10411,21536,15125,13656,28781,9793,8609,18402
Lakshadweep,2348,2192,4540,3510,3267,6777,2101,2329,4430
Madhya Pradesh,3221333,2960667,6182667,4420000,4052000,8471000,2360000,2231000,4593000
Maharashtra,3319333,2899667,6219000,4797000,4154000,8952000,3079000,2754000,5832000
Manipur,76738,69678,146416,112691,103466,216157,90561,85241,175802
Meghalaya,111590,105437,217028,145200,137363,282563,109065,105908,214973
Mizoram,32267,30456,62723,44266,41736,86002,33661,32023,65684
Nagaland,60334,55220,115554,91239,83048,174287,73023,66888,139912
Odisha,1308000,1232000,2540000,1850000,1743000,3593000,1166000,1104000,2270000
Puducherry,41924,39878,81802,64855,59265,124121,40579,37624,78203
Punjab,768000,675667,1443667,1120000,967000,2087000,702000,586000,1288000
Rajasthan,3020000,2632333,5652333,4203000,3654000,7857000,2344000,2144000,4488000
Sikkim,13348,12291,25640,22143,21066,43209,19334,18586,37919
Tamil Nadu,1838667,1681000,3519667,2726000,2484000,5210000,1626000,1543000,3169000
Telangana,1005667,908667,1914333,1423000,1280000,2704000,869000,822000,1692000
Tripura,96083,89857,185940,128282,119535,247816,104132,98940,203073
Uttar Pradesh,9274333,8135333,17410000,12668000,11070000,23738000,6648000,6092000,12740000
Uttarakhand,342667,291333,634000,480000,402000,881000,310000,273000,583000
West Bengal,2425667,2274333,4700000,3557000,3355000,6911000,2287000,2224000,4511000
