India/ State /UT,% of Schools with toilet facility,% of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.12,98.77,94.52,98.46,88.86,94.93,95.05,92.12,96.73,85.7
"Andaman andNicobar Islands",100,100,100,100,100,100,100,100,100,100
Andhra Pradesh,92.09,94.76,84.51,86.13,67.88,73.79,70.42,76.9,82.95,63.25
Arunachal Pradesh,93.37,92.24,100,98.99,98.08,79.16,75.52,100,97.36,94.23
Assam,88.59,98.61,64.43,95.21,37.48,83.04,94.95,49.44,89,26.97
Bihar,99.77,99.74,99.72,99.97,99.82,99.57,99.53,99.58,99.84,99.63
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.02,98.9,99.3,99.91,97.79,96.37,95.97,97.68,99.13,94.95
"Dadra and NagarHaveli",100,100,100,100,0,100,100,100,100,0
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.91,99.88,99.95,99.99,100,99.63,99.45,99.91,99.99,100
Haryana,99.55,99.28,100,99.99,100,99.3,98.94,100,99.87,99.8
Himachal Pradesh,99.48,99.39,0,100,100,99.07,98.96,0,99.64,100
"Jammu andKashmir",96.42,95.57,100,99.91,99.11,91.1,88.97,100,99.77,98.21
Jharkhand,99.3,99.49,91.9,99.87,99.47,97.59,97.87,87.38,99.21,97.46
Karnataka,99.87,99.84,99.92,99.95,100,99.59,99.42,99.85,99.92,100
Kerala,99.92,99.8,99.97,100,99.91,99.66,98.98,99.96,99.97,99.91
Ladakh,96.02,95.4,100,100,0,93.64,92.77,100,99.11,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.99,99.01,98.99,98.96,98.58,97.46,97.36,98.23,97.82,96.21
Maharashtra,98.79,98.09,99.9,99.79,99.33,96.04,94.01,99.31,98.75,98.78
Manipur,93.61,93.74,82.22,99.51,95.19,78.32,73.78,60.68,98.62,93.05
Meghalaya,84.11,90.29,82.66,69.52,66,73.56,78.93,72.37,60.69,58.05
Mizoram,97.45,98.28,99.13,95.51,92.63,94.6,94.83,95.67,94.46,87.37
Nagaland,95.98,95.03,0,98.53,100,92.68,90.9,0,97.45,100
Odisha,95.84,99.69,74.67,86.73,80.79,87.41,89.78,71.11,85.07,76.91
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,98.09,97.78,0,99.22,90.21,92.1,92.54,0,92.06,80.98
Sikkim,99.92,99.88,100,100,0,99.92,99.88,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,98.66,98.11,99.57,100,99.46,95.63,93.93,98.86,99.73,99.46
Tripura,95.89,96.82,100,98.86,76.49,83.74,83.81,97.78,95.17,65.3
Uttar Pradesh,99.42,99.24,99.68,99.68,99.32,97.35,96.6,98.4,98.33,97.56
Uttarakhand,98.43,97.95,98.7,99.73,100,94.98,93.54,97.41,98.76,99.15
West Bengal,99.86,99.96,98.92,99.41,97.59,99.86,99.96,98.92,99.41,97.59
