India/ State /UT,% of Schools with electricity connection,% of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,"Pvt.unaided",Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,83.43,81.48,85.85,90.44,73.01,80.16,77.34,84.23,89.23,71.04
"Andaman andNicobar Islands",92.34,90.64,100,100,100,92.34,90.64,100,100,100
Andhra Pradesh,95.15,94.23,81.56,99.53,99.01,93.97,93.87,81.29,96.25,81.13
Arunachal Pradesh,56.55,48.95,95.38,94.93,90.38,47,37.79,93.85,93.91,84.62
Assam,42.08,46.62,16.64,71.17,7.75,39.47,43.83,14.43,69.67,5.1
Bihar,84.48,82.38,85.99,95.73,91.51,83.35,81.19,85.02,95.16,90.4
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,91.79,91,89.33,97.49,90.85,85.33,83.66,86.77,96.62,88.64
"Dadra and NagarHaveli",100,100,100,100,0,100,100,100,100,0
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.94,99.92,99.98,99.99,100,99.94,99.92,99.98,99.99,100
Haryana,99.12,98.99,100,99.39,98.9,97.72,96.73,100,99.34,98.8
Himachal Pradesh,97.48,97.08,0,99.64,100,96.27,95.69,0,99.46,100
"Jammu andKashmir",70.46,66.82,100,85.39,76.79,68.18,64.31,100,84.08,75
Jharkhand,92.98,94.94,61.38,94.74,87.79,89.55,91.02,57.8,93.43,86.44
Karnataka,97.8,99.46,99.89,92.91,100,97.68,99.31,99.88,92.84,100
Kerala,99.17,97.75,99.87,99.66,99.49,99.06,97.53,99.83,99.57,99.4
Ladakh,45.92,42.17,75.86,68.75,0,41.84,37.46,75.86,68.75,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,64.68,57.36,70.76,86.89,79.77,62.42,54.89,69.37,85.22,78.45
Maharashtra,94.77,92.09,98.57,98.95,99,86.1,78.01,97.88,98.41,98.66
Manipur,64.83,59.46,34.53,93.79,85.03,52.33,41.06,26.67,93.2,83.96
Meghalaya,23.02,15.45,29.78,32.03,42.86,21.68,14.12,28.42,30.98,40.33
Mizoram,81.73,78.45,95.24,86.23,87.37,77.96,73.04,94.81,85.47,86.32
Nagaland,70.27,63.05,0,89.68,100,66.93,58.88,0,88.61,100
Odisha,78.56,76.72,77.12,93.49,85.96,66.02,63.27,63.69,88.14,78.59
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,99.91,99.87,100,100,100
Rajasthan,78.33,69.93,0,94.44,73.49,77.1,68.52,0,93.59,71.75
Sikkim,98.9,98.47,100,99.75,0,98.28,97.53,100,99.75,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,95.74,93.96,100,100,100,92.55,89.43,100,100,100
Tripura,39.33,35.42,84.44,83.52,36.19,37.69,33.71,84.44,82.67,34.33
Uttar Pradesh,77.52,74.72,82.43,81.34,76.59,72.8,67.61,80.99,79.46,74.34
Uttarakhand,87.62,85.05,92.06,94.06,98.09,83.69,79.93,90.76,93.31,96.38
West Bengal,96.05,97.15,96.77,89.23,84.46,94.85,95.92,95.7,88.26,
