India/ State /UT,% of Schools with drinking water facility,% of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.15,97.1,96.23,98.3,92.33,93.77,93.88,94.29,94.15,88.42
"Andaman andNicobar Islands",100,100,100,100,100,100,100,100,100,100
Andhra Pradesh,89.6,85.75,97.4,99.18,94.37,89.13,85.26,96.64,98.79,94.04
Arunachal Pradesh,76.95,73.13,98.46,95.54,98.08,63.88,58.93,84.62,88.44,96.15
Assam,90.13,94.72,85.55,94.24,61.62,87.05,92.07,81.05,91.6,56.44
Bihar,99.79,99.84,99.72,99.67,99.44,99.31,99.46,99.31,99.08,98.38
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.39,98.17,99.54,99.81,99.68,78.67,78.77,85.15,77.74,76.34
"Dadra and NagarHaveli",100,100,100,100,0,100,100,100,100,0
Daman and Diu,100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.99,99.98,100,99.99,100,99.99,99.98,100,99.99,100
Haryana,99.82,99.71,100,100,100,99.46,99.5,100,99.41,99.2
Himachal Pradesh,99.91,99.9,0,99.96,100,99.76,99.82,0,99.43,100
"Jammu andKashmir",96.47,95.75,100,99.43,98.21,94.7,93.91,100,97.89,98.21
Jharkhand,98.34,98.32,97.87,99.54,98.26,96,95.95,94.8,98.16,95.98
Karnataka,99.83,99.75,99.96,99.98,100,94.74,94.62,95.94,94.62,84.21
Kerala,99.62,98.94,99.93,99.94,99.74,99,98.26,99.49,99.06,99.06
Ladakh,70.21,67.58,82.76,88.39,0,63.28,60.02,75.86,86.61,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.4,98.39,94.43,94.77,90.44,91.89,94.84,85.7,83.97,70.71
Maharashtra,99.28,98.91,99.88,99.8,99.55,97.39,96.59,98.99,98.11,98
Manipur,93.2,91.76,91.11,98.13,95.19,88.81,86.58,87.69,94.98,93.05
Meghalaya,42.14,38.53,49.64,39.9,45.21,37.55,33.35,45.1,37.03,41.77
Mizoram,91.08,88.32,99.13,95.51,96.84,89.22,86.64,98.27,93.4,90.53
Nagaland,66.57,62.71,0,76.94,100,61.71,57.33,0,73.46,100
Odisha,100,100,100,100,99.94,96.99,96.83,97.09,98.16,97.02
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,97.39,96.32,0,99.53,95.72,91.22,91.16,0,91.73,85.78
Sikkim,99.92,99.88,100,100,0,99.92,99.88,100,100,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,95.61,93.78,99.72,100,100,92.45,89.78,97.72,98.9,97.83
Tripura,80.51,79.13,91.11,93.75,83.21,72.83,71.37,88.89,87.5,74.25
Uttar Pradesh,98.56,98.53,98.81,98.6,98.46,95,95.31,95.46,94.56,94.73
Uttarakhand,94.9,93.63,96.76,98.19,99.36,90.95,89.24,94.65,95.41,95.11
West Bengal,99.24,99.57,97.85,97.04,96.58,99.24,99.57,97.85,97.04,
