India/ State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,6976,4622,11598,506,216,722,1741,1604,3345
"Andaman and NicobarIslands",0,0,0,0,0,0,0,0,0
Andhra Pradesh,3,6,9,0,0,0,7,5,12
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,2822,1282,4104,19,6,25,760,439,1199
Bihar,689,135,824,128,20,148,272,55,327
Chandigarh,1,3,4,0,8,8,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
Daman and Diu,5,0,5,4,0,4,3,0,3
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,5,8,13,0,3,3,4,3,7
Haryana,33,29,62,11,5,16,4,2,6
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,21,17,38,0,0,0,2,9,11
Jharkhand,562,379,941,11,8,19,77,46,123
Karnataka,2,4,6,0,0,0,0,0,0
Kerala,27,181,208,1,6,7,10,26,36
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,0,3,3,1,0,1
Maharashtra,130,237,367,4,3,7,11,10,21
Manipur,2,2,4,0,0,0,0,0,0
Meghalaya,180,378,558,3,9,12,48,155,203
Mizoram,104,65,169,0,0,0,50,39,89
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,364,198,562,3,4,7,9,15,24
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,72,414,486,0,0,0,113,572,685
Rajasthan,49,11,60,29,10,39,19,4,23
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,29,141,170,18,21,39,23,29,52
Telangana,7,0,7,0,0,0,0,0,0
Tripura,15,0,15,0,0,0,16,0,16
Uttar Pradesh,1678,1022,2700,250,99,349,276,169,445
Uttarakhand,61,46,107,3,2,5,21,12,33
West Bengal,114,64,178,22,9,31,15,14,29
