India/ State /UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","Upper Primary(6-8)",Elementary (1-8),"Secondary(9-10)","Higher Secondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.02,1.02,1.02,1.00,1.04
Andaman and Nicobar Islands,1.05,1.04,1.05,1.09,1.37
Andhra Pradesh,0.96,0.97,0.97,1.00,1.14
Arunachal Pradesh,1.02,1.07,1.03,1.13,1.17
Assam,1.04,1.10,1.06,1.19,1.03
Bihar,1.04,1.09,1.05,1.09,1.01
Chandigarh,1.11,1.10,1.10,1.14,1.19
Chhattisgarh,1.00,1.01,1.00,1.08,1.19
Dadra and Nagar Haveli,1.04,1.01,1.03,1.10,1.40
Daman and Diu,1.03,1.05,1.04,1.24,2.13
Delhi,1.04,1.04,1.04,1.04,1.12
Goa,1.04,1.02,1.03,1.02,1.16
Gujarat,1.04,1.00,1.02,0.86,0.98
Haryana,1.00,0.99,0.99,0.95,1.04
Himachal Pradesh,1.01,1.02,1.01,1.00,1.08
Jammu and Kashmir,1.03,1.06,1.04,1.01,1.00
Jharkhand,1.00,1.05,1.02,1.07,1.01
Karnataka,0.99,1.00,0.99,0.98,1.18
Kerala,1.00,1.00,1.00,0.99,1.10
Ladakh,1.08,1.17,1.11,1.18,1.38
Lakshadweep,0.98,0.92,0.94,1.19,1.05
Madhya Pradesh,0.99,0.97,0.99,0.93,0.99
Maharashtra,1.01,0.99,1.00,0.97,0.99
Manipur,1.03,1.04,1.03,1.03,0.98
Meghalaya,1.03,1.15,1.06,1.23,1.23
Mizoram,0.99,1.00,0.99,1.08,1.10
Nagaland,1.04,1.10,1.06,1.13,1.09
Odisha,0.99,0.98,0.99,1.00,1.04
Puducherry,1.02,1.01,1.02,1.08,1.21
Punjab,1.00,1.02,1.01,1.04,1.06
Rajasthan,1.01,0.94,0.99,0.89,0.87
Sikkim,0.92,1.02,0.96,1.13,1.24
Tamil Nadu,1.01,1.00,1.00,1.01,1.22
Telangana,1.00,1.00,1.00,1.02,1.16
Tripura,1.03,1.04,1.03,1.07,1.06
Uttar Pradesh,1.05,1.04,1.05,0.93,0.94
Uttarakhand,1.03,1.02,1.02,1.01,1.10
West Bengal,1.01,1.06,1.03,1.25,
