India/ State /UT,% of Girls’ and Co-educational Schools with girl’s toilet facility,"% of Girls’ and Co-educational Schools with functional girl’stoilet facility",,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,96.88,97.36,92.81,98.06,86.43,93.23,92.95,90.71,96.19,83.68
"Andaman andNicobar Islands",99.76,100,100,98.63,100,99.52,99.71,100,98.63,100
Andhra Pradesh,91.1,93.5,83.68,85.84,67.5,71.75,68.05,76.08,81.5,63.33
Arunachal Pradesh,89.02,87.14,100,98.58,96.15,74.82,70.42,100,96.95,94.23
Assam,85.23,96.47,55.85,92.83,28.9,79.6,91.69,44.59,87.07,21.73
Bihar,98.55,98.32,98.87,99.67,99.37,97.89,97.59,98.59,99.32,99
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,97.22,96.86,96.92,99.79,94.74,94.42,93.74,95.9,99,92.76
"Dadra and NagarHaveli",99.42,99.67,100,97.62,0,99.42,99.67,100,97.62,0
Daman and Diu,100,100,100,100,0,100,100,100,100,0
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.75,99.67,99.73,99.96,100,98.93,98.39,99.69,99.96,100
Haryana,98.9,98.24,100,99.91,99.8,98.31,97.4,100,99.69,99.6
Himachal Pradesh,98.82,98.68,0,99.6,100,98.16,98,0,99.07,100
"Jammu andKashmir",89.23,87.1,100,98.01,88.35,83.94,80.59,100,97.72,86.41
Jharkhand,99.05,99.39,87.43,99.6,99.02,97.2,97.61,83.61,99.14,96.87
Karnataka,99.64,99.51,99.86,99.9,100,99.33,99.04,99.79,99.87,100
Kerala,99.58,99.14,99.73,99.94,99.57,99.19,98.08,99.65,99.79,99.49
Ladakh,91.8,90.85,100,99.11,0,89.16,88.09,100,97.32,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,97.77,97.47,98.68,98.68,97.6,95.12,94.47,97.49,97.09,95
Maharashtra,97.49,96.1,99.72,99.57,95.03,93.77,90.42,99.09,98.44,94.57
Manipur,83.47,81,66.27,98.92,91.35,70.8,64.27,49.83,98.32,87.57
Meghalaya,76.87,81.73,77.09,62.91,62.03,67.05,70.73,67.5,56.3,54.43
Mizoram,93.07,92.63,96.97,93.4,91.58,89.45,88.28,91.77,92.07,86.32
Nagaland,93.73,92.09,0,98.12,100,89.95,87.36,0,96.92,100
Odisha,94.8,99.08,70.1,85.76,77.68,84.44,86.63,67.41,84.23,74.24
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,97,96.57,0,98.7,84.23,90.66,90.81,0,91.43,75.55
Sikkim,99.25,99.62,80,99.26,0,98.83,99.23,73.33,99.01,0
Tamil Nadu,99.62,99.59,99.37,99.87,99.67,99.44,99.32,99.33,99.85,99.67
Telangana,97.09,95.93,99.42,99.89,94.48,93.53,91,98.7,99.59,94.48
Tripura,90.24,90.98,100,96.86,68.05,77.02,76.76,97.67,93.14,56.77
Uttar Pradesh,98.7,98.32,98.23,99.38,98.17,96.39,95.34,96.9,97.9,96.23
Uttarakhand,95.51,94.21,96.91,98.99,99.35,90.97,88.38,95.02,97.83,98.28
West Bengal,99.75,99.95,98.68,98.76,95.96,99.75,99.95,98.68,98.76,95.96
