India/ State /UT,Enrolment of age group 11-13 years,,,,,
"",All,Primary (1 to 5),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(38),(39),(40),(41),(42),(43)
India,33496052,31359113,64855165,3106257,2709044,5815301
Andaman and Nicobar Islands,9041,8804,17845,1029,867,1896
Andhra Pradesh,1120206,1032043,2152249,106277,60434,166711
Arunachal Pradesh,41069,42600,83669,9451,9083,18534
Assam,880853,934949,1815802,64927,62810,127737
Bihar,3613848,3744551,7358399,174763,174753,349516
Chandigarh,34746,29830,64576,3589,2594,6183
Chhattisgarh,695985,678428,1374413,69355,61431,130786
Dadra and Nagar Haveli,12510,11187,23697,3116,2521,5637
Daman and Diu,6005,5336,11341,1358,949,2307
Delhi,586805,509389,1096194,35803,29015,64818
Goa,36911,34019,70930,3336,2921,6257
Gujarat,1582205,1381583,2963788,125381,111142,236523
Haryana,809412,657708,1467120,99423,68361,167784
Himachal Pradesh,175950,159257,335207,8533,6654,15187
Jammu and Kashmir,281468,257841,539309,19794,18284,38078
Jharkhand,1022907,1025133,2048040,107515,101223,208738
Karnataka,1588076,1495383,3083459,59090,43283,102373
Kerala,763162,729942,1493104,57251,51807,109058
Ladakh,5712,5921,11633,943,933,1876
Lakshadweep,1313,1323,2636,124,78,202
Madhya Pradesh,2155451,1963684,4119135,287157,252541,539698
Maharashtra,3037226,2677287,5714513,383511,307729,691240
Manipur,80160,78189,158349,9155,8468,17623
Meghalaya,118495,126688,245183,47543,46816,94359
Mizoram,35170,33993,69163,10913,10082,20995
Nagaland,49845,49213,99058,12220,11461,23681
Odisha,1139752,1054435,2194187,112715,97651,210366
Puducherry,31302,29773,61075,549,445,994
Punjab,769233,646118,1415351,51729,31732,83461
Rajasthan,2238571,1909210,4147781,381422,335332,716754
Sikkim,14926,14585,29511,3727,2933,6660
Tamil Nadu,1593244,1518583,3111827,13104,8112,21216
Telangana,873090,829081,1702171,90339,56523,146862
Tripura,94649,93114,187763,4920,4284,9204
Uttar Pradesh,5639533,5217920,10857453,492704,474768,967472
Uttarakhand,310367,275340,585707,38358,31990,70348
West Bengal,2046854,2096673,4143527,215133,219034,434167
