India/State /UT,Number of Schools – Government,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1017660,623026,206699,65688,17692,23337,12177,26424,24513,15389,2715
Andaman & Nicobar Islands,340,182,57,0,43,3,0,34,15,6,0
Andhra Pradesh,45000,33698,3896,0,3629,2254,0,369,611,0,543
Arunachal Pradesh,2847,1538,923,33,152,62,0,42,60,37,0
Assam,45008,33940,3339,2834,1130,1827,403,368,792,31,344
Bihar,78120,40281,28074,234,302,15,128,484,60,8474,68
Chandigarh,119,4,11,0,55,0,0,47,1,1,0
Chhattisgarh,48803,30709,128,13002,66,30,1815,529,160,2353,11
"Dadra & Nagar Haveli andDaman & Diu",360,146,157,3,1,1,18,2,3,27,2
Delhi,2693,1551,7,11,22,66,6,539,439,52,0
Goa,789,655,39,0,0,79,0,5,2,0,9
Gujarat,34597,12355,20040,140,94,39,978,86,182,540,143
Haryana,14374,8680,2,2231,8,932,0,61,2459,1,0
Himachal Pradesh,15217,10367,5,1846,4,961,0,29,2005,0,0
Jammu & Kashmir,18785,8965,7129,102,1426,302,25,226,145,463,2
Jharkhand,35795,21274,11573,12,1463,77,257,278,471,321,69
Karnataka,49306,20679,21728,107,663,1115,3497,47,127,684,659
Kerala,4809,2384,1058,57,211,48,35,426,400,180,10
Ladakh,841,334,367,10,62,23,1,7,9,27,1
Lakshadweep,37,15,9,0,0,0,0,4,4,5,0
Madhya Pradesh,92439,58278,17376,7301,2055,911,1922,1550,1240,1806,0
Maharashtra,65157,42592,20567,9,975,325,233,361,84,2,9
Manipur,2934,1954,505,3,331,43,0,58,32,5,3
Meghalaya,7779,5425,8,2201,11,77,0,14,35,3,5
Mizoram,2587,1274,6,938,2,7,298,3,8,3,48
Nagaland,1952,1026,588,18,143,111,2,15,48,1,0
Odisha,48671,26960,14830,827,3138,1135,912,114,427,38,290
Puducherry,420,233,47,1,36,32,0,7,52,8,4
Punjab,19242,12819,5,2623,24,1688,0,112,1959,3,9
Rajasthan,70233,32598,17938,212,354,17,0,18631,425,58,0
Sikkim,864,472,172,0,119,1,0,92,8,0,0
Tamil Nadu,37672,24017,7208,41,96,3032,2,176,3059,39,2
Telangana,30022,19734,3237,0,403,4843,0,836,500,0,469
Tripura,4238,2094,1123,1,582,6,0,386,46,0,0
Uttar Pradesh,137102,87777,24449,22035,34,24,1465,259,904,155,0
Uttarakhand,16201,11272,14,2514,10,735,180,51,1354,66,5
West Bengal,82307,66744,84,6342,48,2516,0,176,6387,0,10
