India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. of Government.aided schools nothaving drinkingwater facility withinschool premises","Percentage ofGovernment. aidedschools havingdrinking water facilitywithin school premises",,,,,,
"",,"Any source ofdrinking water",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,80313,78212,56600,869,13466,4777,195,2197,2101,97.4
Andaman & Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,991,991,763,92,114,4,1,17,0,100
Arunachal Pradesh,72,71,67,0,2,1,0,1,1,98.6
Assam,2267,1972,309,7,1399,120,41,76,295,87
Bihar,723,686,177,2,503,1,1,2,37,94.9
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,414,413,220,13,177,3,0,0,1,99.8
"Dadra & Nagar Haveli andDaman & Diu",8,8,8,0,0,0,0,0,0,100
Delhi,239,239,239,0,0,0,0,0,0,100
Goa,557,557,550,0,4,2,0,1,0,100
Gujarat,5535,5534,4842,77,482,70,3,59,1,100
Haryana,5,5,5,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1146,1135,435,4,650,17,3,20,11,99
Karnataka,7013,7011,6467,84,258,98,2,102,2,100
Kerala,7162,7158,3344,33,472,3191,12,106,4,99.9
Ladakh,40,40,30,0,9,1,0,0,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,581,575,309,6,230,17,1,12,6,99
Maharashtra,24173,24167,18628,211,3407,971,19,931,6,100
Manipur,584,583,97,132,17,13,10,310,1,99.8
Meghalaya,4168,2599,2047,26,97,191,97,141,1569,62.4
Mizoram,230,224,195,2,0,0,0,27,6,97.4
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5907,5900,3752,92,1979,28,4,41,7,99.9
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,444,444,403,1,25,0,0,15,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,16,15,15,0,0,0,0,0,1,93.8
Tamil Nadu,8314,8278,7794,0,157,36,0,222,36,99.6
Telangana,662,603,470,38,58,1,0,33,59,91.1
Tripura,42,41,33,0,4,2,0,2,1,97.6
Uttar Pradesh,8291,8245,4758,48,3364,4,1,70,46,99.4
Uttarakhand,614,603,535,1,53,6,0,7,11,98.2
West Bengal,72,72,65,0,5,0,0,2,0,100
