India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,7.5,6.1,35.7,42.3,18,6.1,18.3,9.8,2.7
Andaman & Nicobar Islands,2.2,2.4,100,33.3,0,1.5,0,1.4,0
Andhra Pradesh,13.3,9.5,51.4,53.3,12.5,9.5,7.9,24.7,13.3
Arunachal Pradesh,1.1,0.6,0,11.8,0,0.6,1.4,3.6,0
Assam,0.9,0.9,38.6,57.1,0,0.8,0.3,1.8,0.1
Bihar,1.3,0.6,34.7,56.4,20,0.6,1.2,5.8,2.6
Chandigarh,11.7,6.7,50,0,0,5.4,14.3,23.4,0
Chhattisgarh,1.4,0.9,44.4,21.4,33.3,0.8,2.2,4.7,1.2
"Dadra & Nagar Haveli andDaman & Diu",0.9,0.6,0,0,0,0.6,0,3.2,0
Delhi,6.7,5.5,41.3,50,0,4.8,1.7,8.5,0
Goa,2.2,0.6,0,0,0,0.6,3.4,5.7,0
Gujarat,2.6,1.5,26.1,38.2,0,1.4,1.2,5.9,0
Haryana,3.1,0.9,37.1,38.1,25,0.7,0,6.8,3
Himachal Pradesh,2.2,1.4,26.9,33.3,12.5,1.3,0,7.2,0
Jammu & Kashmir,1.5,0.8,22.9,40,0,0.7,0,4.1,3.4
Jharkhand,1.9,1.5,22,46.2,0,1.5,0.4,5.4,3.6
Karnataka,3.9,1.4,26.9,61.3,35.7,1.3,3.3,10.4,12.5
Kerala,21.5,21.1,55.3,71.4,33.3,20.7,22.6,20.3,19.9
Ladakh,4.4,5,100,50,0,4.6,0,1.8,0
Lakshadweep,2.7,2.7,0,100,0,0,0,0,0
Madhya Pradesh,2.1,0.9,40.2,40.7,8.3,0.8,1.4,6.2,2.4
Maharashtra,9,8,39,58.8,10,8,9,12.3,7.2
Manipur,1.3,0.5,22.2,54.5,8.3,0.2,0.2,3.9,2.5
Meghalaya,0.7,0.3,28.6,25,0,0.2,1.5,0.7,0.6
Mizoram,0.1,0.1,25,25,0,0,0,0,0
Nagaland,1.2,0.6,33.3,18.2,0,0.4,0,2.5,100
Odisha,14.1,12.2,42.4,38.7,23.1,12.2,33.4,11.3,10.5
Puducherry,6.8,6.4,25,75,0,5.6,0,8.2,0
Punjab,5.5,5.6,30.2,34.8,0,5.5,1.6,5.3,14.3
Rajasthan,1.8,0.8,36.4,45.7,20,0.7,0,3.9,0.4
Sikkim,5.4,6.7,50,25,0,6.5,0,2.7,0
Tamil Nadu,98.9,99.9,40,0,100,99.9,99.6,95.8,87.8
Telangana,3.1,1.1,34.3,44.4,11.1,1.1,1.7,7.9,2.2
Tripura,2.7,2.9,60,75,0,2.6,0,1.5,0.8
Uttar Pradesh,1.8,1,36.9,35.5,10,0.9,1.3,3.1,0.9
Uttarakhand,1.4,0.6,20,38.5,28.6,0.5,0.8,4,1.4
West Bengal,0.4,0.2,38.7,33.3,2.6,0.2,4.2,2.4,0.8
