India/State/ UT,Percentage of Schools with electricity connection,Percentage of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,91.8,92.4,90.4,92.3,76.7,89.7,89.7,89.5,91.5,75.2
Andaman & Nicobar Islands,93.2,91.8,100,100,0,92,90.3,100,100,0
Andhra Pradesh,99.8,99.7,99.9,100,100,99.7,99.7,99.9,99.9,100
Arunachal Pradesh,68.8,62.4,98.6,97.5,85.7,58,49.4,97.2,96.4,85.7
Assam,87,96.5,25.6,83.6,12.1,86.3,96.1,22.8,82.5,9.8
Bihar,79.8,78.8,72.6,87.5,81,78.3,77.3,71.2,86.9,79.8
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,94.7,94.1,90.8,98.5,96.3,90.7,89.6,89.1,98,94.3
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,99.9,100,100,100
Haryana,99.8,99.9,100,99.6,99.4,99.4,99.3,100,99.5,99.3
Himachal Pradesh,99.6,99.5,0,99.9,100,99.2,99.1,0,99.8,100
Jammu & Kashmir,91,91.2,100,90.4,93.1,86,85.4,100,87.9,89.7
Jharkhand,95.2,96.2,69.5,96.5,93.6,92,92.7,64.7,95.7,92.1
Karnataka,99,98.9,99.6,99.1,100,98.3,97.9,99.3,98.9,100
Kerala,99.9,99.9,99.9,100,100,99.8,99.7,99.9,99.9,100
Ladakh,79.5,78.2,77.5,89.5,0,74,71.9,77.5,87.7,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,89.8,87.9,87.1,95.6,92.1,85,81.9,85.9,94.6,91.1
Maharashtra,94.6,91.8,98.8,99.1,99.2,87.9,81,98.1,98.6,98.9
Manipur,67.6,60.5,49.1,97.5,81.4,60.7,51.4,40.2,97,79.7
Meghalaya,29.3,20.2,36.5,43.9,49.6,26.8,17.5,34,42,47.4
Mizoram,87.2,85.5,96.1,89,93.3,82.1,78.5,93,87.9,91.7
Nagaland,81,76,0,93.8,100,73.2,65.6,0,92.4,100
Odisha,96.5,96.6,93.4,98.5,97,95.8,95.9,92.3,98.2,96.5
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,100,100,99.9,100,99.9,99.9,100,99.9,100
Rajasthan,91.4,90,0,94.9,81,90.3,88.9,0,94,79.7
Sikkim,98.8,98.7,87.5,99.5,0,97,96.5,87.5,98.4,0
Tamil Nadu,99,99.9,99.6,95.8,87.8,99,99.9,99.6,95.8,87.8
Telangana,95.2,93.4,87.8,99.9,100,92.2,89.1,87.2,99.9,100
Tripura,79.2,79.6,92.9,94.9,44.4,76.1,76.2,90.5,94.7,43.1
Uttar Pradesh,86.4,90.7,81.6,82.6,71.8,84.7,88.7,80,81.4,69.8
Uttarakhand,92.3,90.8,93.5,96.7,94.2,90.2,88.1,92.5,96.1,93.6
West Bengal,98,98.6,98.6,94.3,93.3,97,97.6,97.2,93.4,92.4
