India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,95.4,95.5,100,100,99.6,95.5,95.9,96,89
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,0
Andhra Pradesh,99,98.8,100,100,100,98.8,98.6,99.9,100
Arunachal Pradesh,76.1,71.2,100,100,100,70.8,98.6,97.9,92.9
Assam,91.1,96.7,100,100,100,96.7,58.9,94.6,35.8
Bihar,94.3,94,100,100,100,93.9,90.6,95.8,96.7
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,96.4,96,100,100,100,95.9,98.6,98.9,98.8
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,99,98.5,100,100,100,98.5,99.6,99.9,100
Haryana,99.7,99.6,100,100,100,99.6,100,99.8,99.7
Himachal Pradesh,99.9,99.9,100,100,100,99.9,0,100,100
Jammu & Kashmir,89.9,87.7,100,100,0,87.7,100,97.5,94.8
Jharkhand,97.6,97.5,100,100,90.9,97.5,90.9,99.3,98.6
Karnataka,99.4,99.2,100,100,100,99.2,99.9,99.7,100
Kerala,99.9,99.8,100,100,100,99.8,99.9,100,99.8
Ladakh,96,95.8,100,100,100,95.8,95,97.4,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,92.7,92.1,100,100,100,92.1,95.7,94.6,93.4
Maharashtra,96.1,94,100,100,100,94,99.5,99.1,100
Manipur,81.9,79.3,100,100,100,79.1,68.2,96.8,86.4
Meghalaya,76.4,79.9,100,100,0,79.8,74.8,69.6,65.9
Mizoram,86.3,82.3,100,100,100,82.2,92.2,94.1,98.3
Nagaland,81.9,76.4,100,100,100,76.2,0,95.6,100
Odisha,99.1,99.5,100,100,100,99.5,96.5,99.1,98.5
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.2,99.2,100,100,100,99.2,98.9,99.3,100
Rajasthan,88.9,89.4,100,100,100,89.4,0,88.6,78.6
Sikkim,99.6,99.7,100,100,100,99.6,93.8,99.7,0
Tamil Nadu,97.1,97.1,100,0,100,97.1,99.6,95.8,87.8
Telangana,91.9,88.7,100,100,100,88.7,89.3,99.8,97.8
Tripura,82.5,82.3,100,100,0,82.3,100,94.4,64.1
Uttar Pradesh,96.3,97.4,100,100,100,97.4,95.8,95.2,92.7
Uttarakhand,92.5,92.6,100,100,100,92.6,92.2,92.8,86.4
West Bengal,99.9,99.9,100,100,100,99.9,100,99.8,99.5
