India/State /UT,Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","UpperPrimary (6-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,21,18,16,24
Andaman & Nicobar Islands,11,9,6,11
Andhra Pradesh,22,16,11,29
Arunachal Pradesh,10,7,9,15
Assam,19,13,11,18
Bihar,32,19,30,31
Chandigarh,23,15,10,24
Chhattisgarh,18,15,14,12
"Dadra & Nagar Haveli andDaman & Diu",29,26,20,18
Delhi,30,28,18,20
Goa,25,14,8,16
Gujarat,24,24,27,24
Haryana,21,18,10,11
Himachal Pradesh,15,8,6,9
Jammu & Kashmir,13,9,12,21
Jharkhand,26,24,27,47
Karnataka,22,18,18,28
Kerala,23,19,13,20
Ladakh,6,3,6,8
Lakshadweep,13,12,6,9
Madhya Pradesh,17,16,18,20
Maharashtra,24,25,20,37
Manipur,13,9,9,13
Meghalaya,19,12,10,16
Mizoram,15,7,9,12
Nagaland,9,7,8,16
Odisha,17,15,16,39
Puducherry,15,13,9,15
Punjab,21,15,9,16
Rajasthan,20,12,11,15
Sikkim,6,6,5,8
Tamil Nadu,20,18,11,33
Telangana,19,12,9,25
Tripura,17,15,11,15
Uttar Pradesh,22,22,23,35
Uttarakhand,16,14,10,14
West Bengal,23,28,18,28
