India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,5991,3208,9199,2342,660,3002,1444,906,2350
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,18,3,21,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,1762,846,2608,6,3,9,339,283,622
Bihar,469,79,548,87,8,95,212,36,248
Chandigarh,1,2,3,1,7,8,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",3,0,3,1,0,1,6,0,6
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,3,3,6,0,2,2,3,1,4
Haryana,13,23,36,7,15,22,2,5,7
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,19,7,26,0,4,4,0,6,6
Jharkhand,420,280,700,15,14,29,28,39,67
Karnataka,1,2,3,0,0,0,0,0,0
Kerala,22,110,132,2,12,14,4,13,17
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,1,4,5,1,0,1
Maharashtra,20,61,81,0,0,0,0,4,4
Manipur,0,0,0,0,0,0,0,0,0
Meghalaya,144,370,514,4,9,13,44,153,197
Mizoram,52,47,99,0,0,0,16,15,31
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,266,172,438,25,13,38,54,57,111
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,39,8,47,42,13,55,11,2,13
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,12,29,41,0,0,0,1,4,5
Telangana,4,8,12,0,0,0,0,0,0
Tripura,10,1,11,6,0,6,7,0,7
Uttar Pradesh,1539,841,2380,473,155,628,307,132,439
Uttarakhand,55,38,93,7,3,10,21,11,32
West Bengal,1118,278,1396,1665,398,2063,388,145,533
