India/State/ UT,Percentage of Schools with drinking water facility,Percentage of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.3,98.4,97.4,98.8,95.5,95.9,96.1,96,95.8,91.7
Andaman & Nicobar Islands,100,100,100,100,0,99.5,99.4,100,100,0
Andhra Pradesh,100,100,100,100,100,99.7,99.7,99.9,99.9,100
Arunachal Pradesh,83.4,80.3,98.6,97.4,95.2,71.3,66.4,90.3,94,92.9
Assam,96,98.3,87,98,69,94.1,97,82.2,95.8,63.3
Bihar,95.7,95.5,94.9,96.1,97,93.3,93,92.8,94.7,94.9
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.1,99,99.8,99.7,98.4,97.4,97.2,99.3,98,97.1
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,100,99.9,100,100,100,99.9,99.9,100,100,100
Haryana,100,100,100,100,100,99.9,100,100,99.8,100
Himachal Pradesh,100,100,0,100,100,100,100,0,100,100
Jammu & Kashmir,99.4,99.3,100,99.8,100,96.8,96.6,100,97.4,98.3
Jharkhand,98.6,98.4,99,99.9,99.6,96.3,95.9,95.8,99.1,98.3
Karnataka,99.9,99.9,100,99.9,100,99.5,99.6,99.6,99.2,100
Kerala,99.9,99.8,99.9,100,99.9,99.7,99.5,99.8,99.8,99.8
Ladakh,96,95.4,100,99.1,0,90.4,89.2,95,97.4,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.5,99.6,99,99,98.5,94,93.8,96,94.6,93
Maharashtra,99.5,99.2,100,99.9,100,98.4,97.7,99.5,99,99.2
Manipur,99.7,99.8,99.8,99.6,99.2,99.4,99.5,99.1,99.5,99.2
Meghalaya,56.4,53.5,62.4,55.4,57,49.3,44.9,56,51.4,51.6
Mizoram,91.3,89.3,97.4,94.3,100,89.8,87.7,95.7,93.1,100
Nagaland,71.5,64.9,0,88.3,100,66.5,58.9,0,85.5,100
Odisha,100,100,99.9,100,99.9,99.5,99.6,99,99.3,99.1
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,99.9,100,99.9,100,99.7,99.7,100,99.5,92.9
Rajasthan,97.6,97.2,0,98.5,95.4,90.7,91,0,90.4,86
Sikkim,99.6,99.8,93.8,99.5,0,98.9,99.1,93.8,98.7,0
Tamil Nadu,99,99.9,99.6,95.8,87.8,98.6,99.8,98.6,95,86.3
Telangana,97.4,96.5,91.1,100,98.9,92.7,91.3,86,96.4,92.3
Tripura,93.5,93.4,97.6,97.5,88.3,86.9,86.9,92.9,93.2,75.8
Uttar Pradesh,99.3,99.3,99.4,99.3,99.5,96.3,97.5,95.9,95,94.2
Uttarakhand,97.4,96.7,98.2,99.2,99,92.8,92.4,93.6,94.4,89.5
West Bengal,99.6,99.7,100,98.6,98.8,99.3,99.6,100,97.4,97.2
