India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Tribes (ST),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,98.0,98.6,98.3,94.8,95.6,95.2,96.8,97.4,97.1,75.4,78.5,76.9,46.0,51.4,48.7
Andaman and Nicobar Islands,86.3,94.4,90.0,95.7,108.0,101.3,89.8,99.5,94.3,77.7,90.5,83.7,65.3,86.3,75.2
Andhra Pradesh,116.0,121.2,118.5,112.5,115.1,113.7,114.7,119.0,116.8,96.0,97.2,96.6,66.1,72.0,69.0
Arunachal Pradesh,109.3,112.8,111.0,83.8,91.0,87.4,98.9,103.7,101.2,65.6,69.5,67.5,48.7,53.2,51.0
Assam,117.9,124.3,121.0,99.7,104.7,102.1,110.7,116.4,113.5,92.5,96.8,94.7,53.7,53.0,53.3
Bihar,127.5,123.9,125.8,95.3,96.8,96.0,115.5,113.6,114.6,57.1,60.9,59.0,45.9,48.9,47.4
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chhattisgarh,87.7,88.2,87.9,87.0,87.7,87.4,87.5,88.0,87.7,63.4,72.4,67.8,39.8,53.4,46.6
"Dadra and Nagar Haveli andDaman and Diu",65.9,71.4,68.5,64.0,68.6,66.2,65.1,70.3,67.6,66.0,76.1,70.7,25.6,34.9,29.9
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goa,62.7,68.6,65.5,66.0,71.0,68.4,64.0,69.5,66.6,60.9,71.6,65.9,63.2,72.1,67.6
Gujarat,81.7,80.9,81.3,95.8,94.8,95.3,86.8,85.9,86.4,76.9,75.9,76.4,36.2,46.8,41.3
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Himachal Pradesh,97.8,100.8,99.2,99.4,100.9,100.1,98.4,100.8,99.6,98.8,97.6,98.2,79.6,80.8,80.2
Jammu and Kashmir,142.6,136.4,139.5,84.2,86.6,85.3,117.0,115.6,116.3,65.4,62.3,64.0,32.1,28.8,30.6
Jharkhand,99.1,101.6,100.3,82.3,84.8,83.6,92.8,95.1,93.9,55.1,60.2,57.7,32.4,37.2,34.8
Karnataka,105.2,106.0,105.6,105.3,103.5,104.4,105.3,105.0,105.2,96.0,98.3,97.2,47.0,58.0,52.2
Kerala,88.7,91.7,90.2,94.9,92.1,93.5,91.1,91.8,91.5,103.4,95.7,99.6,89.9,100.7,95.2
Ladakh,71.3,76.5,73.8,55.2,67.0,60.7,65.0,72.9,68.7,55.6,66.3,60.8,29.5,36.4,32.8
Lakshadweep,72.4,74.0,73.1,59.5,60.3,60.0,67.6,68.3,67.9,52.8,55.7,54.2,55.1,48.2,51.5
Madhya Pradesh,80.9,79.4,80.2,87.8,83.2,85.5,83.2,80.7,82.0,56.1,56.3,56.2,30.9,35.0,32.9
Maharashtra,101.0,104.7,102.8,96.9,100.6,98.6,99.4,103.2,101.2,90.7,91.5,91.1,54.7,54.4,54.6
Manipur,124.0,131.5,127.5,66.2,72.1,69.0,99.5,106.2,102.7,50.9,57.0,53.8,29.7,32.6,31.2
Meghalaya,182.1,185.7,183.9,106.8,127.7,117.1,152.0,162.2,157.0,73.0,98.0,85.4,31.9,47.4,39.6
Mizoram,154.4,155.5,154.9,113.4,117.7,115.5,137.9,140.2,139.0,94.9,105.8,100.2,50.8,58.6,54.7
Nagaland,85.7,89.5,87.5,66.4,72.9,69.5,77.6,82.6,80.0,54.8,64.1,59.3,36.6,43.4,40.0
Odisha,93.6,92.1,92.8,107.6,107.4,107.5,98.5,97.4,98.0,84.6,89.6,87.1,52.0,58.7,55.3
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajasthan,97.8,98.1,97.9,98.3,97.1,97.7,98.0,97.7,97.9,80.3,79.4,79.8,59.1,57.8,58.5
Sikkim,101.3,92.7,97.1,76.6,79.1,77.8,90.5,86.7,88.6,72.9,78.8,75.8,56.1,68.1,62.1
Tamil Nadu,110.7,112.6,111.6,116.2,115.4,115.8,112.7,113.6,113.1,97.3,103.3,100.1,69.2,85.6,77.0
Telangana,97.8,96.6,97.2,98.1,97.9,98.0,97.9,97.1,97.5,82.6,85.0,83.8,70.7,79.3,74.8
Tripura,119.5,123.3,121.3,91.9,95.4,93.6,107.9,111.5,109.6,69.0,76.5,72.6,47.7,56.7,52.0
Uttar Pradesh,128.6,125.3,127.0,134.9,134.5,134.7,130.7,128.4,129.6,136.5,134.8,135.7,134.5,131.6,133.1
Uttarakhand,87.5,92.9,90.0,77.2,79.9,78.5,83.2,87.5,85.2,73.4,75.3,74.3,60.1,64.5,62.2
West Bengal,109.0,110.1,109.6,104.7,106.8,105.8,107.4,108.9,108.1,100.1,108.1,104.0,49.8,63.8,56.7
