India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,10.5,8.8,12.4,46.9,25.1,8.8,11.3,15.3,11.5
Andaman & Nicobar Islands,3.4,3.5,0,33.3,0,3.3,0,2.9,0
Andhra Pradesh,7.7,5.3,11.4,73.3,50,5.3,8.1,14.7,11.3
Arunachal Pradesh,11.7,10.4,20,5.9,33.3,10.3,26.4,17.4,9.5
Assam,6.5,6.8,7,39.3,11.1,6.7,3.2,7.9,3.4
Bihar,9.2,8.5,12.2,28.2,40,8.5,9,13.8,11.6
Chandigarh,75.2,84.9,25,0,50,88.4,85.7,81.8,11.1
Chhattisgarh,6.1,6,5.6,32.1,33.3,6,10.4,6.3,4.5
"Dadra & Nagar Haveli andDaman & Diu",14.4,16.4,0,0,0,16.7,0,4.8,0
Delhi,33.4,44.4,45.7,100,0,44.4,21.8,22.8,0
Goa,3.4,1.1,0,50,0,1,5,9.9,0
Gujarat,8.3,5.7,13,55.9,20,5.6,10.8,13.9,0
Haryana,22.3,16,8.6,52.4,25,15.9,40,32.9,24.6
Himachal Pradesh,7.5,6.7,7.7,58.3,25,6.7,0,12.4,0
Jammu & Kashmir,17.1,17.6,14.3,15,0,17.6,0,15.2,24.1
Jharkhand,15.3,14.9,7.3,30.8,27.3,14.9,12.1,22.1,16.1
Karnataka,13.2,11,11.5,71,42.9,11,14,18.5,12.5
Kerala,12.8,18.1,10.5,28.6,0,18.1,7.1,18.2,11.5
Ladakh,24.6,22.7,100,100,0,22.3,35,35.1,0
Lakshadweep,2.7,2.7,0,0,0,2.9,0,0,0
Madhya Pradesh,6,5.1,12.5,61.1,41.7,5.1,5.5,8.8,7.6
Maharashtra,17.5,18.6,6.8,70.6,15,18.6,15.5,16.4,9.1
Manipur,10.7,5.2,11.1,18.2,50,5,3.8,30.4,12.7
Meghalaya,4.3,4.1,0,8.3,0,4.1,4.2,4.9,6.8
Mizoram,2.1,1.1,25,0,0,1.1,3.9,3.9,5
Nagaland,14.3,16.9,0,0,50,17,0,7.8,0
Odisha,14.4,14.5,9.1,16.1,15.4,14.5,14.1,14.9,10.9
Puducherry,7.1,3.3,0,75,0,2.7,6.1,12.8,0
Punjab,20,22.8,11.3,26.1,10,22.8,9.9,13.7,14.3
Rajasthan,8.2,6.6,6.5,74.3,60,6.5,0,11.8,6
Sikkim,13.1,16.2,0,25,0,16.2,12.5,5.9,0
Tamil Nadu,3.2,2.3,13.3,0,10.5,2.3,2.1,6.8,2.7
Telangana,6.1,5.6,8.6,44.4,11.1,5.5,4.7,7.4,3.3
Tripura,3.6,2.9,10,12.5,0,2.9,2.4,10.6,3.6
Uttar Pradesh,13.6,8.2,15.6,78.9,5,8.1,15.9,21,14.5
Uttarakhand,8.5,7.3,20,84.6,42.9,7.2,9.8,12.1,6.2
West Bengal,4.7,4.6,9.7,27.8,23.1,4.6,4.2,3.6,8.3
