India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,32.2,30.6,82.8,92.9,43.1,30,43,36.3,17.5
Andaman & Nicobar Islands,27.2,27.1,100,100,0,25,0,28.6,0
Andhra Pradesh,22.4,17.3,91.4,100,25,17,16.8,37.7,26
Arunachal Pradesh,7.6,5.5,55,70.6,0,4,16.7,17.2,9.5
Assam,20.4,23,82.5,96.4,0,22,5.6,16.8,3.4
Bihar,14.7,13.3,69.4,94.9,20,13,13.6,25,17.8
Chandigarh,78.7,88.2,100,100,50,88,71.4,87,14.8
Chhattisgarh,56.4,57,91.7,78.6,33.3,57,48.1,53.1,44.5
"Dadra & Nagar Haveli andDaman & Diu",91,94.2,100,100,100,94,50,77.8,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,8.5,5.1,80,100,0,4,12.4,12.1,0
Gujarat,36.3,45.7,63,100,60,45,20.2,18.9,25
Haryana,49.5,67.2,74.3,100,25,67,40,22.4,14.7
Himachal Pradesh,25.7,24.2,76.9,100,25,24,0,35,50
Jammu & Kashmir,6.9,4,54.3,70,0,3,100,16.5,10.3
Jharkhand,6.2,4.9,46.3,92.3,18.2,4,7.1,22,9.5
Karnataka,17.3,13.1,88.5,100,7.1,12,15.7,28.3,0
Kerala,32.7,51.4,78.9,100,0,51,25,26,14.9
Ladakh,18,19.6,0,50,0,19,2.5,11.4,0
Lakshadweep,62.2,62.2,100,100,0,60,0,0,0
Madhya Pradesh,21,13.6,85.7,85.2,33.3,13,39.9,44.6,17.2
Maharashtra,57.6,54.3,93.2,100,85,54,60.2,65.4,61.1
Manipur,6.8,2.8,66.7,90.9,16.7,2,2.4,21.1,7.6
Meghalaya,2.8,2.4,100,91.7,0,2,2.8,4.4,2.6
Mizoram,14,19.1,75,100,0,18,4.3,4,6.7
Nagaland,6.5,5.7,33.3,100,0,5,0,8.5,0
Odisha,73.7,76.1,89.4,90.3,69.2,76,63.3,66.8,59.8
Puducherry,39.5,45.7,75,100,0,44,21.2,32.3,0
Punjab,55.3,58,84.9,95.7,30,57,45.9,49.3,42.9
Rajasthan,20.3,12.7,93.5,100,50,12,0,36.6,11.9
Sikkim,24.4,30.2,100,100,0,29,0,12,0
Tamil Nadu,46.8,18.7,100,0,100,18,99.6,95.8,87.8
Telangana,6.3,4.8,82.9,100,22.2,4,2.3,10.3,1.1
Tripura,9.8,9.7,60,100,0,9,21.4,15.2,2
Uttar Pradesh,40.4,51,86.9,94.7,50,50,27.4,29.6,18
Uttarakhand,9.9,6.9,80,69.2,42.9,6,12.7,18.8,11
West Bengal,30.6,30.2,95.2,94.4,51.3,30,25,36.1,29.1
