India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,10.9,7.5,31.6,29.2,21.6,7.1,9.4,14.9,5.5
Andaman & Nicobar Islands,13.7,13.9,50,33.3,0,12.5,0,14.3,0
Andhra Pradesh,18.1,12.4,31.4,40,14.3,12.2,11.3,24,25
Arunachal Pradesh,15,9.9,11.8,23.5,0,9.1,36.1,23.6,0
Assam,8.1,10.6,40.4,28.6,0,10.2,0.7,7.2,0.4
Bihar,8.2,5.2,20.4,35.9,60,5,4.7,22,6.7
Chandigarh,13.2,8.7,0,100,100,6.2,0,23.7,0
Chhattisgarh,9.9,9.4,37.1,32.1,0,9.1,6.6,11.1,0
"Dadra & Nagar Haveli andDaman & Diu",27.4,35.2,0,33.3,0,36.7,12.5,18.8,0
Delhi,21,17.9,43.5,50,0,16.7,9.6,27.2,0
Goa,8.9,8.4,20,0,0,8,7.4,28.6,0
Gujarat,10.1,5.3,31.1,14.7,0,4.6,9.2,12.5,0
Haryana,10.4,4.1,35.3,19,50,3.6,0,14.5,5.7
Himachal Pradesh,7.9,6.5,28,16.7,33.3,6.3,0,10.7,0
Jammu & Kashmir,9.9,4.6,40,30,0,3.9,0,17.1,11.1
Jharkhand,11,7.6,24.4,38.5,10,7,9.6,19.3,7.9
Karnataka,13.6,9.7,31.4,64.5,21.4,9.3,8.9,17.8,0
Kerala,20.7,18.8,47.4,35.7,0,17.8,19,23.5,11.7
Ladakh,19.4,20.8,100,0,0,20,0,14.7,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,13.4,6.7,36.9,25.9,20,6.2,13.6,20.9,0
Maharashtra,9.5,10.3,25.4,29.4,12.5,9.4,8.4,11.2,10.8
Manipur,16.8,8.5,22.2,27.3,30,7.2,2.2,24.5,0
Meghalaya,5.2,9.7,14.3,16.7,0,8.7,6.3,4,3
Mizoram,3.8,5.7,50,12.5,0,5.1,4.5,1.5,8
Nagaland,13.7,6.9,0,18.2,0,6.6,0,18.1,0
Odisha,20.2,21,32.3,19.4,50,20.9,14.9,29,19.2
Puducherry,9.7,7.9,25,75,0,5.3,3.3,11.6,0
Punjab,8.3,3.7,38.5,21.7,20,3,2.8,12,0
Rajasthan,7.1,3.3,32.9,34.3,0,3.2,0,11.8,4.9
Sikkim,29.9,28.2,0,0,0,29,22.2,40.5,0
Tamil Nadu,6.2,7.9,50,0,11.1,7.6,4.7,5.1,0
Telangana,3.5,3.5,17.1,44.4,12.5,3.4,1.5,3.5,33.3
Tripura,12.5,12.3,44.4,25,0,11.9,6.1,16,0
Uttar Pradesh,14.8,7.9,25.4,25,27.8,6.5,10.7,17.5,5.5
Uttarakhand,11.5,6.3,18.2,46.2,42.9,5.8,8.1,22.7,2.3
West Bengal,6,4.6,27.9,22.2,23.3,4.3,15,19.6,3.3
