India/State/ UT,Percentage of Schools with toilet facility,Percentage of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.6,98.6,97.9,99.1,93.8,95.4,95.5,95.9,96,89
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,99.5,99.4,99.4,100,100,99,98.8,98.6,99.9,100
Arunachal Pradesh,95.6,94.8,100,99.2,95.2,76.1,71.2,98.6,97.9,92.9
Assam,94.2,98.6,72.4,98.4,46,91.1,96.7,58.9,94.6,35.8
Bihar,96.4,96.1,94.2,97.4,98.2,94.3,94,90.6,95.8,96.7
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99,98.9,99.5,99.8,99.2,96.4,96,98.6,98.9,98.8
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.6,99.5,99.8,100,100,99,98.5,99.6,99.9,100
Haryana,99.9,99.9,100,100,100,99.7,99.6,100,99.8,99.7
Himachal Pradesh,99.9,99.9,0,100,100,99.9,99.9,0,100,100
Jammu & Kashmir,97.1,96.3,100,99.7,96.6,89.9,87.7,100,97.5,94.8
Jharkhand,99.4,99.5,95.4,100,99.6,97.6,97.5,90.9,99.3,98.6
Karnataka,99.8,99.8,99.9,99.9,100,99.4,99.2,99.9,99.7,100
Kerala,100,100,100,100,99.9,99.9,99.8,99.9,100,99.8
Ladakh,98.3,98.2,97.5,99.1,0,96,95.8,95,97.4,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.2,99.3,99.3,99,98.2,92.7,92.1,95.7,94.6,93.4
Maharashtra,98.7,97.9,99.9,99.9,100,96.1,94,99.5,99.1,100
Manipur,91.8,91.7,80.3,99.2,89.8,81.9,79.3,68.2,96.8,86.4
Meghalaya,88.8,93.8,86.8,78.5,72.5,76.4,79.9,74.8,69.6,65.9
Mizoram,94.5,93.7,95.7,96,100,86.3,82.3,92.2,94.1,98.3
Nagaland,92.9,91.1,0,97.3,100,81.9,76.4,0,95.6,100
Odisha,99.7,99.9,97.9,99.8,99.3,99.1,99.5,96.5,99.1,98.5
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.8,99.8,100,99.9,100,99.2,99.2,98.9,99.3,100
Rajasthan,96.8,96.5,0,98,92,88.9,89.4,0,88.6,78.6
Sikkim,99.8,99.9,93.8,100,0,99.6,99.7,93.8,99.7,0
Tamil Nadu,99,99.9,99.6,95.8,87.8,97.1,97.1,99.6,95.8,87.8
Telangana,96.8,95.7,90.6,100,97.8,91.9,88.7,89.3,99.8,97.8
Tripura,97.1,98.1,100,99,75.8,82.5,82.3,100,94.4,64.1
Uttar Pradesh,99.6,99.6,99.6,99.6,99.8,96.3,97.4,95.8,95.2,92.7
Uttarakhand,98.6,98.4,97.9,99,99.6,92.5,92.6,92.2,92.8,86.4
West Bengal,99.9,99.9,100,99.8,99.5,99.9,99.9,100,99.8,99.5
