India/State/UT,"TotalEnrolment",Aadhaar Number,"PercentageAuthenticated",
"",Provided,Authenticated,,
(1),(2),(3),(4),(5)
India,251791722,190133453,115698615,60.9
Andaman & Nicobar Islands,75107,73570,60920,82.8
Andhra Pradesh,8622192,8460671,4940026,58.4
Arunachal Pradesh,325018,223339,134435,60.2
Assam,7116900,3342599,2366718,70.8
Bihar,24543698,8631819,5223238,60.5
Chandigarh,270310,257819,209134,81.1
Chhattisgarh,5764210,5134207,2097137,40.8
Dadra & Nagar Haveli and Daman & Diu,139967,129986,55074,42.4
Delhi,4628514,2809187,2114155,75.3
Goa,309594,277930,191416,68.9
Gujarat,11499580,9522686,3487976,36.6
Haryana,5727319,5332639,4225667,79.2
Himachal Pradesh,1419388,1297037,853412,65.8
Jammu & Kashmir,2614335,2205934,1425162,64.6
Jharkhand,7209261,6166572,2886880,46.8
Karnataka,12398654,10076676,6545123,65
Kerala,6185360,5229935,3825602,73.1
Ladakh,58841,41236,30334,73.6
Lakshadweep,12587,12515,9532,76.2
Madhya Pradesh,15241680,12076015,4329267,35.9
Maharashtra,21150066,20573242,14702393,71.5
Manipur,655620,354381,164702,46.5
Meghalaya,1074966,205252,122966,59.9
Mizoram,293203,204807,113397,55.4
Nagaland,415655,210114,156929,74.7
Odisha,7649925,6607579,3586014,54.3
Puducherry,251481,243046,180810,74.4
Punjab,5915223,5241484,3925157,74.9
Rajasthan,17707162,10249011,8268326,80.7
Sikkim,128204,69676,42921,61.6
Tamil Nadu,12880110,12023356,3248039,27
Telangana,7027086,6212692,2663865,42.9
Tripura,694539,529843,298357,56.3
Uttar Pradesh,41672205,32665635,22925288,70.2
Uttarakhand,2357204,2050609,1208051,58.9
West Bengal,17756558,11390354,9080192,79.7
