India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,89.5,89.6,99.5,99.4,98.8,89.6,88.6,91.6,74.3
Andaman & Nicobar Islands,91.3,89.5,100,100,0,89.3,100,100,0
Andhra Pradesh,99.6,99.6,100,100,100,99.5,99.4,100,100
Arunachal Pradesh,55.9,47.5,100,100,100,46.8,98.6,96,83
Assam,84.6,98.1,98.3,100,100,98.1,23.7,79.3,9
Bihar,82.1,81,95.9,97.4,83.3,81,78.6,91.2,84
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,91.8,90.9,100,100,100,90.9,90.6,98.4,93.1
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,0,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,100,100,100
Haryana,98.4,97.8,100,100,100,97.8,100,99.3,98.9
Himachal Pradesh,97.4,97,100,100,100,97,0,99.8,100
Jammu & Kashmir,87.4,87.2,97.2,100,0,87.2,100,88.2,88.2
Jharkhand,93,93.8,100,100,100,93.8,66.1,96.1,92.2
Karnataka,98.7,98.6,100,100,100,98.5,99.8,98.6,100
Kerala,99.9,99.8,100,100,100,99.8,99.9,99.9,99.9
Ladakh,79.6,77.2,100,100,100,77,100,92.8,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,85.7,82.7,100,100,92.3,82.6,88.9,95.3,91.9
Maharashtra,87.1,79.5,100,100,100,79.5,98.3,98.9,99.7
Manipur,61,51.5,100,100,100,50.9,41.7,97.9,80.2
Meghalaya,25.6,16.9,100,100,0,16.7,32.7,38.8,46.5
Mizoram,82.9,79.5,100,100,100,79.4,95.2,88.1,91.5
Nagaland,69.7,60.9,100,100,100,60.5,0,92.4,100
Odisha,91.9,91.8,100,100,100,91.8,87.1,96.9,94.1
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.9,99.9,98.1,100,100,99.9,100,99.8,100
Rajasthan,90,88.7,100,100,100,88.7,0,93.6,77.7
Sikkim,98.2,98.3,100,100,100,98.2,100,98.1,0
Tamil Nadu,100,100,100,0,100,100,100,100,100
Telangana,92.5,89.7,100,100,100,89.7,88.1,100,100
Tripura,60.4,59,90,100,0,58.9,86,90.7,35.4
Uttar Pradesh,83.5,86.7,100,96.1,100,86.7,80.9,80.7,71.2
Uttarakhand,89.9,88.1,100,100,100,88,92.5,95.2,92.4
West Bengal,96.6,97.2,100,100,97.6,97.2,97.5,92.4,91
