India/State/ UT,Total Schools,"Schools conducted medical checkups in last academicyear","Percentage of Schools conducted medical checkupsin last academic year",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1089686,806892,65187,200987,16620,74.3,79.4,80,62.1,36.8
Andaman & Nicobar Islands,414,342,2,70,0,384,335,2,47,0,92.8,98,100,67.1,0
Andhra Pradesh,61680,45167,1202,15127,184,61655,45159,1200,15112,184,100,100,99.8,99.9,100
Arunachal Pradesh,3543,2922,71,503,47,1487,1151,50,268,18,42,39.4,70.4,53.3,38.3
Assam,58876,44925,3386,5677,4888,38521,33416,1574,2226,1305,65.4,74.4,46.5,39.2,26.7
Bihar,91447,75550,724,8053,7120,23914,19394,147,2818,1555,26.2,25.7,20.3,35,21.8
Chandigarh,230,119,7,77,27,142,93,4,40,5,61.7,78.2,57.1,51.9,18.5
Chhattisgarh,56333,48728,415,6931,259,49431,44418,356,4455,202,87.7,91.2,85.8,64.3,78
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,438,378,6,53,1,95.4,97.7,75,84.1,100
Delhi,5488,2673,245,2570,0,2831,1433,78,1320,0,51.6,53.6,31.8,51.4,0
Goa,1504,806,558,140,0,795,371,377,47,0,52.9,46,67.6,33.6,0
Gujarat,53603,34651,5562,13387,3,48812,33490,5197,10124,1,91.1,96.6,93.4,75.6,33.3
Haryana,23561,14443,6,8315,797,17762,12673,5,4649,435,75.4,87.7,83.3,55.9,54.6
Himachal Pradesh,18062,15447,0,2613,2,7399,6252,0,1146,1,41,40.5,0,43.9,50
Jammu & Kashmir,24278,18785,1,5407,85,17709,13576,1,4063,69,72.9,72.3,100,75.1,81.2
Jharkhand,44596,35764,1149,1583,6100,18123,15632,498,568,1425,40.6,43.7,43.3,35.9,23.4
Karnataka,76090,49520,7029,19531,10,68395,46758,6537,15094,6,89.9,94.4,93,77.3,60
Kerala,15934,4811,7178,3095,850,13931,4481,6526,2323,601,87.4,93.1,90.9,75.1,70.7
Ladakh,979,841,27,111,0,732,640,22,70,0,74.8,76.1,81.5,63.1,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,97164,76421,408,19620,715,79,82.4,66.3,70,46.6
Maharashtra,108451,65431,23964,18723,333,90461,59206,19604,11506,145,83.4,90.5,81.8,61.5,43.5
Manipur,4627,2922,583,996,126,1491,886,159,410,36,32.2,30.3,27.3,41.2,28.6
Meghalaya,14588,7778,4173,2121,516,6350,3795,1782,633,140,43.5,48.8,42.7,29.8,27.1
Mizoram,3891,2567,230,1023,71,1975,1461,125,357,32,50.8,56.9,54.3,34.9,45.1
Nagaland,2717,1954,0,762,1,715,500,0,214,1,26.3,25.6,0,28.1,100
Odisha,61891,48767,5920,6062,1142,58510,47034,5551,5040,885,94.5,96.4,93.8,83.1,77.5
Puducherry,729,422,33,274,0,721,421,33,267,0,98.9,99.8,100,97.4,0
Punjab,27592,19245,447,7886,14,22697,17216,380,5092,9,82.3,89.5,85,64.6,64.3
Rajasthan,106670,69538,0,34497,2635,77494,55508,0,20582,1404,72.6,79.8,0,59.7,53.3
Sikkim,1250,864,18,368,0,1103,797,11,295,0,88.2,92.2,61.1,80.2,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,33309,24877,428,7967,37,78.4,82.9,63.9,68.1,36.3
Tripura,4912,4245,43,367,257,3641,3281,33,208,119,74.1,77.3,76.7,56.7,46.3
Uttar Pradesh,251094,137003,8249,92348,13494,165852,111929,5183,44136,4604,66.1,81.7,62.8,47.8,34.1
Uttarakhand,22618,16381,613,5140,484,20434,15565,580,3854,435,90.3,95,94.6,75,89.9
West Bengal,94402,82579,79,7887,3857,77122,70651,51,4414,2006,81.7,85.6,64.6,56,52
