Parameters - 2022-23,
Total Number of Schools-,1466109
Total number of Kendriya Vidyalaya (KVs),1249
Total number of Jawahar Navodaya Vidyalaya (JNVs),648
Other Central Government,258
State Government,1013855
Total Government Schools,1016010
Total Government Aided Schools,81486
Total Private Unaided Recognized Schools,323430
Total Recognized Madrasa,19113
Total Other Schools,45183
Number of Secondary and Higher Secondary Schools offering Vocational education under NSQF,15454
Number of residential schools with boarding facility,41983
Total Number of Enrolments (Pre-Primary to Higher Secondary),251791722
Total Number of Enrolments (Primary to Higher Secondary),241623910
Enrolment in Pre-Primary,10167812
Enrolment in Primary,112421298
Enrolment in Upper Primary,63477860
Enrolment in Secondary,37934094
Enrolment in Higher Secondary,27790658
Number of Girl students (Primary to Higher Secondary),116209112
Number of Boys students (Primary to Higher Secondary),125414798
Number of SC Students (Primary to Higher Secondary),44425208
Number of ST Students (Primary to Higher Secondary),23956131
Number of OBC students (Primary to Higher Secondary),110403611
Number of Muslims Enrolments (Primary to Higher Secondary),37572459
Total number of Minority Enrolments (Primary to Higher Secondary),47346883
Number of CWSN students (Pre-Primary to Higher Secondary),2107212
Total number of Enrolments in Kendriya Vidyalaya (KVs) (Primary to Higher Secondary),1322538
Total number of Enrolments in Jawahar Navodaya Vidyalaya (JNVs)(Primary to Higher Secondary),263529
Total number of Enrolments in Other Central Government schools (Primary to Higher Secondary),120761
Total number of Enrolments in State Government schools (Primary to Higher Secondary),134498089
Total number of Enrolments in Government Schools (Primary to Higher Secondary),136204917
Total number of Enrolments in Government Aided schools (Primary to Higher Secondary),26233480
Total number of Enrolments in Private Unaided Recognized schools (Primary to Higher Secondary),84162385
Total number of Enrolments in Other schools (Primary to Higher Secondary),5190940
Total Number of teachers,9483294
Total number of teachers in Kendriya Vidyalaya (KVs),39902
Total number of teachers in Jawahar Navodaya Vidyalaya (JNVs),12703
Total number of teachers in Other Central Government schools,5728
Total number of teachers in State Government schools,4837268
Total number of teachers in Government Schools,4895601
Total number of teachers in Government Aided schools,789634
Total number of teachers in Private Unaided Recognized schools,3523567
Total number of teachers in Other schools,274492
Gross Enrolment Ratio (GER) – All Categories – Primary,96.2
Gross Enrolment Ratio (GER) – All Categories – Upper Primary,90.2
Gross Enrolment Ratio (GER) – All Categories – Elementary,93.9
Gross Enrolment Ratio (GER) – All Categories – Secondary,79.2
Gross Enrolment Ratio (GER) – All Categories – Higher Secondary,56.8
Gross Enrolment Ratio (GER) – Scheduled Castes (SC) – Primary,101.5
Gross Enrolment Ratio (GER) – Scheduled Castes (SC) – Upper Primary,96.5
Gross Enrolment Ratio (GER) – Scheduled Castes (SC) – Elementary,99.6
Gross Enrolment Ratio (GER) – Scheduled Castes (SC) – Secondary,82.5
Gross Enrolment Ratio (GER) – Scheduled Castes (SC) – Higher Secondary,58.8
Gross Enrolment Ratio (GER) – Scheduled Tribes (ST) – Primary,104.3
Gross Enrolment Ratio (GER) – Scheduled Tribes (ST) – Upper Primary,98.7
Gross Enrolment Ratio (GER) – Scheduled Tribes (ST) – Elementary,102.3
Gross Enrolment Ratio (GER) – Scheduled Tribes (ST) – Secondary,78.8
Gross Enrolment Ratio (GER) – Scheduled Tribes (ST) – Higher Secondary,53.4
Dropout Rates - Primary,7.8
Dropout Rates – Upper Primary,8.1
Dropout Rates - Secondary,16.4
Transition Rates Primary to Upper Primary,87.9
Transition Rates Upper Primary to Secondary,86.7
Transition Rates Secondary to Higher Secondary,71.3
Pupil Teacher Ratio (PTR) at Primary level,23
Pupil Teacher Ratio (PTR) at Upper Primary level,18
Pupil Teacher Ratio (PTR) at Secondary level,17
Pupil Teacher Ratio (PTR) at Higher Secondary level,26
Gender Parity Index (GPI) at Primary level,1.05
Gender Parity Index (GPI) at Upper Primary level,1.03
Gender Parity Index (GPI) at Secondary level,1.02
Gender Parity Index (GPI) at Higher Secondary level,1.07
Percentage of schools having electricity connection,91.7
Percentage of schools having drinking water facility,98.4
Percentage of schools having toilet facility,98.6
Percentage of schools having boys’ toilet facility,95.6
Percentage of schools having girls’ toilet facility,97.0
Percentage of schools having hand wash facilities,94.1
Percentage of schools having playground facility,82.0
Percentage of schools having computer facility,47.7
Percentage of schools having internet facility,49.7
Percentage of schools having CWSN friendly toilets,32.5
Percentage of schools having ramps with handrail facility for CWSN students,51.0
Percentage of schools having Kitchen Gardens,35.1
Percentage of schools having Rainwater Harvesting System,28.0
Percentage of schools having Libraries/Reading Corner/Book Bank facilities,88.3
