India/State/ UT,Percentage of Schools with electricity connection,Percentage of Schools with functional electricity connection,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,91.7,92.4,89.4,92.4,75.9,89.5,89.6,88.6,91.6,74.3
Andaman & Nicobar Islands,92.5,90.9,100,100,0,91.3,89.5,100,100,0
Andhra Pradesh,99.7,99.6,99.6,100,100,99.6,99.6,99.4,100,100
Arunachal Pradesh,68.5,62.5,100,97.2,85.1,55.9,47.5,98.6,96,83
Assam,85.4,98.5,26.1,80.5,11.4,84.6,98.1,23.7,79.3,9
Bihar,83.9,82.9,80.4,92.1,85.5,82.1,81,78.6,91.2,84
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,95.6,95.2,91.6,98.8,95.4,91.8,90.9,90.6,98.4,93.1
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,99.9,100,100,100
Haryana,99.3,99.2,100,99.4,99.2,98.4,97.8,100,99.3,98.9
Himachal Pradesh,98.3,98.1,0,99.9,100,97.4,97,0,99.8,100
Jammu & Kashmir,91.9,92.2,100,90.6,90.6,87.4,87.2,100,88.2,88.2
Jharkhand,95.8,97,70.8,96.8,93.7,93,93.8,66.1,96.1,92.2
Karnataka,99.1,99.2,99.9,98.8,100,98.7,98.6,99.8,98.6,100
Kerala,99.9,99.8,99.9,100,99.9,99.9,99.8,99.9,99.9,99.9
Ladakh,82.1,80.1,100,92.8,0,79.6,77.2,100,92.8,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,90,88.1,89.3,96.2,93,85.7,82.7,88.9,95.3,91.9
Maharashtra,95.1,92.4,99,99.3,99.7,87.1,79.5,98.3,98.9,99.7
Manipur,67.5,60.1,49.1,98.1,81.7,61,51.5,41.7,97.9,80.2
Meghalaya,27.7,19.2,34.4,41,48.8,25.6,16.9,32.7,38.8,46.5
Mizoram,88.1,86.8,97,89.1,93,82.9,79.5,95.2,88.1,91.5
Nagaland,78.4,72.3,0,93.8,100,69.7,60.9,0,92.4,100
Odisha,93,93,88.6,97.3,95,91.9,91.8,87.1,96.9,94.1
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,100,100,99.9,100,99.9,99.9,100,99.8,100
Rajasthan,91.3,90.2,0,94.6,79.3,90,88.7,0,93.6,77.7
Sikkim,99.1,99.1,100,99.2,0,98.2,98.3,100,98.1,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,95.3,93.7,88.4,100,100,92.5,89.7,88.1,100,100
Tripura,63.1,61.9,88.4,90.7,38.1,60.4,59,86,90.7,35.4
Uttar Pradesh,85.3,88.9,82.4,82,73.4,83.5,86.7,80.9,80.7,71.2
Uttarakhand,92.2,91,93.3,95.8,92.8,89.9,88.1,92.5,95.2,92.4
West Bengal,97.6,98.3,98.7,93.3,92.1,96.6,97.2,97.5,92.4,91
