India/State/ UT,Percentage of Muslim minority enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)",Secondary (9-10),"Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),( 5),(6 ),(7 ),( 8),(9 ),(1 0),( 11),(1 2),(1 3),( 14),(1 5),(1 6),( 17),(1 8),(1 9)
India,16.8,17.4,17.1,14.7,16.0,15.4,16.1,16.9,16.5,13.3,15.1,14.2,10.5,12.6,11.5,15.0,16.1,15.5
Andaman and Nicobar Islands,10.6,10.6,10.6,10.0,9.2,9.7,10.4,10.1,10.2,8.8,9.2,9.0,7.9,8.8,8.3,9.7,9.7,9.7
Andhra Pradesh,9.5,9.5,9.5,8.4,8.7,8.6,9.1,9.2,9.1,8.0,8.2,8.1,6.7,6.6,6.6,8.6,8.7,8.7
Arunachal Pradesh,2.2,1.9,2.0,1.7,1.4,1.5,2.0,1.7,1.9,1.4,1.5,1.5,1.1,1.3,1.2,1.8,1.6,1.7
Assam,45.9,46.0,46.0,40.3,44.3,42.4,44.1,45.4,44.7,32.0,38.2,35.4,24.3,26.9,25.7,41.0,42.9,41.9
Bihar,20.3,21.6,20.9,17.7,19.9,18.8,19.4,21.0,20.2,14.9,17.9,16.4,12.0,13.9,12.9,18.3,20.0,19.2
Chandigarh,6.5,6.4,6.5,5.6,5.8,5.7,6.2,6.2,6.2,4.8,5.2,5.0,3.0,3.5,3.2,5.3,5.5,5.4
Chhattisgarh,2.0,1.9,1.9,1.7,1.7,1.7,1.9,1.8,1.9,1.6,1.6,1.6,1.6,1.5,1.6,1.8,1.8,1.8
"Dadra and Nagar Haveli andDaman and Diu",6.3,5.7,6.0,5.3,5.0,5.1,5.9,5.4,5.7,5.1,5.0,5.0,4.3,3.6,3.9,5.6,5.2,5.4
Delhi,13.8,15.1,14.4,12.8,15.3,13.9,13.4,15.2,14.2,11.7,14.5,13.0,9.4,12.7,11.0,12.5,14.7,13.5
Goa,13.7,13.5,13.6,12.6,12.6,12.6,13.3,13.2,13.2,12.0,12.3,12.2,8.4,9.1,8.7,12.4,12.4,12.4
Gujarat,11.1,11.7,11.4,10.6,11.1,10.9,11.0,11.5,11.2,9.5,9.7,9.6,7.1,7.8,7.5,10.3,10.9,10.6
Haryana,11.2,11.7,11.4,9.1,8.8,8.9,10.4,10.6,10.5,6.5,5.4,6.0,4.6,3.2,3.9,9.0,8.7,8.9
Himachal Pradesh,3.2,3.1,3.1,2.8,2.6,2.7,3.0,2.9,3.0,2.2,2.2,2.2,1.4,1.3,1.4,2.6,2.5,2.6
Jammu and Kashmir,68.9,70.3,69.6,64.9,67.5,66.2,67.5,69.4,68.4,63.4,65.1,64.2,65.7,67.0,66.3,66.7,68.4,67.5
Jharkhand,15.8,16.6,16.2,14.8,16.0,15.4,15.4,16.4,15.9,9.9,11.8,10.8,7.3,8.4,7.9,14.0,15.0,14.5
Karnataka,17.1,17.5,17.3,16.1,16.5,16.3,16.7,17.1,16.9,15.0,15.8,15.4,11.0,12.7,11.9,15.8,16.4,16.1
Kerala,40.5,40.5,40.5,38.2,38.5,38.4,39.6,39.7,39.7,37.6,37.7,37.6,31.1,32.3,31.7,38.0,38.2,38.1
Ladakh,58.4,58.3,58.3,57.9,56.3,57.1,58.2,57.6,57.9,60.2,59.9,60.1,63.3,63.8,63.6,59.1,58.8,59.0
Lakshadweep,99.6,99.6,99.6,99.5,99.7,99.6,99.6,99.7,99.6,99.8,99.7,99.8,99.7,99.6,99.7,99.6,99.7,99.6
Madhya Pradesh,6.5,6.6,6.5,5.7,6.2,6.0,6.2,6.4,6.3,4.1,4.9,4.5,3.3,4.4,3.8,5.6,6.0,5.8
Maharashtra,14.5,15.0,14.7,13.1,14.3,13.7,14.0,14.7,14.3,11.9,13.2,12.5,9.7,10.9,10.3,13.0,14.0,13.5
Manipur,10.1,10.5,10.3,8.7,9.4,9.0,9.7,10.1,9.9,8.0,7.7,7.9,7.3,6.7,7.0,9.1,9.3,9.2
Meghalaya,3.7,3.8,3.7,4.0,4.2,4.1,3.8,3.9,3.9,3.8,2.9,3.3,3.1,2.1,2.5,3.7,3.6,3.7
Mizoram,0.9,0.8,0.9,0.7,0.5,0.6,0.9,0.7,0.8,0.6,0.5,0.6,0.5,0.4,0.5,0.8,0.6,0.7
Nagaland,7.3,7.1,7.2,3.9,3.9,3.9,6.1,5.9,6.0,2.9,2.7,2.8,2.0,1.7,1.8,5.2,4.9,5.1
Odisha,2.5,2.5,2.5,2.2,2.3,2.2,2.4,2.4,2.4,2.1,2.2,2.2,1.9,2.1,2.0,2.3,2.4,2.3
Puducherry,9.1,8.8,8.9,8.2,8.3,8.3,8.7,8.6,8.7,8.5,8.6,8.5,8.4,8.0,8.2,8.6,8.5,8.6
Punjab,3.2,3.3,3.2,2.5,2.6,2.5,2.9,3.0,3.0,2.1,2.2,2.1,1.8,1.9,1.9,2.6,2.7,2.7
Rajasthan,6.4,6.8,6.6,5.4,5.9,5.6,6.0,6.5,6.3,4.2,4.7,4.4,3.3,3.6,3.4,5.4,5.9,5.6
Sikkim,3.3,3.1,3.2,2.4,2.0,2.2,3.0,2.7,2.8,2.1,1.9,2.0,1.5,1.4,1.5,2.6,2.3,2.4
Tamil Nadu,7.2,7.4,7.3,6.9,7.1,7.0,7.1,7.3,7.2,6.8,7.0,6.9,6.6,6.4,6.5,7.0,7.1,7.0
Telangana,15.7,16.1,15.9,15.2,16.0,15.6,15.5,16.1,15.8,14.5,15.7,15.1,7.5,9.2,8.4,14.3,15.1,14.6
Tripura,11.6,11.7,11.6,9.4,10.7,10.1,10.8,11.3,11.1,7.8,9.8,8.8,6.4,7.1,6.8,9.8,10.5,10.2
Uttar Pradesh,19.4,19.6,19.5,15.6,16.7,16.1,18.1,18.6,18.3,13.9,15.0,14.4,11.5,13.3,12.3,16.7,17.5,17.1
Uttarakhand,18.5,19.0,18.8,13.4,15.0,14.2,16.7,17.5,17.1,9.5,11.6,10.5,6.8,8.8,7.8,14.1,15.3,14.6
West Bengal,37.5,38.0,37.8,35.2,36.3,35.8,36.7,37.4,37.0,33.6,37.0,35.4,25.7,35.0,31.0,34.9,37.0,35.9
