India/State/UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.05,1.03,1.04,1.02,1.07
Andaman and Nicobar Islands,0.99,1.01,1.00,1.11,1.10
Andhra Pradesh,1.01,0.96,0.99,0.98,1.10
Arunachal Pradesh,1.02,1.08,1.04,1.05,1.12
Assam,1.06,1.12,1.08,1.21,1.13
Bihar,1.09,1.11,1.09,1.18,1.16
Chandigarh,1.05,1.11,1.08,1.12,1.17
Chhattisgarh,1.01,1.01,1.01,1.08,1.23
"Dadra and Nagar Haveli andDaman and Diu",1.01,1.04,1.02,1.18,1.67
Delhi,1.07,1.05,1.06,1.03,1.10
Goa,0.98,1.02,1.00,1.03,1.11
Gujarat,1.06,1.01,1.04,0.93,1.02
Haryana,1.00,0.98,0.99,0.97,1.03
Himachal Pradesh,1.01,1.02,1.02,1.03,1.04
Jammu and Kashmir,1.00,1.05,1.02,1.02,1.02
Jharkhand,1.02,1.02,1.02,1.08,1.07
Karnataka,1.02,0.99,1.00,1.01,1.14
Kerala,1.00,1.00,1.00,1.00,1.05
Ladakh,0.98,1.14,1.04,1.21,1.13
Lakshadweep,0.97,0.90,0.94,1.10,0.96
Madhya Pradesh,1.07,1.05,1.06,1.02,1.07
Maharashtra,1.06,0.99,1.03,0.99,0.99
Manipur,1.03,1.04,1.03,1.04,0.99
Meghalaya,1.02,1.18,1.07,1.31,1.44
Mizoram,1.00,1.03,1.01,1.13,1.18
Nagaland,1.04,1.11,1.06,1.19,1.17
Odisha,0.99,0.99,0.99,1.01,1.08
Puducherry,0.98,1.01,0.99,1.05,1.19
Punjab,1.00,1.02,1.00,1.03,1.03
Rajasthan,1.03,0.98,1.01,0.94,0.92
Sikkim,0.95,1.00,0.97,1.06,1.25
Tamil Nadu,1.03,1.00,1.02,1.01,1.15
Telangana,1.02,1.01,1.02,1.02,1.02
Tripura,1.04,1.05,1.04,1.09,1.15
Uttar Pradesh,1.06,1.06,1.06,0.96,0.95
Uttarakhand,1.05,1.03,1.05,1.02,1.07
West Bengal,1.01,1.01,1.01,1.07,1.36
