India/State /UT,Dropout Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7.8,7.8,7.8,7.9,8.3,8.1,17.3,15.4,16.4
Andaman and Nicobar Islands,0.0,0.1,0.0,0.6,1.4,1.0,6.4,4.6,5.5
Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,16.9,12.3,14.7
Arunachal Pradesh,16.3,13.6,15.0,9.9,11.0,10.5,17.7,16.1,16.9
Assam,8.9,8.0,8.5,11.5,9.2,10.3,29.0,29.9,29.5
Bihar,11.1,10.2,10.7,17.0,14.6,15.8,30.3,28.8,29.5
Chandigarh,0.0,0.0,0.0,0.3,0.8,0.5,1.6,0.4,1.1
Chhattisgarh,5.7,5.1,5.4,7.3,5.8,6.6,21.3,15.3,18.2
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.5,0.8,0.7,23.5,13.3,18.8
Delhi,0.0,0.0,0.0,2.1,1.7,1.9,8.4,6.0,7.3
Goa,0.0,0.7,0.3,1.7,2.1,1.9,10.9,6.4,8.8
Gujarat,0.0,0.0,0.0,4.1,7.7,5.8,25.0,21.2,23.3
Haryana,0.5,2.4,1.4,2.7,4.6,3.6,16.7,13.9,15.4
Himachal Pradesh,1.0,1.0,1.0,1.8,2.2,2.0,8.0,5.3,6.7
Jammu and Kashmir,8.4,9.4,8.9,3.5,5.0,4.2,8.6,9.5,9.0
Jharkhand,11.7,11.4,11.5,14.4,14.5,14.5,25.8,25.5,25.7
Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,17.4,12.3,14.9
Kerala,3.2,2.9,3.1,2.1,1.6,1.9,8.1,5.3,6.7
Ladakh,5.3,4.9,5.1,2.6,2.8,2.7,12.5,10.7,11.6
Lakshadweep,5.1,4.1,4.6,11.1,3.9,7.7,11.2,8.2,9.8
Madhya Pradesh,6.5,7.0,6.8,9.4,10.8,10.1,22.0,20.7,21.4
Maharashtra,5.0,5.0,5.0,5.7,6.0,5.8,16.3,15.7,16.0
Manipur,12.9,13.0,12.9,8.6,9.2,8.9,13.0,14.1,13.5
Meghalaya,14.4,12.9,13.6,18.8,14.2,16.4,32.6,25.8,28.9
Mizoram,15.0,14.6,14.8,12.0,8.9,10.5,25.2,22.8,24.0
Nagaland,9.7,10.0,9.8,10.1,7.9,9.0,23.1,20.0,21.5
Odisha,0.0,0.1,0.0,3.1,3.2,3.1,19.3,16.1,17.7
Puducherry,3.2,3.2,3.2,2.2,2.2,2.2,9.7,5.2,7.5
Punjab,3.2,3.1,3.1,5.6,4.9,5.3,10.5,8.8,9.7
Rajasthan,4.6,4.1,4.4,5.6,5.9,5.7,12.3,11.5,11.9
Sikkim,5.5,3.5,4.5,2.3,2.1,2.2,18.9,12.1,15.4
Tamil Nadu,2.5,2.2,2.3,0.0,0.1,0.0,13.9,6.4,10.3
Telangana,2.7,1.4,2.1,5.6,4.4,5.0,12.3,10.9,11.6
Tripura,1.7,1.2,1.4,6.8,5.0,5.9,18.6,17.2,17.9
Uttar Pradesh,18.6,19.0,18.8,15.0,17.2,16.0,14.9,14.4,14.7
Uttarakhand,7.3,7.4,7.4,5.9,5.7,5.8,9.5,7.2,8.4
West Bengal,8.4,7.7,8.1,3.7,3.1,3.4,9.6,7.6,8.5
