India/State/UT,Enrolments (Pre-Primary to Higher Secondary),,,,
"",General,SC,ST,OBC,Muslim
India,26.4,18.2,9.9,45.5,15.6
Andaman & Nicobar Islands,60.6,0.7,10.0,28.7,9.8
Andhra Pradesh,21.6,19.5,6.8,52.1,8.7
Arunachal Pradesh,21.3,2.2,72.5,4.0,1.8
Assam,51.1,6.9,15.2,26.8,41.5
Bihar,14.7,18.9,1.9,64.5,19.1
Chandigarh,86.9,9.1,0.3,3.7,5.4
Chhattisgarh,9.1,14.5,29.8,46.7,1.9
Dadra & Nagar Haveli and Daman & Diu,48.3,2.6,36.3,12.8,5.4
Delhi,83.7,10.0,0.4,5.9,13.4
Goa,77.3,1.9,8.9,11.9,12.4
Gujarat,30.1,6.6,16.9,46.4,10.6
Haryana,50.1,21.4,0.0,28.5,8.6
Himachal Pradesh,54.5,25.9,5.9,13.7,2.6
Jammu & Kashmir,70.6,8.1,13.6,7.7,69.3
Jharkhand,11.1,12.9,27.2,48.7,14.4
Karnataka,10.2,18.5,7.5,63.8,16.2
Kerala,20.6,8.7,1.5,69.2,38.1
Ladakh,6.6,0.4,92.8,0.3,58.1
Lakshadweep,0.7,0.7,97.3,1.3,99.6
Madhya Pradesh,15.2,17.3,22.6,44.9,6.0
Maharashtra,42.8,12.6,11.1,33.5,13.5
Manipur,23.3,5.1,40.0,31.5,9.3
Meghalaya,5.6,2.6,90.4,1.4,3.5
Mizoram,0.8,2.1,96.7,0.4,0.7
Nagaland,9.7,2.4,83.9,4.0,6.1
Odisha,17.1,18.6,27.1,37.2,2.3
Puducherry,8.1,17.8,0.5,73.6,8.6
Punjab,47.0,37.1,0.1,15.8,2.7
Rajasthan,16.8,19.6,14.5,49.1,5.5
Sikkim,20.6,9.0,36.1,34.3,2.6
Tamil Nadu,3.7,22.4,1.4,72.5,7.1
Telangana,22.9,16.7,10.5,49.9,14.9
Tripura,26.0,18.9,36.5,18.7,10.0
Uttar Pradesh,18.8,23.5,1.1,56.6,17.1
Uttarakhand,48.8,20.7,2.5,28.0,14.5
West Bengal,56.4,25.1,6.4,12.1,36.2
